algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/alarm,alarm.xbif50001_,0,5,-1,64,-0.48108202837351877,-89913.45408921113,3.8378378378378377,4.0,138.0,0,0
hc,res/networks/alarm,alarm.xbif50001_,1,5,-1,28,-0.2883770745510121,-57664.71434517928,1.8918918918918919,32.0,38.0,11,1
pfhcbes,res/networks/alarm,alarm.xbif50001_,1,5,2,17,-0.435277407213526,-56648.94625258427,1.1891891891891893,14.0,30.0,11,1
pges,res/networks/alarm,alarm.xbif50001_,1,5,2,20,-0.4520139093143722,-56431.70894172482,1.3513513513513513,14.0,36.0,10,1
phc,res/networks/alarm,alarm.xbif50001_,1,5,2,17,-0.435277407213526,-56648.94625258427,1.1891891891891893,14.0,30.0,11,0
pfhcbes,res/networks/alarm,alarm.xbif50001_,1,5,3,23,-0.4031831195028344,-56941.59211408221,1.6756756756756757,26.0,36.0,11,0
pges,res/networks/alarm,alarm.xbif50001_,1,5,3,17,-0.3997297877174526,-56451.49174699578,1.135135135135135,8.0,34.0,11,1
phc,res/networks/alarm,alarm.xbif50001_,1,5,3,23,-0.4031831195028344,-56941.59211408221,1.6756756756756757,26.0,36.0,11,1
pfhcbes,res/networks/alarm,alarm.xbif50001_,1,5,5,19,-0.36236716304011635,-56870.575927006714,1.4594594594594594,22.0,32.0,11,1
pges,res/networks/alarm,alarm.xbif50001_,1,5,5,16,-0.46068199184753783,-56378.80405675924,1.135135135135135,10.0,32.0,10,1
phc,res/networks/alarm,alarm.xbif50001_,1,5,5,19,-0.36236716304011635,-56870.575927006714,1.4594594594594594,22.0,32.0,11,0
pfhcbes,res/networks/alarm,alarm.xbif50001_,1,5,7,27,-0.45918364097006614,-57596.17783018043,1.837837837837838,26.0,42.0,11,0
pges,res/networks/alarm,alarm.xbif50001_,1,5,7,16,-0.46068199184753783,-56378.80405675924,1.135135135135135,10.0,32.0,10,1
phc,res/networks/alarm,alarm.xbif50001_,1,5,7,27,-0.45918364097006614,-57596.17783018043,1.837837837837838,26.0,42.0,11,0
pfhcbes,res/networks/alarm,alarm.xbif50001_,1,5,11,19,-0.43069210909139904,-56933.25365969154,1.3513513513513513,16.0,34.0,11,0
pges,res/networks/alarm,alarm.xbif50001_,1,5,11,20,-0.4403426458582883,-56458.068694753034,1.3513513513513513,14.0,36.0,12,1
