algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/insurance,insurance.xbif50001_,0,5,-1,65,-0.6994734946429929,-95442.20951465018,5.851851851851852,0.0,158.0,0,0
hc,res/networks/insurance,insurance.xbif50001_,1,5,-1,31,-0.5004999745977197,-71651.86039218232,2.5185185185185186,4.0,64.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,2,36,-0.6907167904623622,-72479.35347185965,3.3333333333333335,16.0,74.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,2,29,-0.5368374404828549,-70803.20176017749,2.4444444444444446,4.0,62.0,10,1
phc,res/networks/insurance,insurance.xbif50001_,1,5,2,36,-0.6907167904623622,-72479.35347185965,3.3333333333333335,16.0,74.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,3,31,-0.4774909450851652,-72115.07546393576,2.814814814814815,6.0,70.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,3,30,-0.6555748907397214,-70715.75724842792,2.5925925925925926,4.0,66.0,10,1
phc,res/networks/insurance,insurance.xbif50001_,1,5,3,31,-0.4774909450851652,-72115.07546393576,2.814814814814815,6.0,70.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,5,30,-0.4514449702186241,-71136.05603861857,2.5185185185185186,6.0,62.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,5,27,-0.6050815934653372,-70753.93989418296,2.2962962962962963,4.0,58.0,9,1
phc,res/networks/insurance,insurance.xbif50001_,1,5,5,30,-0.4514449702186241,-71136.05603861857,2.5185185185185186,6.0,62.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,7,38,-0.5695862308254585,-71993.60548344793,3.4074074074074074,16.0,76.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,7,27,-0.599939513658066,-70753.93989418294,2.2962962962962963,4.0,58.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,1,5,7,38,-0.5695862308254585,-71993.60548344793,3.4074074074074074,16.0,76.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,11,40,-0.44571895301347864,-72917.8149347282,3.8518518518518516,20.0,84.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,11,28,-0.6106688087928409,-71100.48820695539,2.3703703703703702,6.0,58.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,1,5,11,40,-0.44571895301347864,-72917.8149347282,3.8518518518518516,20.0,84.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,13,33,-0.5079774170808702,-72260.6306371341,3.037037037037037,10.0,72.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,13,28,-0.6106688087928409,-71100.48820695539,2.3703703703703702,6.0,58.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,1,5,13,33,-0.5079774170808702,-72260.6306371341,3.037037037037037,10.0,72.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,17,36,-0.5842973504197326,-72369.22554412698,3.3333333333333335,10.0,80.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,17,27,-0.599939513658066,-70753.93989418294,2.2962962962962963,4.0,58.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,1,5,17,36,-0.5842973504197326,-72369.22554412698,3.3333333333333335,10.0,80.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,19,29,-0.6383865059235286,-71704.05236794705,2.3703703703703702,4.0,60.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,19,28,-0.6106688087928409,-71100.48820695539,2.3703703703703702,6.0,58.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,1,5,19,29,-0.6383865059235286,-71704.05236794705,2.3703703703703702,4.0,60.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,23,37,-0.6664814324312128,-72230.4206676126,3.185185185185185,18.0,68.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,23,28,-0.6106688087928409,-71100.48820695539,2.3703703703703702,6.0,58.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,1,5,23,37,-0.6664814324312128,-72230.4206676126,3.185185185185185,18.0,68.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,1,5,29,31,-0.6186666856925349,-71753.07983106795,2.5925925925925926,10.0,60.0,9,0
pges,res/networks/insurance,insurance.xbif50001_,1,5,29,28,-0.6106688087928409,-71100.48820695539,2.3703703703703702,6.0,58.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,1,5,29,31,-0.6186666856925349,-71753.07983106795,2.5925925925925926,10.0,60.0,9,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,2,38,-0.6326891700574291,-72117.16696175872,3.3333333333333335,18.0,72.0,6,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,2,27,-0.48667385946420133,-70753.93989418294,2.2962962962962963,4.0,58.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,2,38,-0.6326891700574291,-72117.16696175872,3.3333333333333335,18.0,72.0,6,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,3,44,-0.582495541526725,-72821.65354937981,3.6296296296296298,28.0,70.0,6,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,3,30,-0.49345141088634864,-71124.49922316593,2.5185185185185186,6.0,62.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,3,45,-0.46265791429047376,-73385.30907731023,3.7777777777777777,32.0,70.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,5,31,-0.4700948262798364,-71820.71144411735,3.111111111111111,14.0,70.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,5,28,-0.5416141040799469,-70489.29549949268,2.2962962962962963,2.0,60.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,5,37,-0.5342701691368856,-72713.56115871336,3.7037037037037037,16.0,84.0,6,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,7,32,-0.5532339724728176,-71548.92316458958,2.888888888888889,16.0,62.0,10,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,7,29,-0.5370389955353492,-71290.75164782669,2.4444444444444446,6.0,60.0,10,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,7,36,-0.5678195443067984,-72708.87780214362,3.4074074074074074,26.0,66.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,11,33,-0.5751234377001588,-71307.60839023987,2.6666666666666665,8.0,64.0,8,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,11,29,-0.5775698022625861,-70546.73695069688,2.3703703703703702,2.0,62.0,10,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,11,35,-0.576302488390674,-71312.05970920098,2.814814814814815,10.0,66.0,6,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,13,39,-0.5527450102105006,-72348.21022952709,3.185185185185185,18.0,68.0,8,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,13,30,-0.5215061495871173,-70831.88905356493,2.5185185185185186,6.0,62.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,13,42,-0.4826467266010796,-72552.54412972563,3.5555555555555554,26.0,70.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,17,33,-0.4518489987568287,-71563.7980496527,3.037037037037037,8.0,74.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,17,32,-0.621296952827637,-70573.91132552225,2.6666666666666665,2.0,70.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,17,34,-0.6000162777283108,-71580.9635411223,3.259259259259259,12.0,76.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,19,31,-0.6105535976103817,-71622.36128809757,2.740740740740741,10.0,64.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,19,27,-0.5403858250466622,-70683.99990509759,2.2222222222222223,0.0,60.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,19,31,-0.6105535976103817,-71622.36128809757,2.740740740740741,10.0,64.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,23,30,-0.49481003011395663,-71322.85755703843,2.5185185185185186,6.0,62.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,23,35,-0.5551223464170926,-71272.7043661314,2.888888888888889,10.0,68.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,23,29,-0.4988997579019384,-71689.15062784389,2.5925925925925926,14.0,56.0,8,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,29,38,-0.561880440339628,-72211.90162332164,3.3333333333333335,16.0,74.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,29,27,-0.5502983593420564,-70774.92750295714,2.2222222222222223,2.0,58.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,29,38,-0.6001516732090548,-72840.10246457273,3.6296296296296298,22.0,76.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,2,38,-0.5491537963077128,-71610.48818783514,3.185185185185185,18.0,68.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,2,34,-0.5214846482291056,-72722.99708618622,3.111111111111111,12.0,72.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,2,38,-0.5208379390875182,-71610.48818783514,3.185185185185185,18.0,68.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,3,43,-0.5710778843297143,-73015.93070912972,3.8518518518518516,28.0,76.0,5,0
