algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,0,5,-1,64,-0.48108202837351877,-89913.45408921113,3.8378378378378377,4.0,138.0,0,1
hc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,-1,28,-0.2883770745510121,-57664.71434517927,1.8918918918918919,32.0,38.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,2,17,-0.44528003929529103,-56648.94625258426,1.1891891891891893,14.0,30.0,11,3
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,2,20,-0.4520139093143722,-56431.70894172481,1.3513513513513513,14.0,36.0,10,3
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,2,17,-0.44528003929529103,-56648.94625258426,1.1891891891891893,14.0,30.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,3,23,-0.43472203042351815,-56941.5921140822,1.6756756756756757,26.0,36.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,3,17,-0.3997297877174526,-56451.49174699577,1.135135135135135,8.0,34.0,11,4
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,3,23,-0.43472203042351815,-56941.5921140822,1.6756756756756757,26.0,36.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,5,19,-0.470121846916546,-56870.5759270067,1.4594594594594594,22.0,32.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,5,16,-0.46068199184753783,-56378.80405675923,1.135135135135135,10.0,32.0,10,3
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,5,19,-0.470121846916546,-56870.5759270067,1.4594594594594594,22.0,32.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,7,27,-0.45918364097006614,-57596.17783018042,1.837837837837838,26.0,42.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,7,16,-0.46068199184753783,-56378.80405675923,1.135135135135135,10.0,32.0,10,3
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,7,27,-0.45918364097006614,-57596.17783018042,1.837837837837838,26.0,42.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,11,19,-0.43069210909139904,-56933.25365969153,1.3513513513513513,16.0,34.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,11,20,-0.40219161744480797,-56458.068694753034,1.3513513513513513,14.0,36.0,12,4
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,11,19,-0.43069210909139904,-56933.25365969153,1.3513513513513513,16.0,34.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,13,21,-0.42099202539954583,-57111.46525995713,1.5135135135135136,24.0,32.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,13,17,-0.43254749869132414,-56451.49174699577,1.1891891891891893,10.0,34.0,12,4
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,13,21,-0.42099202539954583,-57111.46525995713,1.5135135135135136,24.0,32.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,17,19,-0.3977898689779988,-56931.597995349126,1.4054054054054055,20.0,32.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,17,17,-0.476296199581623,-56414.678620207844,1.1891891891891893,10.0,34.0,12,4
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,17,19,-0.3977898689779988,-56931.597995349126,1.4054054054054055,20.0,32.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,19,22,-0.4047398523010613,-57326.64400592369,1.5675675675675675,22.0,36.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,19,16,-0.3961834913370238,-56378.80405675924,1.135135135135135,10.0,32.0,12,4
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,19,22,-0.4047398523010613,-57326.64400592369,1.5675675675675675,22.0,36.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,23,15,-0.41836635968745917,-56576.012472193455,1.027027027027027,10.0,28.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,23,20,-0.4006236659389769,-56458.068694753034,1.3513513513513513,14.0,36.0,12,4
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,23,15,-0.41836635968745917,-56576.012472193455,1.027027027027027,10.0,28.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,29,15,-0.43725600404999304,-56576.012472193455,1.027027027027027,10.0,28.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,29,16,-0.40580107073365695,-56405.163809787446,1.135135135135135,10.0,32.0,12,4
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,1,5,29,15,-0.43725600404999304,-56576.012472193455,1.027027027027027,10.0,28.0,11,2
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,2,33,-0.4501527091380888,-57467.59216624501,2.054054054054054,36.0,40.0,8,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,2,16,-0.3944300507370663,-56395.727108145176,1.0810810810810811,8.0,32.0,9,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,2,32,-0.44268168440638905,-57372.39924233271,2.108108108108108,36.0,42.0,9,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,3,34,-0.49992421154501654,-57839.10976520086,2.324324324324324,44.0,42.0,10,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,3,22,-0.47945115070452515,-56492.147990206,1.4594594594594594,14.0,40.0,11,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,3,37,-0.46662999378246595,-58418.79257623098,2.4324324324324325,40.0,50.0,9,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,5,21,-0.2895987902791174,-56644.223456068336,1.4054054054054055,18.0,34.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,5,20,-0.3734110712620083,-56513.20884493005,1.4594594594594594,18.0,36.0,10,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,5,27,-0.5143512399787628,-56968.157006258894,1.8918918918918919,28.0,42.0,8,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,7,30,-0.4004403731594308,-57673.56070220416,2.0,38.0,36.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,7,24,-0.4238432498363966,-57006.5714724144,1.7297297297297298,20.0,44.0,9,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,7,30,-0.37162349352706897,-57673.56070220416,2.0,38.0,36.0,8,1
