algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
fges,alarm,alarm.xbif50001246_,16,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.995
fges,alarm,alarm.xbif50001246_,1,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,1.901
fges,alarm,alarm.xbif50001246_,2,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,1.221
fges,alarm,alarm.xbif50001246_,4,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,1.089
fges,alarm,alarm.xbif50001246_,8,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,1.019
fges,alarm,alarm.xbif50001_,16,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.625
fges,alarm,alarm.xbif50001_,1,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,3.176
fges,alarm,alarm.xbif50001_,2,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,1.966
fges,alarm,alarm.xbif50001_,4,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,1.596
fges,alarm,alarm.xbif50001_,8,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,1.564
fges,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.468
fges,alarm,alarm.xbif50002_,1,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,3.076
fges,alarm,alarm.xbif50002_,2,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,1.995
fges,alarm,alarm.xbif50002_,4,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,1.642
fges,alarm,alarm.xbif50002_,8,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,1.491
fges,alarm,alarm.xbif50003_,16,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.168
fges,alarm,alarm.xbif50003_,1,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,2.418
fges,alarm,alarm.xbif50003_,2,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,1.725
fges,alarm,alarm.xbif50003_,4,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,1.187
fges,alarm,alarm.xbif50003_,8,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,1.146
fges,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.939
fges,alarm,alarm.xbif50004_,1,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,2.15
fges,alarm,alarm.xbif50004_,2,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,1.437
fges,alarm,alarm.xbif50004_,4,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,0.955
fges,alarm,alarm.xbif50004_,8,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,0.965
fges,alarm,alarm.xbif50005_,16,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.203
fges,alarm,alarm.xbif50005_,1,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,2.385
fges,alarm,alarm.xbif50005_,2,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,1.374
fges,alarm,alarm.xbif50005_,4,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,1.354
fges,alarm,alarm.xbif50005_,8,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,1.248
fges,alarm,alarm.xbif50006_,16,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.277
fges,alarm,alarm.xbif50006_,1,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,2.563
fges,alarm,alarm.xbif50006_,2,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,1.414
fges,alarm,alarm.xbif50006_,4,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,1.389
fges,alarm,alarm.xbif50006_,8,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,1.311
fges,alarm,alarm.xbif50007_,16,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.202
fges,alarm,alarm.xbif50007_,1,0,0,-1,7,0.0,-53649.907108128,14.0,0.0,14.0,1,2.253
fges,alarm,alarm.xbif50007_,2,0,0,-1,7,0.0,-53649.907108128,14.0,0.0,14.0,1,1.489
fges,alarm,alarm.xbif50007_,4,0,0,-1,7,0.0,-53649.907108128,14.0,0.0,14.0,1,1.267
