algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
ges,alarm,alarm.xbif50001246_,1,0,0,-1,20,0.0,-57646.025030949604,46.0,12.0,34.0,1,1.2
ges,alarm,alarm.xbif50001_,1,0,0,-1,19,0.0,-56948.44074595535,48.0,14.0,34.0,1,1.289
ges,alarm,alarm.xbif50002_,1,0,0,-1,18,0.0,-56948.221681597155,44.0,14.0,30.0,1,1.976
ges,alarm,alarm.xbif50003_,1,0,0,-1,20,0.0,-56690.56612365421,46.0,12.0,34.0,1,0.938
ges,alarm,alarm.xbif50004_,1,0,0,-1,20,0.0,-57000.60159145457,48.0,14.0,34.0,1,1.431
ges,alarm,alarm.xbif50005_,1,0,0,-1,20,0.0,-57953.95701415306,46.0,10.0,36.0,1,1.198
ges,alarm,alarm.xbif50006_,1,0,0,-1,20,0.0,-57289.21987239774,46.0,10.0,36.0,1,0.878
ges,alarm,alarm.xbif50007_,1,0,0,-1,18,0.0,-56777.15209838276,42.0,12.0,30.0,1,1.235
ges,alarm,alarm.xbif50008_,1,0,0,-1,18,0.0,-57386.5217870146,44.0,14.0,30.0,1,1.072
ges,alarm,alarm.xbif50009_,1,0,0,-1,19,0.0,-57429.9778807875,46.0,14.0,32.0,1,0.905
ges,alarm,alarm.xbif_,1,0,0,-1,19,0.0,-57081.27661003619,46.0,14.0,32.0,1,0.928
pges,alarm,alarm.xbif50001246_,16,16,100,2,16,0.0,-57448.498941766666,38.0,8.0,30.0,4,1.205
pges,alarm,alarm.xbif50001246_,16,16,10,2,15,0.0,-57098.646039203595,38.0,10.0,28.0,5,1.22
pges,alarm,alarm.xbif50001246_,16,16,15,2,15,0.0,-57082.17763580125,38.0,10.0,28.0,5,1.167
pges,alarm,alarm.xbif50001246_,16,16,20,2,16,0.0,-57448.498941766666,38.0,8.0,30.0,4,1.166
pges,alarm,alarm.xbif50001246_,16,16,30,2,16,0.0,-57448.498941766666,38.0,8.0,30.0,4,1.195
pges,alarm,alarm.xbif50001246_,16,16,50,2,16,0.0,-57448.498941766666,38.0,8.0,30.0,4,1.24
pges,alarm,alarm.xbif50001246_,16,16,5,2,18,0.0,-57263.68951496836,44.0,10.0,34.0,6,1.319
pges,alarm,alarm.xbif50001246_,2,2,100,2,16,0.0,-57383.67950634251,38.0,8.0,30.0,3,4.277
pges,alarm,alarm.xbif50001246_,2,2,10,2,16,0.0,-57392.21572697487,38.0,8.0,30.0,4,3.041
pges,alarm,alarm.xbif50001246_,2,2,15,2,14,0.0,-57006.32627249852,34.0,6.0,28.0,3,2.861
pges,alarm,alarm.xbif50001246_,2,2,20,2,16,0.0,-57392.21572697487,38.0,8.0,30.0,3,4.363
pges,alarm,alarm.xbif50001246_,2,2,30,2,16,0.0,-57375.74732357252,38.0,8.0,30.0,3,4.235
pges,alarm,alarm.xbif50001246_,2,2,50,2,16,0.0,-57383.67950634251,38.0,8.0,30.0,3,4.254
pges,alarm,alarm.xbif50001246_,2,2,5,2,14,0.0,-57006.32627249852,34.0,6.0,28.0,6,2.915
pges,alarm,alarm.xbif50001246_,4,4,100,2,20,0.0,-57423.04529129917,48.0,14.0,34.0,4,1.366
