algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
fges,alarm,alarm.xbif50001246_,16,0,0,-1,7,0.0,-56600.87982962786,14.0,0.0,14.0,1,0.979
fges,alarm,alarm.xbif50001246_,1,0,0,-1,7,0.0,-56600.87982962786,14.0,0.0,14.0,1,2.422
fges,alarm,alarm.xbif50001246_,2,0,0,-1,7,0.0,-56600.87982962786,14.0,0.0,14.0,1,2.858
fges,alarm,alarm.xbif50001246_,4,0,0,-1,7,0.0,-56600.87982962786,14.0,0.0,14.0,1,1.037
fges,alarm,alarm.xbif50001246_,8,0,0,-1,7,0.0,-56600.87982962786,14.0,0.0,14.0,1,1.09
fges,alarm,alarm.xbif50001_,16,0,0,-1,7,0.0,-56015.49072011617,14.0,0.0,14.0,1,1.484
fges,alarm,alarm.xbif50001_,1,0,0,-1,7,0.0,-56015.49072011617,14.0,0.0,14.0,1,2.681
fges,alarm,alarm.xbif50001_,2,0,0,-1,7,0.0,-56015.49072011617,14.0,0.0,14.0,1,1.7
fges,alarm,alarm.xbif50001_,4,0,0,-1,7,0.0,-56015.49072011617,14.0,0.0,14.0,1,1.62
fges,alarm,alarm.xbif50001_,8,0,0,-1,7,0.0,-56015.49072011617,14.0,0.0,14.0,1,1.643
fges,alarm,alarm.xbif50002_,16,0,0,-1,8,0.0,-56362.44982656089,16.0,2.0,14.0,1,1.471
fges,alarm,alarm.xbif50002_,1,0,0,-1,8,0.0,-56362.44982656089,16.0,2.0,14.0,1,2.403
fges,alarm,alarm.xbif50002_,2,0,0,-1,8,0.0,-56362.44982656089,16.0,2.0,14.0,1,3.634
fges,alarm,alarm.xbif50002_,4,0,0,-1,8,0.0,-56362.44982656089,16.0,2.0,14.0,1,1.486
fges,alarm,alarm.xbif50002_,8,0,0,-1,8,0.0,-56362.44982656089,16.0,2.0,14.0,1,1.594
fges,alarm,alarm.xbif50003_,16,0,0,-1,7,0.0,-56139.43383375463,14.0,0.0,14.0,1,1.211
fges,alarm,alarm.xbif50003_,1,0,0,-1,7,0.0,-56139.43383375463,14.0,0.0,14.0,1,1.83
fges,alarm,alarm.xbif50003_,2,0,0,-1,7,0.0,-56139.43383375463,14.0,0.0,14.0,1,1.393
fges,alarm,alarm.xbif50003_,4,0,0,-1,7,0.0,-56139.43383375463,14.0,0.0,14.0,1,1.313
fges,alarm,alarm.xbif50003_,8,0,0,-1,7,0.0,-56139.43383375463,14.0,0.0,14.0,1,1.267
fges,alarm,alarm.xbif50004_,16,0,0,-1,7,0.0,-56445.43457797663,14.0,0.0,14.0,1,0.918
fges,alarm,alarm.xbif50004_,1,0,0,-1,7,0.0,-56445.43457797663,14.0,0.0,14.0,1,2.207
fges,alarm,alarm.xbif50004_,2,0,0,-1,7,0.0,-56445.43457797663,14.0,0.0,14.0,1,1.039
fges,alarm,alarm.xbif50004_,4,0,0,-1,7,0.0,-56445.43457797663,14.0,0.0,14.0,1,1.981
fges,alarm,alarm.xbif50004_,8,0,0,-1,7,0.0,-56445.43457797663,14.0,0.0,14.0,1,0.962
fges,alarm,alarm.xbif50005_,16,0,0,-1,10,0.0,-57827.91607362707,24.0,8.0,16.0,1,1.202
fges,alarm,alarm.xbif50005_,1,0,0,-1,10,0.0,-57827.91607362707,24.0,8.0,16.0,1,2.607
fges,alarm,alarm.xbif50005_,2,0,0,-1,10,0.0,-57827.91607362707,24.0,8.0,16.0,1,1.362
fges,alarm,alarm.xbif50005_,4,0,0,-1,10,0.0,-57827.91607362707,24.0,8.0,16.0,1,1.266
fges,alarm,alarm.xbif50005_,8,0,0,-1,10,0.0,-57827.91607362707,24.0,8.0,16.0,1,1.293
fges,alarm,alarm.xbif50006_,16,0,0,-1,9,0.0,-56262.1923300424,18.0,2.0,16.0,1,1.258
fges,alarm,alarm.xbif50006_,1,0,0,-1,9,0.0,-56262.1923300424,18.0,2.0,16.0,1,2.546
