1,4.088,4.166,4.2,4.217,4.27,4.313,4.309,4.411,4.455,0.015,0.985,0.01,0.758,1.77,0.011,0.023,0.0,0,0,1.804,0.025,0.044,0.055,0.056,0.04,0.042,0.036,0.039,0.143,0.063
2,1.61,1.617,1.688,1.709,1.76,1.79,1.93,2.139,2.205,0.024,1.651,0.012,0.484,2.172,0.01,0.01,0.005,0,0,2.198,0.01,0.014,0.015,0.015,0.017,0.017,0.01,0.012,0.066,0.039
3,1.371,1.405,1.402,1.43,1.44,1.485,1.656,1.661,1.708,0.019,1.328,0.013,0.547,1.907,0.011,0.013,0.005,0,0,1.936,0.016,0.018,0.019,0.02,0.021,0.022,0.022,0.029,0.111,0.029
4,1.396,1.46,1.498,1.508,1.542,1.574,1.673,1.975,2.036,0.024,2.446,0.016,0.919,3.405,0.015,0.027,0.015,0,0,3.462,0.025,0.029,0.029,0.03,0.044,0.043,0.047,0.044,0.27,0.056
5,1.799,1.845,1.856,1.87,1.9,1.906,1.998,2.142,2.294,0.03,2.072,0.018,0.609,2.73,0.013,0.021,0.014,0,0,2.779,0.037,0.042,0.042,0.042,0.041,0.042,0.046,0.043,0.271,0.049
6,1.863,1.899,1.907,2.059,2.075,2.134,2.217,2.252,2.4,0.031,2.351,0.024,0.634,3.04,0.015,0.028,0.017,0,0,3.1,0.031,0.052,0.065,0.067,0.066,0.072,0.08,0.113,0.427,0.08
7,2.371,2.52,2.538,2.656,2.695,2.722,2.848,2.826,3.028,0.037,3.191,0.033,0.688,3.949,0.017,0.026,0.019,0,0,4.011,0.03,0.047,0.075,0.076,0.067,0.126,0.126,0.138,0.376,0.067
8,2.946,3.031,3.061,3.1,3.168,3.209,3.304,3.497,3.719,0.044,4.263,0.034,0.756,5.098,0.019,0.036,0.021,0,0,5.174,0.416,0.447,0.758,0.954,1.065,1.096,1.18,1.182,1.757,0.09
9,3.165,3.186,3.272,3.232,3.382,3.438,3.521,4.018,4.226,0.094,5.895,0.082,7.623,13.694,0.02,0.047,0.027,5.028,0.197,19.073,0.166,0.192,0.209,0.267,0.306,0.335,0.427,0.536,1.638,0.096
10,3.492,3.504,3.553,3.68,4.118,4.237,4.369,4.371,4.845,0.181,5.973,0.17,0.859,7.183,0.025,0.031,0.025,0,0,7.264,0.264,0.325,0.585,0.672,0.722,0.834,0.95,2.384,3.518,0.101
11,3.566,3.667,3.686,3.674,3.697,4.015,4.081,4.246,4.862,0.271,7.134,0.257,2.977,10.639,0.021,0.043,0.027,5.724,0.318,16.902,0.2,0.204,0.207,0.21,0.226,0.403,0.528,0.983,2.597,1.508
12,2.875,3.138,3.174,3.674,3.678,3.816,4.508,4.653,5.861,0.593,7.342,0.567,1.789,10.291,0.021,0.034,0.025,7.394,0.369,18.159,0.038,0.04,0.728,0.729,0.727,0.745,0.94,1.592,3.279,4.319
13,1.433,1.455,1.779,2.158,2.164,2.961,3.713,3.891,5.668,0.214,7.078,0.178,207122.714,207130.184,0.029,0.071,0.037,5.33,1.143,207136.867,0.04,0.405,0.418,0.55,0.613,0.722,1.121,1.218,9.578,0.115
14,0.61,1.367,1.393,1.439,1.457,1.487,1.56,2.209,4.398,0.202,7.377,0.137,0.755,8.471,0.025,0.045,0.027,0.843,0.315,9.745,0.036,0.054,0.407,0.396,0.421,0.404,0.67,0.692,2.757,0.107
15,0.582,0.653,1.343,1.332,1.369,1.413,1.568,2.354,3.764,0.126,6.779,0.107,0.723,7.735,0.024,0.032,0.026,0.715,0.254,8.803,0.041,0.041,0.036,0.039,0.266,0.269,0.282,0.504,2.015,0.922
16,0.521,0.523,0.541,0.604,1.192,1.273,1.26,1.376,4.022,0.173,6.816,0.155,0.697,7.841,0.024,0.029,0.026,0.484,0.33,8.757,0.034,0.035,0.037,0.034,0.038,0.247,0.288,0.272,2.609,0.107
17,0.528,0.534,0.534,1.205,1.207,1.261,1.367,1.379,2.88,0.18,6.951,0.16,0.714,8.005,0.02,0.034,0.026,0,0,8.085,0.045,0.04,0.041,0.042,0.042,0.301,0.29,0.299,18.902,0.104
18,0.537,0.541,0.548,0.58,0.6,0.821,0.836,1.258,16.972,0.277,7.123,0.196,0.842,8.439,0.02,0.036,0.031,0,0,8.526,0.041,0.042,0.043,0.043,0.043,0.045,0.047,0.049,15.418,2.069
19,0.529,0.534,0.547,0.556,0.518,0.565,0.571,0.627,16.218,0.055,7.216,0.032,0.553,7.856,0.022,0.032,0.031,0.037,1.905,9.889,0.042,0.042,0.04,0.04,0.04,0.04,0.041,0.041,15.534,2.107
