algorithm,network,bbdd,threads,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
circular_ges,alarm,alarm.xbif50001246_,16,30,1,19,0.0,-57359.08027597322,44.0,10.0,34.0,16,19.853
circular_ges,alarm,alarm.xbif50001246_,2,10,1,16,0.0,-57398.22815746541,38.0,8.0,30.0,5,8.235
circular_ges,alarm,alarm.xbif50001246_,2,15,1,14,0.0,-57028.807106391396,32.0,4.0,28.0,5,8.104
circular_ges,alarm,alarm.xbif50001246_,2,20,1,16,0.0,-57390.29597469543,38.0,8.0,30.0,4,8.492
circular_ges,alarm,alarm.xbif50001246_,2,30,1,16,0.0,-57436.688788708445,38.0,8.0,30.0,4,9.918
circular_ges,alarm,alarm.xbif50001246_,2,50,1,16,0.0,-57436.688788708445,38.0,8.0,30.0,4,9.238
circular_ges,alarm,alarm.xbif50001246_,2,5,1,14,0.0,-57028.807106391396,32.0,4.0,28.0,8,10.004
circular_ges,alarm,alarm.xbif50001246_,4,10,1,16,0.0,-57104.63580218052,44.0,12.0,32.0,7,7.977
circular_ges,alarm,alarm.xbif50001246_,4,15,1,14,0.0,-56981.00464037407,34.0,6.0,28.0,7,8.174
circular_ges,alarm,alarm.xbif50001246_,4,20,1,19,0.0,-57145.73495680194,44.0,14.0,30.0,5,6.729
circular_ges,alarm,alarm.xbif50001246_,4,30,1,21,0.0,-57230.905487365366,54.0,20.0,34.0,5,8.663
circular_ges,alarm,alarm.xbif50001246_,4,50,1,21,0.0,-57230.905487365366,54.0,20.0,34.0,5,8.703
circular_ges,alarm,alarm.xbif50001246_,4,5,1,14,0.0,-57043.865857789446,34.0,6.0,28.0,8,6.526
circular_ges,alarm,alarm.xbif50001246_,6,10,1,22,0.0,-57473.98531745712,48.0,16.0,32.0,6,10.569
circular_ges,alarm,alarm.xbif50001246_,6,15,1,21,0.0,-57526.71617830172,46.0,12.0,34.0,7,14.615
circular_ges,alarm,alarm.xbif50001246_,6,20,1,22,0.0,-57807.892477101064,50.0,18.0,32.0,7,13.848
circular_ges,alarm,alarm.xbif50001246_,6,30,1,22,0.0,-57675.416463372334,50.0,18.0,32.0,7,17.193
circular_ges,alarm,alarm.xbif50001246_,6,50,1,22,0.0,-57675.416463372334,50.0,18.0,32.0,7,16.131
circular_ges,alarm,alarm.xbif50001246_,6,5,1,14,0.0,-57028.807106391396,32.0,4.0,28.0,7,11.405
circular_ges,alarm,alarm.xbif50001246_,8,100,1,24,0.0,-57805.33467634951,54.0,20.0,34.0,8,12.015
circular_ges,alarm,alarm.xbif50001246_,8,10,1,21,0.0,-57493.86387735459,54.0,18.0,36.0,9,10.65
circular_ges,alarm,alarm.xbif50001246_,8,15,1,23,0.0,-58185.37053969504,58.0,22.0,36.0,8,10.515
circular_ges,alarm,alarm.xbif50001246_,8,20,1,30,0.0,-58499.02072659815,72.0,30.0,42.0,9,11.984
circular_ges,alarm,alarm.xbif50001246_,8,30,1,24,0.0,-57805.33467634951,54.0,20.0,34.0,8,10.334
circular_ges,alarm,alarm.xbif50001246_,8,50,1,24,0.0,-57805.33467634951,54.0,20.0,34.0,8,12.153
circular_ges,alarm,alarm.xbif50001246_,8,5,1,16,0.0,-56854.69328334626,36.0,6.0,30.0,11,9.563
ges,alarm,alarm.xbif50001_,0,0,-1,17,0.0,-56489.18140022089,46.0,12.0,34.0,1,7.878
circular_ges,alarm,alarm.xbif50001_,16,50,1,34,0.0,-57665.27335430574,88.0,36.0,52.0,16,17.242
circular_ges,alarm,alarm.xbif50001_,2,10,1,18,0.0,-56808.296657617306,48.0,14.0,34.0,6,8.738
circular_ges,alarm,alarm.xbif50001_,2,15,1,19,0.0,-56486.87070469366,48.0,12.0,36.0,4,7.571
circular_ges,alarm,alarm.xbif50001_,2,20,1,28,0.0,-57654.35929289095,70.0,28.0,42.0,4,7.703
