algorithm,network,bbdd,threads,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
pges_clustering,alarm,alarm.xbif50001246_,2,100,2,20,0.0,-57430.977474069165,48.0,14.0,34.0,3,4.018
pges_clustering,alarm,alarm.xbif50001246_,2,10,2,19,0.0,-57530.09569554649,44.0,14.0,30.0,4,4.174
pges_clustering,alarm,alarm.xbif50001246_,2,15,2,18,0.0,-57061.55642299515,42.0,10.0,32.0,4,3.96
pges_clustering,alarm,alarm.xbif50001246_,2,20,2,20,0.0,-57423.045291299175,46.0,12.0,34.0,4,4.108
pges_clustering,alarm,alarm.xbif50001246_,2,30,2,20,0.0,-57423.04529129917,48.0,14.0,34.0,3,3.962
pges_clustering,alarm,alarm.xbif50001246_,2,50,2,20,0.0,-57430.977474069165,48.0,14.0,34.0,3,4.714
pges_clustering,alarm,alarm.xbif50001246_,2,5,2,18,0.0,-57070.09264362752,42.0,10.0,32.0,6,3.782
pges_clustering,alarm,alarm.xbif50001246_,4,100,2,20,0.0,-57423.045291299175,48.0,14.0,34.0,3,3.267
pges_clustering,alarm,alarm.xbif50001246_,4,10,2,18,0.0,-57566.316033908704,44.0,14.0,30.0,5,3.901
pges_clustering,alarm,alarm.xbif50001246_,4,15,2,18,0.0,-57053.624240225145,40.0,8.0,32.0,5,3.265
pges_clustering,alarm,alarm.xbif50001246_,4,20,2,20,0.0,-57423.04529129918,48.0,14.0,34.0,4,2.934
pges_clustering,alarm,alarm.xbif50001246_,4,30,2,20,0.0,-57423.045291299175,48.0,14.0,34.0,3,3.157
pges_clustering,alarm,alarm.xbif50001246_,4,50,2,20,0.0,-57423.045291299175,48.0,14.0,34.0,3,3.078
pges_clustering,alarm,alarm.xbif50001246_,4,5,2,15,0.0,-57228.567713256154,36.0,8.0,28.0,5,2.89
pges_clustering,alarm,alarm.xbif50001246_,6,100,2,16,0.0,-57400.30956549083,38.0,8.0,30.0,2,2.745
pges_clustering,alarm,alarm.xbif50001246_,6,10,2,16,0.0,-57169.41516799829,36.0,8.0,28.0,5,3.006
pges_clustering,alarm,alarm.xbif50001246_,6,15,2,18,0.0,-57515.88983372574,42.0,12.0,30.0,4,3.353
pges_clustering,alarm,alarm.xbif50001246_,6,20,2,20,0.0,-57430.97747406915,48.0,14.0,34.0,3,3.091
pges_clustering,alarm,alarm.xbif50001246_,6,30,2,16,0.0,-57400.30956549083,38.0,8.0,30.0,2,2.619
pges_clustering,alarm,alarm.xbif50001246_,6,50,2,16,0.0,-57400.30956549083,38.0,8.0,30.0,2,2.547
pges_clustering,alarm,alarm.xbif50001246_,6,5,2,25,0.0,-58667.681404664174,56.0,16.0,40.0,5,3.618
pges_clustering,alarm,alarm.xbif50001246_,8,100,2,16,0.0,-57375.74732357254,38.0,8.0,30.0,3,3.834
pges_clustering,alarm,alarm.xbif50001246_,8,10,2,18,0.0,-57566.31603390869,44.0,14.0,30.0,5,4.27
pges_clustering,alarm,alarm.xbif50001246_,8,15,2,16,0.0,-57375.747323572534,38.0,8.0,30.0,4,4.055
pges_clustering,alarm,alarm.xbif50001246_,8,20,2,16,0.0,-57375.74732357254,38.0,8.0,30.0,3,3.311
pges_clustering,alarm,alarm.xbif50001246_,8,30,2,16,0.0,-57375.74732357254,38.0,8.0,30.0,3,3.746
pges_clustering,alarm,alarm.xbif50001246_,8,50,2,16,0.0,-57375.74732357254,38.0,8.0,30.0,3,3.791
pges_clustering,alarm,alarm.xbif50001246_,8,5,2,17,0.0,-57597.98876433017,40.0,10.0,30.0,6,4.711
pges_clustering,alarm,alarm.xbif50001_,2,100,2,22,0.0,-56861.20154258293,56.0,18.0,38.0,3,5.048
pges_clustering,alarm,alarm.xbif50001_,2,10,2,22,0.0,-56861.20154258291,56.0,18.0,38.0,5,4.178
