algorithm,network,bbdd,threads,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
pges_clustering_lp,alarm,alarm.xbif50001246_,2,100,2,14,0.0,-57052.71908651155,34.0,6.0,28.0,4,4.761
pges_clustering_lp,alarm,alarm.xbif50001246_,2,10,2,14,0.0,-57035.93367501947,34.0,6.0,28.0,5,3.479
pges_clustering_lp,alarm,alarm.xbif50001246_,2,15,2,14,0.0,-56988.93682314407,32.0,4.0,28.0,5,3.867
pges_clustering_lp,alarm,alarm.xbif50001246_,2,20,2,16,0.0,-57311.918846293716,40.0,6.0,34.0,4,4.682
pges_clustering_lp,alarm,alarm.xbif50001246_,2,30,2,14,0.0,-57044.78690374156,34.0,6.0,28.0,4,4.539
pges_clustering_lp,alarm,alarm.xbif50001246_,2,50,2,14,0.0,-57052.71908651155,34.0,6.0,28.0,4,5.727
pges_clustering_lp,alarm,alarm.xbif50001246_,2,5,2,14,0.0,-56997.47304377643,34.0,6.0,28.0,6,3.433
pges_clustering_lp,alarm,alarm.xbif50001246_,4,100,2,14,0.0,-56981.00464037409,34.0,6.0,28.0,2,2.58
pges_clustering_lp,alarm,alarm.xbif50001246_,4,10,2,14,0.0,-57019.465271617104,32.0,4.0,28.0,4,3.231
pges_clustering_lp,alarm,alarm.xbif50001246_,4,15,2,14,0.0,-56981.00464037408,32.0,4.0,28.0,3,2.484
pges_clustering_lp,alarm,alarm.xbif50001246_,4,20,2,14,0.0,-57044.786903741566,32.0,4.0,28.0,4,3.447
pges_clustering_lp,alarm,alarm.xbif50001246_,4,30,2,14,0.0,-56981.00464037409,34.0,6.0,28.0,2,2.656
pges_clustering_lp,alarm,alarm.xbif50001246_,4,50,2,14,0.0,-56981.00464037409,34.0,6.0,28.0,2,2.726
pges_clustering_lp,alarm,alarm.xbif50001246_,4,5,2,17,0.0,-57602.52221037732,42.0,14.0,28.0,5,2.81
pges_clustering_lp,alarm,alarm.xbif50001246_,6,100,2,16,0.0,-57375.74732357253,38.0,8.0,30.0,3,3.438
pges_clustering_lp,alarm,alarm.xbif50001246_,6,10,2,18,0.0,-57524.287567949395,42.0,12.0,30.0,5,3.075
pges_clustering_lp,alarm,alarm.xbif50001246_,6,15,2,16,0.0,-57414.20795481557,38.0,8.0,30.0,6,3.766
pges_clustering_lp,alarm,alarm.xbif50001246_,6,20,2,18,0.0,-57517.809586005205,44.0,14.0,30.0,4,3.345
pges_clustering_lp,alarm,alarm.xbif50001246_,6,30,2,16,0.0,-57375.74732357253,38.0,8.0,30.0,3,3.492
pges_clustering_lp,alarm,alarm.xbif50001246_,6,50,2,16,0.0,-57375.74732357253,38.0,8.0,30.0,3,2.941
pges_clustering_lp,alarm,alarm.xbif50001246_,6,5,2,14,0.0,-57019.95387766929,34.0,6.0,28.0,6,3.168
pges_clustering_lp,alarm,alarm.xbif50001246_,8,100,2,16,0.0,-57375.74732357252,38.0,8.0,30.0,3,3.55
pges_clustering_lp,alarm,alarm.xbif50001246_,8,10,2,18,0.0,-57524.28756794941,42.0,12.0,30.0,5,4.391
pges_clustering_lp,alarm,alarm.xbif50001246_,8,15,2,16,0.0,-57414.20795481557,38.0,8.0,30.0,5,4.539
pges_clustering_lp,alarm,alarm.xbif50001246_,8,20,2,18,0.0,-57517.8095860052,44.0,14.0,30.0,4,4.174
pges_clustering_lp,alarm,alarm.xbif50001246_,8,30,2,16,0.0,-57375.74732357252,38.0,8.0,30.0,3,3.867
pges_clustering_lp,alarm,alarm.xbif50001246_,8,50,2,16,0.0,-57375.74732357252,38.0,8.0,30.0,3,4.159
pges_clustering_lp,alarm,alarm.xbif50001246_,8,5,2,14,0.0,-57054.125600720945,34.0,6.0,28.0,6,4.138
pges_clustering_lp,alarm,alarm.xbif50001_,2,100,2,16,0.0,-56405.163809787446,40.0,8.0,32.0,4,6.153
pges_clustering_lp,alarm,alarm.xbif50001_,2,10,2,16,0.0,-56378.80405675925,42.0,10.0,32.0,5,4.422
pges_clustering_lp,alarm,alarm.xbif50001_,2,15,2,16,0.0,-56378.804056759254,42.0,10.0,32.0,3,3.634
pges_clustering_lp,alarm,alarm.xbif50001_,2,20,2,16,0.0,-56378.80405675925,42.0,10.0,32.0,3,3.624
pges_clustering_lp,alarm,alarm.xbif50001_,2,30,2,16,0.0,-56441.97693657536,40.0,8.0,32.0,4,4.892
pges_clustering_lp,alarm,alarm.xbif50001_,2,50,2,16,0.0,-56405.163809787446,40.0,8.0,32.0,4,6.174
pges_clustering_lp,alarm,alarm.xbif50001_,2,5,2,16,0.0,-56378.80405675925,42.0,10.0,32.0,8,4.909
pges_clustering_lp,alarm,alarm.xbif50001_,4,100,2,17,0.0,-56451.49174699579,42.0,8.0,34.0,4,4.458
pges_clustering_lp,alarm,alarm.xbif50001_,4,10,2,16,0.0,-56378.804056759254,42.0,10.0,32.0,3,2.427
pges_clustering_lp,alarm,alarm.xbif50001_,4,15,2,16,0.0,-56378.80405675924,42.0,10.0,32.0,3,2.537
pges_clustering_lp,alarm,alarm.xbif50001_,4,20,2,17,0.0,-56451.49174699578,42.0,8.0,34.0,4,3.374
pges_clustering_lp,alarm,alarm.xbif50001_,4,30,2,17,0.0,-56451.49174699579,42.0,8.0,34.0,4,4.198
pges_clustering_lp,alarm,alarm.xbif50001_,4,50,2,17,0.0,-56451.49174699579,42.0,8.0,34.0,4,3.893
pges_clustering_lp,alarm,alarm.xbif50001_,4,5,2,16,0.0,-56415.61718354718,42.0,10.0,32.0,6,3.297
pges_clustering_lp,alarm,alarm.xbif50001_,6,100,2,17,0.0,-56451.49174699578,44.0,10.0,34.0,4,3.676
pges_clustering_lp,alarm,alarm.xbif50001_,6,10,2,17,0.0,-56388.318867179645,44.0,10.0,34.0,3,2.343
pges_clustering_lp,alarm,alarm.xbif50001_,6,15,2,16,0.0,-56378.80405675924,42.0,10.0,32.0,3,2.719
pges_clustering_lp,alarm,alarm.xbif50001_,6,20,2,17,0.0,-56451.491746995765,42.0,8.0,34.0,4,3.412
pges_clustering_lp,alarm,alarm.xbif50001_,6,30,2,17,0.0,-56451.49174699578,44.0,10.0,34.0,4,3.813
pges_clustering_lp,alarm,alarm.xbif50001_,6,50,2,17,0.0,-56451.49174699578,44.0,10.0,34.0,4,3.702
pges_clustering_lp,alarm,alarm.xbif50001_,6,5,2,16,0.0,-56378.80405675925,42.0,10.0,32.0,5,2.891
pges_clustering_lp,alarm,alarm.xbif50001_,8,100,2,17,0.0,-56451.49174699578,42.0,8.0,34.0,4,4.777
pges_clustering_lp,alarm,alarm.xbif50001_,8,10,2,16,0.0,-56427.13727965713,42.0,10.0,32.0,3,3.074
pges_clustering_lp,alarm,alarm.xbif50001_,8,15,2,16,0.0,-56378.80405675924,42.0,10.0,32.0,3,3.165
pges_clustering_lp,alarm,alarm.xbif50001_,8,20,2,17,0.0,-56451.49174699578,42.0,8.0,34.0,4,4.594
pges_clustering_lp,alarm,alarm.xbif50001_,8,30,2,17,0.0,-56451.49174699578,42.0,8.0,34.0,4,4.427
pges_clustering_lp,alarm,alarm.xbif50001_,8,50,2,17,0.0,-56451.49174699578,42.0,8.0,34.0,4,4.797
pges_clustering_lp,alarm,alarm.xbif50001_,8,5,2,16,0.0,-56427.13727965713,42.0,10.0,32.0,5,4.055
pges_clustering_lp,alarm,alarm.xbif50002_,2,100,2,15,0.0,-56607.9544630214,36.0,6.0,30.0,5,6.317
pges_clustering_lp,alarm,alarm.xbif50002_,2,10,2,15,0.0,-56574.36365015517,34.0,4.0,30.0,5,4.355
pges_clustering_lp,alarm,alarm.xbif50002_,2,15,2,15,0.0,-56539.45128704399,34.0,4.0,30.0,6,4.706
