iterations,time(s),score
0,0.194,-55199.07598764782
1,0.043,-55178.18694477337
2,0.043,-55178.18694477337
3,0.031,-55178.18694477337
4,0.032,-55178.18694477337
5,0.029,-55178.18694477337
6,0.017,-54790.105095823834
7,0.027,-54790.105095823834
8,0.023,-54790.105095823834
9,0.025,-54790.105095823834
10,0.023,-54790.105095823834
11,0.009,-54790.105095823834
12,0.019,-54790.105095823834
13,0.01,-54790.105095823834
14,0.014,-54790.105095823834
15,0.01,-54790.105095823834
16,0.009,-54790.105095823834
17,0.01,-54790.105095823834
18,0.014,-54790.105095823834
19,0.013,-54790.105095823834
20,0.011,-54790.105095823834
21,0.005,-54790.105095823834
22,0.007,-54790.105095823834
23,0.009,-54790.105095823834
24,0.01,-54790.105095823834
25,0.008,-54790.105095823834
26,0.011,-54790.105095823834
27,0.008,-54790.105095823834
28,0.009,-54790.105095823834
29,0.005,-54185.1484517175
30,0.008,-54185.1484517175
31,0.015,-54185.1484517175
32,0.006,-54185.1484517175
33,0.008,-54185.1484517175
34,0.008,-54185.1484517175
35,0.013,-54185.1484517175
36,0.013,-54185.1484517175
37,0.005,-54185.1484517175
38,0.007,-54185.1484517175
39,0.013,-54185.1484517175
40,0.011,-54185.1484517175
41,0.009,-54185.1484517175
42,0.01,-54185.1484517175
43,0.003,-54185.1484517175
44,0.005,-54185.1484517175
45,0.005,-54185.1484517175
46,0.005,-54185.1484517175
47,0.007,-54185.1484517175
48,0.018,-54185.1484517175
49,0.007,-54185.1484517175
50,0.004,-54073.856358411445
51,0.007,-54073.856358411445
52,0.007,-54073.856358411445
53,0.007,-54073.856358411445
54,0.009,-54073.856358411445
55,0.012,-54073.856358411445
56,0.005,-54073.856358411445
57,0.008,-54073.856358411445
58,0.006,-54073.856358411445
59,0.005,-54073.856358411445
60,0.005,-54073.856358411445
61,0.004,-54073.856358411445
62,0.007,-54073.856358411445
63,0.003,-54073.856358411445
64,0.006,-54073.856358411445
65,0.007,-54073.856358411445
66,0.006,-54073.856358411445
67,0.007,-54073.856358411445
68,0.003,-54073.856358411445
69,0.005,-54073.856358411445
70,0.006,-54073.856358411445
71,0.004,-54073.856358411445
72,0.007,-54073.856358411445
73,0.009,-54073.856358411445
74,0.004,-54073.856358411445
75,0.005,-54073.856358411445
76,0.005,-54073.856358411445
77,0.005,-54073.856358411445
78,0.004,-54073.856358411445
79,0.006,-54073.856358411445
80,0.003,-54073.856358411445
81,0.005,-54073.856358411445
82,0.004,-54073.856358411445
83,0.004,-54073.856358411445
84,0.006,-54073.856358411445
85,0.008,-54073.856358411445
86,0.004,-54073.856358411445
87,0.003,-54073.856358411445
88,0.005,-54073.856358411445
89,0.007,-54073.856358411445
90,0.006,-54073.856358411445
91,0.003,-54073.856358411445
92,0.003,-54073.856358411445
93,0.004,-54073.856358411445
94,0.004,-54073.856358411445
95,0.004,-54073.856358411445
96,0.005,-54073.856358411445
97,0.004,-54073.856358411445
98,0.003,-54073.856358411445
99,0.011,-54073.856358411445
100,0.005,-54073.856358411445
101,0.004,-54073.856358411445
102,0.003,-54073.856358411445
103,0.003,-54073.856358411445
104,0.005,-54073.856358411445
105,0.006,-54073.856358411445
106,0.005,-54073.856358411445
107,0.005,-54073.856358411445
108,0.003,-54073.856358411445
109,0.003,-54073.856358411445
110,0.004,-54073.856358411445
111,0.005,-54073.856358411445
112,0.006,-54073.856358411445
113,0.005,-54073.856358411445
114,0.002,-54073.856358411445
115,0.004,-54073.856358411445
116,0.004,-54073.856358411445
117,0.006,-54073.856358411445
118,0.004,-54073.856358411445
119,0.004,-54073.856358411445
120,0.003,-54073.856358411445
121,0.003,-54073.856358411445
122,0.005,-54073.856358411445
123,0.001,-54073.856358411445
124,0.003,-54073.856358411445
125,0.004,-54073.856358411445
126,0.003,-54073.856358411445
127,0.002,-54073.856358411445
128,0.003,-54073.856358411445
129,0.002,-54073.856358411445
130,0.003,-54073.856358411445
131,0.008,-54073.856358411445
132,0.005,-54073.856358411445
133,0.003,-54073.856358411445
134,0.002,-54073.856358411445
135,0.004,-54073.856358411445
136,0.004,-54073.856358411445
137,0.004,-54073.856358411445
138,0.004,-54073.856358411445
139,0.003,-54073.856358411445
140,0.003,-54073.856358411445
141,0.003,-54073.856358411445
142,0.002,-54073.856358411445
143,0.003,-54073.856358411445
144,0.004,-54073.856358411445
145,0.003,-54073.856358411445
146,0.003,-54073.856358411445
147,0.002,-54073.856358411445
148,0.004,-54073.856358411445
149,0.003,-54073.856358411445
150,0.002,-54073.856358411445
151,0.002,-54073.856358411445
152,0.003,-54073.856358411445
153,0.005,-54073.856358411445
154,0.004,-54073.856358411445
155,0.002,-54073.856358411445
156,0.002,-54073.856358411445
157,0.002,-54073.856358411445
158,0.003,-54073.856358411445
159,0.002,-54073.856358411445
160,0.003,-54073.856358411445
161,0.002,-54073.856358411445
162,0.002,-54073.856358411445
163,0.002,-54073.856358411445
164,0.003,-54073.856358411445
165,0.002,-54073.856358411445
166,0.001,-54073.856358411445
167,0.002,-54073.856358411445
168,0.003,-54073.856358411445
169,0.002,-54073.856358411445
170,0.004,-54073.856358411445
