algorithm,network,bbdd,threads,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
PGESwithStages,res/alarm,alarm.xbif_,1,10,29,21,-0.4429225043996295,-56840.814005682594,27.33805233805234,8.291505791505791,19.046546546546548,7,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,3,19,-0.4085713169352263,-56802.79370570464,24.365079365079367,7.750965250965251,16.614114114114116,6,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,2,15,-0.42597585870662286,-56770.694647991775,18.496353496353496,3.581081081081081,14.915272415272412,6,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,7,20,-0.46836695912573967,-57087.230943014816,26.655941655941657,6.9594594594594605,19.696482196482197,6,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,11,21,-0.44473500463294036,-56884.890675651186,27.33805233805234,8.291505791505791,19.046546546546548,6,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,5,16,-0.4298329507954137,-56755.085612249546,19.62247962247962,3.581081081081081,16.04139854139854,8,3
PGESwithStages,res/alarm,alarm.xbif_,1,10,23,15,-0.45340597005008176,-56849.22074067659,20.25954525954526,5.472972972972973,14.786572286572286,8,3
PGESwithStages,res/alarm,alarm.xbif_,1,10,7,19,-0.4634864968426318,-56829.39691702035,24.365079365079367,7.750965250965251,16.614114114114116,8,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,2,21,-0.3959132476847124,-56840.81400568259,29.229944229944227,10.183397683397684,19.046546546546548,10,6
PGESwithStages,res/alarm,alarm.xbif_,1,5,5,17,-0.3812623365335152,-56896.72295320483,25.394680394680396,8.175675675675675,17.21900471900472,10,6
PGESwithStages,res/alarm,alarm.xbif_,1,10,17,16,-0.4123007245435188,-56772.55907090244,21.514371514371515,5.472972972972973,16.04139854139854,7,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,3,18,-0.40219607799411516,-56864.1887268253,26.649506649506648,8.175675675675675,18.473830973830975,11,7
PGESwithStages,res/alarm,alarm.xbif_,1,10,5,19,-0.441554644299208,-56766.70858183865,22.202917202917202,5.588803088803089,16.614114114114116,10,8
PGESwithStages,res/alarm,alarm.xbif_,1,10,13,21,-0.3832251439185736,-56840.81400568259,27.33805233805234,8.291505791505791,19.046546546546548,8,7
PGESwithStages,res/alarm,alarm.xbif_,1,10,11,18,-0.4530734475317085,-56880.82541084163,21.229086229086228,5.187687687687688,16.04139854139854,10,8
PGESwithStages,res/alarm,alarm.xbif_,1,10,19,16,-0.3849232052145289,-56860.25105875966,21.761046761046764,6.845774345774346,14.915272415272412,7,8
PGESwithStages,res/alarm,alarm.xbif_,1,5,7,18,-0.38089660586115237,-57084.665660259765,28.0973830973831,10.878378378378379,17.21900471900472,10,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,11,21,-0.43254463317316894,-56840.81400568258,29.229944229944227,10.183397683397684,19.046546546546548,12,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,19,17,-0.43390716242838556,-56800.72340186711,25.523380523380528,8.175675675675675,17.347704847704847,12,7
PGESwithStages,res/alarm,alarm.xbif_,1,10,2,17,-0.4537701968050576,-56835.72109259892,23.631488631488633,6.283783783783785,17.347704847704847,9,7
PGESwithStages,res/alarm,alarm.xbif_,1,10,3,18,-0.42400160463300607,-56864.18872682529,26.649506649506648,8.175675675675675,18.473830973830975,8,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,17,15,-0.46713079843829747,-56849.220740676596,20.25954525954526,5.472972972972973,14.786572286572286,13,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,23,22,-0.4435760564799397,-56869.28163990896,28.46417846417847,8.291505791505791,20.17267267267267,12,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,29,17,-0.4221677552422938,-56827.32661318281,25.523380523380528,8.175675675675675,17.347704847704847,12,7
PGESwithStages,res/alarm,alarm.xbif_,1,5,13,20,-0.407274763486066,-56831.26133993102,25.49120549120549,7.750965250965251,17.740240240240237,13,9
PGESwithStages,res/alarm,alarm.xbif_,1,15,13,16,-0.4115429821409979,-56868.296830348474,19.493779493779492,3.581081081081081,15.91269841269841,7,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,17,17,-0.3888511622409531,-56817.935068628314,25.523380523380528,8.175675675675675,17.347704847704847,6,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,19,21,-0.43254463317316894,-56840.81400568258,29.229944229944227,10.183397683397684,19.046546546546548,6,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,2,20,-0.4520139093143722,-56431.70894172481,27.33805233805234,10.183397683397684,17.154654654654657,10,2
PGESwithStages,res/alarm,alarm.xbif_,1,15,23,21,-0.5021551496880875,-57036.67750563886,29.00471900471901,11.264478764478763,17.740240240240237,6,3
PGESwithStages,res/alarm,alarm.xbif_,1,15,29,15,-0.38646939900528693,-56770.69464799177,18.496353496353496,3.581081081081081,14.915272415272412,7,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,13,17,-0.43254749869132414,-56451.49174699577,24.75761475761476,8.175675675675675,16.581939081939083,12,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,5,16,-0.46068199184753783,-56378.80405675923,23.631488631488633,8.175675675675675,15.455812955812956,11,6
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,7,17,-0.44617685623924547,-56566.672504296585,26.33419133419134,10.878378378378379,15.455812955812956,10,6
PGESwithStages,res/alarm,alarm.xbif50001_,1,15,2,16,-0.4334873964853785,-56405.16380978744,23.631488631488633,8.175675675675675,15.455812955812956,6,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,3,17,-0.3997297877174526,-56451.49174699578,22.865722865722866,6.283783783783785,16.581939081939083,11,8
PGESwithStages,res/alarm,alarm.xbif50001_,1,15,3,16,-0.37442790414049626,-56378.80405675924,23.631488631488633,8.175675675675675,15.455812955812956,6,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,11,20,-0.40219161744480797,-56458.068694753034,27.33805233805234,10.183397683397684,17.154654654654657,12,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,19,16,-0.3961834913370238,-56378.80405675924,23.631488631488633,8.175675675675675,15.455812955812956,12,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,29,16,-0.40580107073365695,-56405.163809787446,23.631488631488633,8.175675675675675,15.455812955812956,12,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,5,20,-0.39314682970429327,-56431.70894172481,25.446160446160448,8.291505791505791,17.154654654654657,7,6
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,7,16,-0.4617821583054427,-56405.16380978742,23.631488631488633,8.175675675675675,15.455812955812956,7,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,11,16,-0.4454724301719656,-56405.16380978742,23.631488631488633,8.175675675675675,15.455812955812956,7,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,17,17,-0.476296199581623,-56414.678620207844,24.75761475761476,8.175675675675675,16.581939081939083,12,8
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,3,16,-0.38650524164925404,-56441.97693657536,23.631488631488633,8.175675675675675,15.455812955812956,7,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,2,16,-0.451641784300052,-56415.61718354716,21.73959673959674,6.283783783783785,15.455812955812956,8,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,15,5,17,-0.354641553523817,-56414.678620207844,24.75761475761476,8.175675675675675,16.581939081939083,6,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,13,20,-0.39314682970429327,-56431.70894172481,25.446160446160448,8.291505791505791,17.154654654654657,7,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,15,7,17,-0.41460090392018834,-56414.678620207844,22.865722865722866,6.283783783783785,16.581939081939083,5,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,5,23,20,-0.4006236659389769,-56458.068694753034,27.33805233805234,10.183397683397684,17.154654654654657,13,8
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,17,17,-0.47149513754085104,-56414.67862020782,22.865722865722866,6.283783783783785,16.581939081939083,7,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,23,16,-0.49285375811354565,-56405.163809787424,23.631488631488633,8.175675675675675,15.455812955812956,6,6
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,29,20,-0.4520139093143722,-56431.70894172481,27.33805233805234,10.183397683397684,17.154654654654657,6,6
PGESwithStages,res/alarm,alarm.xbif50001_,1,10,19,16,-0.42161887576744544,-56415.61718354716,23.631488631488633,8.175675675675675,15.455812955812956,7,7
PGESwithStages,res/alarm,alarm.xbif50001_,1,15,11,20,-0.44202411009508796,-56458.06869475303,27.33805233805234,10.183397683397684,17.154654654654657,6,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,15,13,17,-0.354641553523817,-56414.678620207844,24.75761475761476,8.175675675675675,16.581939081939083,6,3
PGESwithStages,res/alarm,alarm.xbif50001_,1,15,17,16,-0.4044468809109897,-56378.80405675923,23.631488631488633,8.175675675675675,15.455812955812956,4,2
