algorith, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/cancer,cancer.xbif50001_,0,5,-1,2,-0.42427858027531834,-10599.609907506512,0.8,0.0,4.0,0,0
hc,res/networks/cancer,cancer.xbif50001_,1,5,-1,2,-0.42427858027531834,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,5,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,5,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,5,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,13,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,13,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,13,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
