algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/child,child.xbif50001_,0,5,-1,25,-0.7351506057572956,-73948.7281354683,2.6,0.0,52.0,0,0
hc,res/networks/child,child.xbif50001_,1,5,-1,8,-0.6172658082393148,-63665.809270519705,1.1,14.0,8.0,7,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,2,2,-0.6680503994722604,-62873.02112027142,0.2,0.0,4.0,6,0
pges,res/networks/child,child.xbif50001_,1,5,2,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
phc,res/networks/child,child.xbif50001_,1,5,2,2,-0.6680503994722604,-62873.02112027142,0.2,0.0,4.0,6,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,3,9,-0.549702779140263,-63413.22849694798,1.3,20.0,6.0,7,0
pges,res/networks/child,child.xbif50001_,1,5,3,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
phc,res/networks/child,child.xbif50001_,1,5,3,9,-0.549702779140263,-63413.22849694798,1.3,20.0,6.0,7,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,5,5,-0.5936036275907093,-63672.14004354901,0.7,8.0,6.0,7,0
pges,res/networks/child,child.xbif50001_,1,5,5,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
phc,res/networks/child,child.xbif50001_,1,5,5,5,-0.5936036275907093,-63672.14004354901,0.7,8.0,6.0,7,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,7,5,-0.6318008588175609,-62957.96471961333,0.6,6.0,6.0,7,0
pges,res/networks/child,child.xbif50001_,1,5,7,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
phc,res/networks/child,child.xbif50001_,1,5,7,5,-0.6318008588175609,-62957.96471961333,0.6,6.0,6.0,7,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,11,6,-0.6246235620379739,-63666.05510842385,0.9,12.0,6.0,7,0
pges,res/networks/child,child.xbif50001_,1,5,11,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
phc,res/networks/child,child.xbif50001_,1,5,11,6,-0.6246235620379739,-63666.05510842385,0.9,12.0,6.0,7,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,13,4,-0.6152845467484459,-63476.38236490561,0.5,4.0,6.0,6,0
pges,res/networks/child,child.xbif50001_,1,5,13,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
phc,res/networks/child,child.xbif50001_,1,5,13,4,-0.6152845467484459,-63476.38236490561,0.5,4.0,6.0,6,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,17,7,-0.7110638355049018,-63611.238848231784,0.9,10.0,8.0,7,0
pges,res/networks/child,child.xbif50001_,1,5,17,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
phc,res/networks/child,child.xbif50001_,1,5,17,7,-0.7110638355049018,-63611.238848231784,0.9,10.0,8.0,7,0
pfhcbes,res/networks/child,child.xbif50001_,1,5,19,3,-0.6300355527340169,-62927.591542559334,0.4,4.0,4.0,7,0
pges,res/networks/child,child.xbif50001_,1,5,19,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,8,0
