algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/hailfinder,hailfinder.xbif50001_,0,5,-1,94,-1.1097743258631736,-313806.0574381563,3.5,0.0,196.0,0,0
hc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,-1,45,-0.8866303448101561,-259274.4517188326,1.6071428571428572,16.0,74.0,13,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,2,45,-1.0470751555936226,-259308.30796725224,1.6071428571428572,16.0,74.0,13,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,2,39,-1.0094721874902353,-259105.50600032482,1.3928571428571428,10.0,68.0,13,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,2,45,-1.0470751555936226,-259308.30796725224,1.6071428571428572,16.0,74.0,13,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,3,47,-1.0577532783096641,-259472.9478554265,1.6785714285714286,18.0,76.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,3,45,-1.1396662593894111,-259175.3001305329,1.6428571428571428,16.0,76.0,14,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,3,47,-1.0577532783096641,-259472.9478554265,1.6785714285714286,18.0,76.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,5,40,-1.0901748342864415,-259541.06537038533,1.4285714285714286,12.0,68.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,5,45,-1.112859770768075,-259194.61370478055,1.6428571428571428,16.0,76.0,13,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,5,40,-1.0901748342864415,-259541.06537038533,1.4285714285714286,12.0,68.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,7,43,-1.0509649182705572,-259693.81349188933,1.5357142857142858,10.0,76.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,7,44,-0.9926156014511501,-259155.67293613075,1.6071428571428572,14.0,76.0,13,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,7,43,-1.0509649182705572,-259693.81349188933,1.5357142857142858,10.0,76.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,11,42,-1.0277541451159633,-259746.35618520537,1.5714285714285714,18.0,70.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,11,40,-0.9928511846325281,-259147.2930726935,1.4285714285714286,10.0,70.0,13,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,11,42,-1.0277541451159633,-259746.35618520537,1.5714285714285714,18.0,70.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,13,46,-1.1217830047435806,-259682.0306573231,1.7142857142857142,24.0,72.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,13,43,-0.9625200264762341,-259146.73250543178,1.5357142857142858,14.0,72.0,13,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,13,46,-1.1217830047435806,-259682.0306573231,1.7142857142857142,24.0,72.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,17,45,-1.1034585173233005,-259486.93091952652,1.6071428571428572,16.0,74.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,17,39,-1.0639990392530214,-259155.702609585,1.3928571428571428,10.0,68.0,13,5
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,17,45,-1.1034585173233005,-259486.93091952652,1.6071428571428572,16.0,74.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,19,42,-1.1547670387044757,-259597.83464575568,1.5357142857142858,16.0,70.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,19,40,-0.9928511846325281,-259147.2930726935,1.4285714285714286,10.0,70.0,13,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,19,42,-1.1547670387044757,-259597.83464575568,1.5357142857142858,16.0,70.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,23,41,-1.098563751973358,-259555.68551741817,1.4642857142857142,12.0,70.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,23,41,-1.1110301430792107,-259169.1193866475,1.4642857142857142,12.0,70.0,13,6
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,23,41,-1.098563751973358,-259555.68551741817,1.4642857142857142,12.0,70.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,1,5,29,46,-1.062035064308103,-259734.90299344118,1.7142857142857142,24.0,72.0,14,3
pges,res/networks/hailfinder,hailfinder.xbif50001_,1,5,29,39,-1.0639990392530214,-259155.702609585,1.3928571428571428,10.0,68.0,13,5
phc,res/networks/hailfinder,hailfinder.xbif50001_,1,5,29,46,-1.062035064308103,-259734.90299344118,1.7142857142857142,24.0,72.0,14,3
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,2,47,-1.0596057773210619,-259584.15454462857,1.6785714285714286,18.0,76.0,11,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,2,46,-1.0604687104564055,-259217.09973145655,1.6428571428571428,16.0,76.0,13,4
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,2,49,-1.0736438293978492,-260035.51650486988,1.8571428571428572,24.0,80.0,10,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,3,51,-1.1206435308821212,-259468.41188929777,1.8214285714285714,22.0,80.0,11,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,3,52,-1.1658759558928191,-259287.6933703395,1.8928571428571428,22.0,84.0,12,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,3,48,-1.1010547180670667,-259671.29859402124,1.75,22.0,76.0,11,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,5,51,-1.106598444564767,-259458.71695881983,1.8214285714285714,22.0,80.0,10,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,5,40,-1.094919941320603,-259367.7964953682,1.4285714285714286,12.0,68.0,11,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,5,52,-1.1678226019797222,-259394.16205913317,1.8571428571428572,22.0,82.0,11,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,7,46,-1.1098136617979049,-259265.3653109379,1.6428571428571428,18.0,74.0,12,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,7,42,-1.0628499290544404,-259136.77933786507,1.5,14.0,70.0,12,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,7,40,-1.1119518066280658,-259744.76064804383,1.4642857142857142,14.0,68.0,11,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,11,43,-1.1083682876198595,-260010.88124377522,1.6071428571428572,18.0,72.0,11,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,11,40,-1.0387894770466046,-259371.49163522088,1.4285714285714286,10.0,70.0,12,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,11,38,-1.1474698970283888,-259346.36591867814,1.3571428571428572,8.0,68.0,11,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,13,48,-1.0766140987420836,-259381.4800422467,1.7142857142857142,18.0,78.0,11,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,13,44,-1.0453452300876462,-259335.71243485183,1.5714285714285714,14.0,74.0,13,4
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,13,52,-1.0215296185845184,-259791.21043328114,1.9642857142857142,28.0,82.0,11,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,17,46,-1.145595134368419,-259505.50544615905,1.6428571428571428,16.0,76.0,11,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,17,44,-1.0027733802208518,-259360.69431465887,1.6071428571428572,14.0,76.0,11,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,17,44,-1.1102441469133584,-259711.0564896603,1.5714285714285714,18.0,70.0,11,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,19,50,-1.121018160980816,-259890.79263778406,1.7857142857142858,22.0,78.0,10,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,19,44,-1.1311067132792076,-259313.45621242846,1.5714285714285714,14.0,74.0,13,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,19,48,-1.1210351189505583,-259887.3894682982,1.7142857142857142,20.0,76.0,10,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,23,48,-1.0682067241179765,-261157.77632729008,1.75,24.0,74.0,11,2
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,23,47,-1.0833319093057487,-259268.3464346333,1.7142857142857142,16.0,80.0,11,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,23,49,-1.1084853064549587,-259954.0711957782,1.8214285714285714,24.0,78.0,11,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,2,5,29,50,-1.1246076078468596,-259494.29413284358,1.7857142857142858,22.0,78.0,12,2
pges,res/networks/hailfinder,hailfinder.xbif50001_,2,5,29,44,-1.0568392484962652,-259315.17298002096,1.6071428571428572,14.0,76.0,12,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,2,5,29,52,-1.1136793735595465,-259543.53847764712,1.8571428571428572,22.0,82.0,10,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,2,50,-1.110311450482327,-259297.13474024268,1.8214285714285714,20.0,82.0,7,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,2,53,-1.137582218579969,-261346.56117730902,1.8928571428571428,24.0,82.0,7,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,2,48,-1.1820013957760167,-259912.97486279754,1.7857142857142858,24.0,76.0,7,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,3,53,-1.1104691647981126,-259910.42802596063,1.9285714285714286,26.0,82.0,7,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,3,50,-1.0991034880511101,-259254.1867340417,1.8214285714285714,20.0,82.0,8,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,3,41,-1.117731298587959,-259440.34813805154,1.4642857142857142,10.0,72.0,8,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,5,41,-1.056968187317085,-259473.2116638332,1.4642857142857142,14.0,68.0,11,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,5,46,-1.117598035160719,-259283.63699217545,1.6785714285714286,16.0,78.0,8,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,5,43,-1.1446058655439237,-259636.92112019658,1.6071428571428572,20.0,70.0,7,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,7,46,-1.0503047804854346,-259428.77640270023,1.6428571428571428,16.0,76.0,7,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,7,42,-1.1469999734861525,-259218.63663748725,1.5,14.0,70.0,10,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,7,41,-1.130524040654433,-259616.5624684916,1.5,12.0,72.0,7,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,11,54,-1.0201746329321557,-259728.69329601026,2.0714285714285716,34.0,82.0,8,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,11,43,-1.0860858239219182,-259669.00635926233,1.5357142857142858,12.0,74.0,8,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,11,51,-1.1001763657659602,-259769.27284220586,1.8928571428571428,28.0,78.0,9,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,13,60,-1.0516465938948754,-259855.71929853197,2.2142857142857144,34.0,90.0,8,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,13,53,-0.9628183362573687,-259251.15354517303,1.9285714285714286,24.0,84.0,8,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,13,50,-1.0619087984076363,-260519.05568999329,1.8928571428571428,30.0,76.0,8,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,17,40,-1.1040719490916366,-259566.51622497477,1.4285714285714286,10.0,70.0,7,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,17,51,-1.028142201418696,-261958.9867535464,1.8571428571428572,24.0,80.0,9,5
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,17,41,-1.1068971835684351,-259514.27114807058,1.4642857142857142,10.0,72.0,7,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,19,42,-1.095935565026523,-259430.7920118656,1.5,12.0,72.0,7,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,19,40,-0.9745254259132776,-259454.6283268812,1.4285714285714286,10.0,70.0,10,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,19,44,-1.10974161465682,-260407.64747303596,1.6428571428571428,22.0,70.0,7,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,23,48,-1.113251430127773,-260155.59888549603,1.7142857142857142,22.0,74.0,9,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,23,49,-0.9905669858480465,-259427.4846893837,1.7857142857142858,20.0,80.0,9,3
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,23,45,-1.0651590179479604,-259992.92282404858,1.6428571428571428,20.0,72.0,7,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,4,5,29,55,-1.0288719083203561,-260407.3080568174,2.0,32.0,80.0,7,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,4,5,29,46,-1.10131729507881,-259357.54442410002,1.6785714285714286,16.0,78.0,9,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,4,5,29,58,-1.0954967875596768,-260399.8341169171,2.2142857142857144,40.0,84.0,7,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,6,5,2,50,-1.0844927514391083,-262657.5973254163,1.8928571428571428,30.0,76.0,6,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,6,5,2,39,-1.1257301459313522,-259312.6549413371,1.3928571428571428,8.0,70.0,8,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,6,5,2,48,-1.0694560326767937,-260049.2322845498,1.8214285714285714,28.0,74.0,6,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,6,5,3,49,-1.0785151661685421,-260017.14249329994,1.8214285714285714,26.0,76.0,6,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,6,5,3,46,-1.090493991548212,-259524.71491740082,1.6428571428571428,18.0,74.0,6,1
phc,res/networks/hailfinder,hailfinder.xbif50001_,6,5,3,47,-1.0784067718171797,-260017.55625171043,1.75,24.0,74.0,6,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,6,5,5,47,-1.022083361767722,-260418.04268261083,1.8571428571428572,30.0,74.0,6,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,6,5,5,50,-1.1212454858052958,-259300.2491627536,1.7857142857142858,20.0,80.0,7,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,6,5,5,47,-1.052657738061389,-260217.5959113348,1.75,24.0,74.0,5,0
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,6,5,7,58,-1.0350121676794741,-261995.73344963268,2.1785714285714284,38.0,84.0,6,1
pges,res/networks/hailfinder,hailfinder.xbif50001_,6,5,7,55,-1.1029485265379735,-259355.46691971133,1.9642857142857142,24.0,86.0,7,2
phc,res/networks/hailfinder,hailfinder.xbif50001_,6,5,7,58,-1.0350121676794741,-261995.73344963268,2.1785714285714284,38.0,84.0,6,1
pfhcbes,res/networks/hailfinder,hailfinder.xbif50001_,6,5,11,52,-1.077541026765534,-260305.96948132003,2.0,34.0,78.0,6,1
