algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/hepar2,hepar2.xbif50001_,0,5,-1,153,-0.48999314070261896,-172470.10337442087,6.514285714285714,0.0,456.0,0,0
hc,res/networks/hepar2,hepar2.xbif50001_,1,5,-1,89,-0.4681620577118231,-165662.0902034714,4.171428571428572,2.0,290.0,14,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,2,91,-0.48232475879192815,-165749.95822406377,4.257142857142857,6.0,292.0,14,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,5,2,85,-0.48043668569373615,-165615.17232629165,4.0,0.0,280.0,14,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,5,2,91,-0.48232475879192815,-165749.95822406377,4.257142857142857,6.0,292.0,14,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,3,91,-0.48291419854420853,-165753.07587613646,4.228571428571429,4.0,292.0,15,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,5,3,86,-0.4835922867466731,-165584.30973192744,4.0285714285714285,2.0,280.0,14,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,5,3,91,-0.48291419854420853,-165753.07587613646,4.228571428571429,4.0,292.0,15,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,5,89,-0.4342072781200896,-165767.51653487913,4.2,2.0,292.0,15,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,5,5,85,-0.48043668569373615,-165615.17232629165,4.0,0.0,280.0,14,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,5,5,89,-0.4342072781200896,-165767.51653487913,4.2,2.0,292.0,15,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,7,87,-0.46432417667051695,-165678.75280026114,4.057142857142857,0.0,284.0,15,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,5,7,85,-0.48043668569373615,-165615.17232629165,4.0,0.0,280.0,14,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,5,7,87,-0.46432417667051695,-165678.75280026114,4.057142857142857,0.0,284.0,15,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,11,86,-0.480538550225965,-165599.16337359053,4.0285714285714285,0.0,282.0,14,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,5,11,86,-0.4835922867466731,-165584.30973192744,4.0285714285714285,2.0,280.0,14,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,5,11,86,-0.480538550225965,-165599.16337359053,4.0285714285714285,0.0,282.0,14,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,13,91,-0.4470772532829791,-165807.93686626348,4.285714285714286,6.0,294.0,15,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,5,13,86,-0.4835922867466731,-165584.30973192744,4.0285714285714285,2.0,280.0,14,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,5,13,91,-0.4470772532829791,-165807.93686626348,4.285714285714286,6.0,294.0,15,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,17,91,-0.49247529768169074,-165810.34807365137,4.285714285714286,6.0,294.0,15,3
pges,res/networks/hepar2,hepar2.xbif50001_,1,5,17,85,-0.48043668569373615,-165615.17232629165,4.0,0.0,280.0,14,5
phc,res/networks/hepar2,hepar2.xbif50001_,1,5,17,91,-0.49247529768169074,-165810.34807365137,4.285714285714286,6.0,294.0,15,3
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,1,5,19,88,-0.47982218131580284,-165643.44755807714,4.114285714285714,6.0,282.0,15,3
