algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/water,water.xbif50001_,0,5,-1,118,-0.48030145387357315,-77974.93378015702,8.6875,0.0,278.0,0,0
hc,res/networks/water,water.xbif50001_,1,5,-1,97,-0.4080804851899108,-67127.63851013687,7.125,6.0,222.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,1,5,2,95,-0.4431684982697945,-67116.54195064316,7.0,6.0,218.0,8,0
pges,res/networks/water,water.xbif50001_,1,5,2,96,-0.4775569578918065,-67080.75070894381,7.0625,6.0,220.0,8,0
phc,res/networks/water,water.xbif50001_,1,5,2,95,-0.4431684982697945,-67116.54195064316,7.0,6.0,218.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,1,5,3,98,-0.48487226694257907,-67107.64555062231,7.1875,8.0,222.0,8,0
pges,res/networks/water,water.xbif50001_,1,5,3,96,-0.4775569578918065,-67080.75070894381,7.0625,6.0,220.0,8,0
phc,res/networks/water,water.xbif50001_,1,5,3,98,-0.48487226694257907,-67107.64555062231,7.1875,8.0,222.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,1,5,5,96,-0.5073107020671485,-67110.46707876305,7.0625,6.0,220.0,8,0
pges,res/networks/water,water.xbif50001_,1,5,5,96,-0.4775569578918065,-67080.75070894381,7.0625,6.0,220.0,8,0
phc,res/networks/water,water.xbif50001_,1,5,5,96,-0.5073107020671485,-67110.46707876305,7.0625,6.0,220.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,1,5,7,100,-0.4837641053228478,-67119.39545596951,7.3125,10.0,224.0,8,0
pges,res/networks/water,water.xbif50001_,1,5,7,96,-0.4775569578918065,-67080.75070894381,7.0625,6.0,220.0,8,0
phc,res/networks/water,water.xbif50001_,1,5,7,100,-0.4837641053228478,-67119.39545596951,7.3125,10.0,224.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,1,5,11,96,-0.5062258409998027,-67144.348817288,7.0625,6.0,220.0,8,0
pges,res/networks/water,water.xbif50001_,1,5,11,96,-0.4775569578918065,-67080.75070894381,7.0625,6.0,220.0,8,0
phc,res/networks/water,water.xbif50001_,1,5,11,96,-0.5062258409998027,-67144.348817288,7.0625,6.0,220.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,1,5,13,96,-0.45182750826779566,-67139.89555550274,7.0625,6.0,220.0,8,0
pges,res/networks/water,water.xbif50001_,1,5,13,96,-0.4775569578918065,-67080.75070894381,7.0625,6.0,220.0,8,0
phc,res/networks/water,water.xbif50001_,1,5,13,96,-0.45182750826779566,-67139.89555550274,7.0625,6.0,220.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,1,5,17,97,-0.4411016009013826,-67144.14515186986,7.125,6.0,222.0,8,0
pges,res/networks/water,water.xbif50001_,1,5,17,95,-0.48344674122855585,-67070.50873155688,6.9375,6.0,216.0,8,0
phc,res/networks/water,water.xbif50001_,1,5,17,97,-0.4411016009013826,-67144.14515186986,7.125,6.0,222.0,8,0
