algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,res/networks/win95pts,win95pts.xbif50001_,0,5,-1,220,-0.21989355526423032,-84556.84447646176,6.368421052631579,0.0,484.0,0,0
hc,res/networks/win95pts,win95pts.xbif50001_,1,5,-1,96,-0.12069372871843875,-49529.80830998447,2.8684210526315788,68.0,150.0,26,8
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,2,109,-0.2260291805368031,-49430.59975943554,3.1315789473684212,78.0,160.0,26,10
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,2,97,-0.2384875516169631,-49229.739977313206,2.9473684210526314,62.0,162.0,23,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,2,109,-0.2260291805368031,-49430.59975943554,3.1315789473684212,78.0,160.0,26,10
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,3,112,-0.23221596554342225,-49898.29987226971,3.3157894736842106,82.0,170.0,28,67
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,3,97,-0.23164248171008314,-49210.79231603338,2.9473684210526314,62.0,162.0,23,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,3,112,-0.23221596554342225,-49898.29987226971,3.3157894736842106,82.0,170.0,28,67
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,5,102,-0.2287570827698678,-49418.53099570151,3.026315789473684,68.0,162.0,26,9
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,5,103,-0.23723939176227948,-49174.28466751115,3.0526315789473686,70.0,162.0,25,10
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,5,102,-0.2287570827698678,-49418.53099570151,3.026315789473684,68.0,162.0,26,10
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,7,95,-0.23441984474387328,-49839.24770502134,2.8684210526315788,74.0,144.0,26,11
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,7,96,-0.2240813503391527,-49115.37522444369,2.8684210526315788,62.0,156.0,23,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,7,95,-0.23441984474387328,-49839.24770502134,2.8684210526315788,74.0,144.0,26,11
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,11,122,-0.2328130459822997,-49669.09000378857,3.5526315789473686,92.0,178.0,25,7
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,11,102,-0.2392112281350651,-49283.430625287416,3.1052631578947367,70.0,166.0,23,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,11,122,-0.2328130459822997,-49669.09000378857,3.5526315789473686,92.0,178.0,25,7
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,13,101,-0.2399630932931455,-49530.25342217775,2.9210526315789473,76.0,146.0,26,8
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,13,96,-0.23962129587849534,-49103.95732410216,2.8684210526315788,62.0,156.0,24,10
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,13,101,-0.2399630932931455,-49530.25342217775,2.9210526315789473,76.0,146.0,26,7
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,17,110,-0.22536327790958346,-49523.64130631878,3.263157894736842,88.0,160.0,27,8
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,17,108,-0.23966624483900104,-49334.64256954997,3.263157894736842,76.0,172.0,24,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,17,110,-0.22536327790958346,-49523.64130631878,3.263157894736842,88.0,160.0,27,8
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,19,106,-0.23469827078056885,-49874.02127630364,3.1578947368421053,92.0,148.0,27,8
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,19,97,-0.22959143638896118,-49210.79231603338,2.9473684210526314,62.0,162.0,23,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,19,106,-0.23469827078056885,-49874.02127630364,3.1578947368421053,92.0,148.0,26,8
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,23,119,-0.2101384508457981,-49851.236558293145,3.473684210526316,94.0,170.0,28,26
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,23,103,-0.24006294236604003,-49272.700760508975,3.1052631578947367,68.0,168.0,24,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,23,119,-0.2101384508457981,-49851.236558293145,3.473684210526316,94.0,170.0,28,25
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,1,5,29,117,-0.199530165357651,-49983.75878704901,3.473684210526316,96.0,168.0,29,40
pges,res/networks/win95pts,win95pts.xbif50001_,1,5,29,103,-0.2350597323689927,-49231.11604025038,3.1052631578947367,68.0,168.0,23,9
phc,res/networks/win95pts,win95pts.xbif50001_,1,5,29,117,-0.199530165357651,-49983.75878704901,3.473684210526316,96.0,168.0,29,40
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,2,5,2,129,-0.22135126881021555,-49360.057658406,3.763157894736842,96.0,190.0,16,3
pges,res/networks/win95pts,win95pts.xbif50001_,2,5,2,105,-0.2320938624746983,-49460.24893074616,3.1578947368421053,74.0,166.0,15,5
phc,res/networks/win95pts,win95pts.xbif50001_,2,5,2,123,-0.2145088119466594,-49564.00402236781,3.6578947368421053,98.0,180.0,18,4
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,2,5,3,118,-0.23219252612800945,-49906.570416098475,3.5789473684210527,108.0,164.0,18,5
pges,res/networks/win95pts,win95pts.xbif50001_,2,5,3,104,-0.21820046892805375,-49333.812692110354,2.9473684210526314,68.0,156.0,17,4
phc,res/networks/win95pts,win95pts.xbif50001_,2,5,3,112,-0.23508862385505935,-49995.20784531689,3.263157894736842,102.0,146.0,18,33
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,2,5,5,136,-0.23073435956917673,-49833.84895989837,4.052631578947368,118.0,190.0,18,4
pges,res/networks/win95pts,win95pts.xbif50001_,2,5,5,118,-0.23513571798668365,-49370.58296046084,3.5789473684210527,92.0,180.0,17,6
phc,res/networks/win95pts,win95pts.xbif50001_,2,5,5,122,-0.22546387644883173,-49706.411624805725,3.6842105263157894,102.0,178.0,18,6
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,2,5,7,111,-0.22782395085012583,-49338.236309617656,3.3157894736842106,86.0,166.0,16,3
pges,res/networks/win95pts,win95pts.xbif50001_,2,5,7,102,-0.22852528626472943,-49249.84948300617,3.026315789473684,70.0,160.0,17,4
phc,res/networks/win95pts,win95pts.xbif50001_,2,5,7,98,-0.21929488449609338,-49350.73989338111,2.9210526315789473,74.0,148.0,17,4
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,2,5,11,119,-0.23401419729983441,-49624.951863220915,3.473684210526316,96.0,168.0,19,4
pges,res/networks/win95pts,win95pts.xbif50001_,2,5,11,102,-0.22503827566185386,-49310.494224556154,3.0,68.0,160.0,18,5
phc,res/networks/win95pts,win95pts.xbif50001_,2,5,11,129,-0.23055535150915776,-49555.60931584799,3.8684210526315788,112.0,182.0,17,5
pfhcbes,res/networks/win95pts,win95pts.xbif50001_,2,5,13,128,-0.22820056257231416,-49552.02228363138,3.789473684210526,98.0,190.0,17,4
pges,res/networks/win95pts,win95pts.xbif50001_,2,5,13,109,-0.22679480633337676,-49443.65046654147,3.263157894736842,80.0,168.0,17,5
phc,res/networks/win95pts,win95pts.xbif50001_,2,5,13,124,-0.23796161657955936,-49543.30067216369,3.710526315789474,102.0,180.0,17,5
