SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
27,-533177.5481650409,1.7297297297297298,46.0,18.0,13.0,14,alarm,hc,50,0,5
38,-111830.87265454486,1.7837837837837838,32.0,34.0,6.0,4,alarm,hc,10,0,10
38,-111830.87265454486,1.7837837837837838,32.0,34.0,5.0,5,alarm,hc,10,0,15
38,-111830.87265454486,1.7837837837837838,32.0,34.0,5.0,4,alarm,hc,10,0,15
38,-111830.87265454486,1.7837837837837838,32.0,34.0,5.0,16,alarm,hc,10,0,15
27,-533177.5481650409,1.7297297297297298,46.0,18.0,13.0,6,alarm,hc,50,0,5
27,-533177.5481650409,1.7297297297297298,46.0,18.0,13.0,5,alarm,hc,50,0,5
38,-111830.87265454486,1.7837837837837838,32.0,34.0,6.0,4,alarm,hc,10,0,10
38,-111830.87265454486,1.7837837837837838,32.0,34.0,5.0,4,alarm,hc,10,0,15
38,-111830.87265454486,1.7837837837837838,32.0,34.0,6.0,16,alarm,hc,10,0,10
27,-533177.5481650409,1.7297297297297298,46.0,18.0,13.0,12,alarm,hc,50,0,5
38,-111830.87265454486,1.7837837837837838,32.0,34.0,6.0,3,alarm,hc,10,0,10
38,-111830.87265454486,1.7837837837837838,32.0,34.0,11.0,3,alarm,hc,10,0,5
27,-533177.5481650409,1.7297297297297298,46.0,18.0,7.0,11,alarm,hc,50,0,10
27,-533177.5481650409,1.7297297297297298,46.0,18.0,5.0,5,alarm,hc,50,0,15
27,-533177.5481650409,1.7297297297297298,46.0,18.0,5.0,14,alarm,hc,50,0,15
27,-533177.5481650409,1.7297297297297298,46.0,18.0,5.0,5,alarm,hc,50,0,15
38,-111830.87265454486,1.7837837837837838,32.0,34.0,11.0,15,alarm,hc,10,0,5
27,-533177.5481650409,1.7297297297297298,46.0,18.0,7.0,5,alarm,hc,50,0,10
27,-533177.5481650409,1.7297297297297298,46.0,18.0,5.0,5,alarm,hc,50,0,15
38,-111830.87265454486,1.7837837837837838,32.0,34.0,11.0,4,alarm,hc,10,0,5
27,-533177.5481650409,1.7297297297297298,46.0,18.0,7.0,5,alarm,hc,50,0,10
27,-533177.5481650409,1.7297297297297298,46.0,18.0,7.0,5,alarm,hc,50,0,10
38,-111830.87265454486,1.7837837837837838,32.0,34.0,11.0,4,alarm,hc,10,0,5
19,-531430.3104189413,1.0810810810810811,28.0,12.0,10.0,12,alarm,phc,50,2,5
27,-111107.85629950314,1.4594594594594594,22.0,32.0,4.0,3,alarm,phc,10,4,10
34,-112166.44216643668,1.891891891891892,34.0,36.0,3.0,4,alarm,phc,10,6,15
35,-111543.04355193384,1.5135135135135136,24.0,32.0,4.0,3,alarm,phc,10,2,15
48,-111642.75792905623,2.216216216216216,42.0,40.0,4.0,16,alarm,phc,10,8,15
42,-533335.6917893472,1.7837837837837838,50.0,16.0,7.0,3,alarm,phc,50,8,5
41,-534039.8004322422,2.4324324324324325,72.0,18.0,6.0,3,alarm,phc,50,6,5
30,-111306.13132394748,1.6756756756756757,28.0,34.0,4.0,4,alarm,phc,10,6,10
27,-111222.5144446692,1.5675675675675675,24.0,34.0,3.0,4,alarm,phc,10,4,15
47,-111586.38999815118,2.27027027027027,48.0,36.0,4.0,15,alarm,phc,10,8,10
52,-535239.4406485114,2.0,60.0,14.0,7.0,10,alarm,phc,50,4,5
30,-111132.04787506005,1.7837837837837838,26.0,40.0,6.0,3,alarm,phc,10,2,10
44,-111410.21551229992,1.7297297297297298,30.0,34.0,10.0,3,alarm,phc,10,2,5
20,-531033.7086796676,0.972972972972973,22.0,14.0,5.0,3,alarm,phc,50,4,10
25,-531194.7229847582,1.7297297297297298,44.0,20.0,3.0,3,alarm,phc,50,6,15
22,-530914.8297853919,1.027027027027027,28.0,10.0,6.0,4,alarm,phc,50,2,15
44,-532110.2403396033,2.1621621621621623,58.0,22.0,3.0,3,alarm,phc,50,8,15
45,-111582.6418669399,1.8378378378378382,36.0,32.0,5.0,15,alarm,phc,10,8,5
33,-533492.1476120222,2.5405405405405403,58.0,36.0,4.0,3,alarm,phc,50,6,10
34,-534800.9990989404,2.3783783783783785,64.0,24.0,4.0,3,alarm,phc,50,4,15
51,-112066.49746758428,2.108108108108108,42.0,36.0,5.0,4,alarm,phc,10,6,5
30,-530070.4653002344,1.2972972972972974,34.0,14.0,4.0,3,alarm,phc,50,8,10
41,-533285.4039020521,1.7837837837837838,42.0,24.0,6.0,3,alarm,phc,50,2,10
49,-112422.82720877153,2.054054054054054,40.0,36.0,7.0,3,alarm,phc,10,4,5
16,-110492.2448487934,1.027027027027027,12.0,26.0,,17,alarm,ges,10,0,0
8,-529624.3550664332,0.3783783783783784,6.0,8.0,,19,alarm,ges,50,0,0
6,-528437.8005334028,0.21621621621621626,0.0,8.0,10.0,14,alarm,pges,50,2,5
32,-111578.1481935544,1.7837837837837838,28.0,38.0,7.0,5,alarm,pges,10,4,10
28,-111127.4632322092,1.5675675675675675,20.0,38.0,6.0,7,alarm,pges,10,6,15
22,-110590.74941055648,1.5135135135135136,18.0,38.0,7.0,4,alarm,pges,10,2,15
32,-111260.629447083,1.6756756756756757,24.0,38.0,6.0,18,alarm,pges,10,8,15
59,-535374.711401635,3.027027027027027,82.0,30.0,9.0,11,alarm,pges,50,8,5
15,-530085.1174607167,1.027027027027027,26.0,12.0,7.0,4,alarm,pges,50,6,5
28,-111313.09032707127,1.5135135135135136,22.0,34.0,5.0,4,alarm,pges,10,6,10
39,-112170.5610087844,2.054054054054054,30.0,46.0,6.0,6,alarm,pges,10,4,15
42,-111929.43506686926,2.27027027027027,46.0,38.0,5.0,18,alarm,pges,10,8,10
14,-528735.1588708654,0.5945945945945946,6.0,16.0,12.0,14,alarm,pges,50,4,5
22,-110550.4709565448,1.027027027027027,18.0,20.0,10.0,5,alarm,pges,10,2,10
16,-110303.68915752182,0.7567567567567568,8.0,20.0,9.0,4,alarm,pges,10,2,5
12,-528997.6930177516,0.4864864864864865,4.0,14.0,9.0,11,alarm,pges,50,4,10
15,-529645.7443894242,0.7567567567567568,14.0,14.0,6.0,5,alarm,pges,50,6,15
12,-529601.2157366276,0.3783783783783784,2.0,12.0,10.0,14,alarm,pges,50,2,15
18,-532552.3671571149,1.351351351351351,32.0,18.0,6.0,8,alarm,pges,50,8,15
27,-111269.21175589676,1.6216216216216215,26.0,34.0,6.0,16,alarm,pges,10,8,5
6,-529366.8021612335,0.4324324324324325,6.0,10.0,7.0,13,alarm,pges,50,6,10
31,-532077.3990863812,2.108108108108108,60.0,18.0,7.0,14,alarm,pges,50,4,15
31,-111619.9330379506,1.8378378378378382,32.0,36.0,7.0,5,alarm,pges,10,6,5
