SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
121,-2678141.487998694,3.625,34.0,140.0,8.0,35,barley,hc,50,0,10
121,-2678141.487998694,3.625,34.0,140.0,8.0,31,barley,hc,50,0,10
108,-590102.9724209242,4.125,18.0,180.0,12.0,26,barley,hc,10,0,5
121,-2678141.487998694,3.625,34.0,140.0,6.0,51,barley,hc,50,0,15
121,-2678141.487998694,3.625,34.0,140.0,8.0,32,barley,hc,50,0,10
108,-590102.9724209242,4.125,18.0,180.0,12.0,16,barley,hc,10,0,5
121,-2678141.487998694,3.625,34.0,140.0,6.0,35,barley,hc,50,0,15
121,-2678141.487998694,3.625,34.0,140.0,6.0,31,barley,hc,50,0,15
108,-590102.9724209242,4.125,18.0,180.0,12.0,19,barley,hc,10,0,5
121,-2678141.487998694,3.625,34.0,140.0,6.0,33,barley,hc,50,0,15
121,-2678141.487998694,3.625,34.0,140.0,8.0,32,barley,hc,50,0,10
108,-590102.9724209242,4.125,18.0,180.0,12.0,21,barley,hc,10,0,5
108,-590072.5627688903,4.166666666666667,18.0,182.0,7.0,20,barley,hc,10,0,10
108,-590072.5627688903,4.166666666666667,18.0,182.0,7.0,16,barley,hc,10,0,10
121,-2678141.487998694,3.625,34.0,140.0,15.0,36,barley,hc,50,0,5
121,-2678141.487998694,3.625,34.0,140.0,15.0,30,barley,hc,50,0,5
108,-590072.5627688903,4.166666666666667,18.0,182.0,5.0,16,barley,hc,10,0,15
108,-590072.5627688903,4.166666666666667,18.0,182.0,7.0,16,barley,hc,10,0,10
121,-2678141.487998694,3.625,34.0,140.0,15.0,35,barley,hc,50,0,5
108,-590072.5627688903,4.166666666666667,18.0,182.0,5.0,16,barley,hc,10,0,15
108,-590072.5627688903,4.166666666666667,18.0,182.0,5.0,20,barley,hc,10,0,15
108,-590072.5627688903,4.166666666666667,18.0,182.0,5.0,20,barley,hc,10,0,15
121,-2678141.487998694,3.625,34.0,140.0,15.0,37,barley,hc,50,0,5
108,-590072.5627688903,4.166666666666667,18.0,182.0,7.0,16,barley,hc,10,0,10
80,-2646407.6043504113,3.1666666666666665,36.0,116.0,6.0,16,barley,phc,50,2,10
169,-2725809.22296957,4.25,60.0,144.0,4.0,166,barley,phc,50,8,10
130,-604076.9325481328,4.583333333333333,24.0,196.0,4.0,6,barley,phc,10,8,5
97,-2724188.49171419,3.7916666666666665,48.0,134.0,5.0,29,barley,phc,50,4,15
125,-2699627.4986652336,3.7083333333333335,46.0,132.0,5.0,12,barley,phc,50,6,10
121,-594484.3809432456,4.458333333333333,30.0,184.0,9.0,11,barley,phc,10,2,5
160,-2666269.1772286026,3.6666666666666665,50.0,126.0,4.0,34,barley,phc,50,8,15
148,-2684104.772020144,3.6666666666666665,46.0,130.0,6.0,21,barley,phc,50,2,15
156,-595621.7214608208,4.458333333333333,32.0,182.0,6.0,7,barley,phc,10,4,5
134,-2703980.659688276,3.333333333333333,36.0,124.0,4.0,26,barley,phc,50,6,15
116,-2717379.4040169385,3.9166666666666665,44.0,144.0,5.0,12,barley,phc,50,4,10
124,-596742.8876139487,4.541666666666667,24.0,194.0,5.0,6,barley,phc,10,6,5
131,-597085.5431921552,4.375,26.0,184.0,6.0,10,barley,phc,10,2,10
112,-596416.1659346197,4.416666666666667,28.0,184.0,4.0,9,barley,phc,10,8,10
179,-2682771.34351827,3.9583333333333335,56.0,134.0,6.0,13,barley,phc,50,8,5
119,-2657928.117649932,3.875,38.0,148.0,10.0,30,barley,phc,50,2,5
106,-595697.6367707197,4.166666666666667,22.0,178.0,4.0,5,barley,phc,10,4,15
91,-594916.4312157955,4.291666666666667,18.0,188.0,4.0,6,barley,phc,10,6,10
131,-2688921.780977614,3.8333333333333335,48.0,136.0,8.0,17,barley,phc,50,4,5
103,-595918.3951106769,4.333333333333333,20.0,188.0,4.0,16,barley,phc,10,8,15
83,-591417.2150566635,4.125,20.0,178.0,5.0,11,barley,phc,10,2,15
97,-594890.3688734764,4.25,22.0,182.0,4.0,12,barley,phc,10,6,15
147,-2743437.7738024574,4.125,50.0,148.0,6.0,16,barley,phc,50,6,5
127,-593325.6776097105,4.416666666666667,26.0,186.0,4.0,13,barley,phc,10,4,10
125,-2652693.7059736126,3.25,26.0,130.0,,53,barley,ges,50,0,0
111,-588839.6179131672,4.291666666666667,18.0,188.0,,44,barley,ges,10,0,0
137,-2673988.9324807804,3.7916666666666665,44.0,138.0,8.0,42,barley,pges,50,2,10
126,-2671627.8910225225,3.9583333333333335,46.0,144.0,6.0,37,barley,pges,50,8,10
121,-603401.6980234118,4.833333333333333,28.0,204.0,5.0,10,barley,pges,10,8,5
125,-2660634.4523489033,3.75,44.0,136.0,5.0,31,barley,pges,50,4,15
125,-2636749.976208344,3.4166666666666665,34.0,130.0,5.0,24,barley,pges,50,6,10
87,-588521.4614279594,4.125,16.0,182.0,9.0,27,barley,pges,10,2,5
