SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
8,-125776.08562042973,1.1,16.0,6.0,3.0,0,child,hc,10,0,15
8,-125776.08562042973,1.1,16.0,6.0,4.0,1,child,hc,10,0,10
7,-612893.2570926379,0.8,16.0,0.0,7.0,1,child,hc,50,0,5
8,-125776.08562042973,1.1,16.0,6.0,3.0,0,child,hc,10,0,15
8,-125776.08562042973,1.1,16.0,6.0,3.0,1,child,hc,10,0,15
7,-612893.2570926379,0.8,16.0,0.0,7.0,2,child,hc,50,0,5
8,-125776.08562042973,1.1,16.0,6.0,3.0,1,child,hc,10,0,15
8,-125776.08562042973,1.1,16.0,6.0,4.0,2,child,hc,10,0,10
7,-612893.2570926379,0.8,16.0,0.0,7.0,2,child,hc,50,0,5
8,-125776.08562042973,1.1,16.0,6.0,4.0,1,child,hc,10,0,10
8,-125776.08562042973,1.1,16.0,6.0,4.0,0,child,hc,10,0,10
7,-612893.2570926379,0.8,16.0,0.0,7.0,1,child,hc,50,0,5
8,-125776.08562042973,1.1,16.0,6.0,7.0,1,child,hc,10,0,5
7,-612893.2570926379,0.8,16.0,0.0,3.0,2,child,hc,50,0,15
7,-612893.2570926379,0.8,16.0,0.0,4.0,2,child,hc,50,0,10
7,-612893.2570926379,0.8,16.0,0.0,3.0,1,child,hc,50,0,15
8,-125776.08562042973,1.1,16.0,6.0,7.0,1,child,hc,10,0,5
7,-612893.2570926379,0.8,16.0,0.0,3.0,2,child,hc,50,0,15
7,-612893.2570926379,0.8,16.0,0.0,3.0,1,child,hc,50,0,15
8,-125776.08562042973,1.1,16.0,6.0,7.0,1,child,hc,10,0,5
7,-612893.2570926379,0.8,16.0,0.0,4.0,1,child,hc,50,0,10
8,-125776.08562042973,1.1,16.0,6.0,7.0,2,child,hc,10,0,5
7,-612893.2570926379,0.8,16.0,0.0,4.0,1,child,hc,50,0,10
7,-612893.2570926379,0.8,16.0,0.0,4.0,2,child,hc,50,0,10
10,-126181.9221125538,0.8,14.0,2.0,3.0,1,child,phc,10,6,15
2,-124337.30157176635,0.2,4.0,0.0,3.0,1,child,phc,10,4,10
10,-615425.545101501,1.0,20.0,0.0,6.0,1,child,phc,50,2,5
4,-124962.4031213018,0.9,18.0,0.0,4.0,2,child,phc,10,8,15
2,-124337.30157176635,0.2,4.0,0.0,4.0,1,child,phc,10,2,15
7,-613129.153944465,0.6,10.0,2.0,4.0,2,child,phc,50,8,5
3,-124716.83657315401,0.4,8.0,0.0,4.0,1,child,phc,10,4,15
6,-126651.97543837545,0.7,12.0,2.0,4.0,1,child,phc,10,6,10
7,-612766.9058879165,0.3,6.0,0.0,4.0,2,child,phc,50,6,5
5,-125186.421179777,0.3,4.0,2.0,4.0,1,child,phc,10,2,10
5,-125397.13750981713,0.5,8.0,2.0,3.0,2,child,phc,10,8,10
9,-616306.5725446657,1.0,18.0,2.0,5.0,2,child,phc,50,4,5
15,-126212.48984614284,1.8,24.0,12.0,5.0,0,child,phc,10,2,5
3,-613108.5272083773,0.4,4.0,4.0,3.0,2,child,phc,50,6,15
5,-613024.6779239305,0.5,10.0,0.0,3.0,1,child,phc,50,4,10
2,-612685.0196287044,0.2,4.0,0.0,3.0,2,child,phc,50,8,15
7,-125956.19785967984,0.8,14.0,2.0,3.0,1,child,phc,10,8,5
5,-614995.6172568012,0.5,8.0,2.0,4.0,3,child,phc,50,2,15
6,-614786.2542765676,0.6,12.0,0.0,3.0,1,child,phc,50,4,15
6,-125696.87302808178,0.5,8.0,2.0,4.0,2,child,phc,10,6,5
5,-614384.1115324885,0.9,18.0,0.0,3.0,1,child,phc,50,6,10
2,-124337.30157176635,0.2,4.0,0.0,6.0,2,child,phc,10,4,5
12,-616232.3412595962,1.3,20.0,6.0,4.0,1,child,phc,50,2,10
9,-616230.4978418923,1.4,26.0,2.0,3.0,1,child,phc,50,8,10
5,-124795.95605257682,0.8,0.0,16.0,,1,child,ges,10,0,0
7,-615553.0771609102,0.9,4.0,14.0,,2,child,ges,50,0,0
10,-125327.39325959455,0.7,6.0,8.0,7.0,5,child,pges,10,6,15
2,-124243.34168963616,0.4,4.0,4.0,6.0,1,child,pges,10,4,10
3,-612581.5007283132,0.3,4.0,2.0,7.0,2,child,pges,50,2,5
8,-126707.19857394631,1.0,10.0,10.0,7.0,6,child,pges,10,8,15
0,-124013.39038897575,0.0,0.0,0.0,6.0,1,child,pges,10,2,15
12,-616277.4565720222,1.1,20.0,2.0,3.0,3,child,pges,50,8,5
4,-125396.3388265328,0.6,10.0,2.0,7.0,2,child,pges,10,4,15
2,-124103.90047710927,0.4,8.0,0.0,8.0,2,child,pges,10,6,10
8,-615371.0824537667,0.7,12.0,2.0,5.0,2,child,pges,50,6,5
1,-124190.2607277366,0.2,0.0,4.0,5.0,2,child,pges,10,2,10
5,-125713.45197621199,0.6,10.0,2.0,5.0,3,child,pges,10,8,10
9,-615609.5713233806,1.1,18.0,4.0,7.0,2,child,pges,50,4,5
1,-124101.15534214245,0.2,0.0,4.0,6.0,1,child,pges,10,2,5
15,-622862.1662444188,1.1,18.0,4.0,6.0,6,child,pges,50,6,15
11,-615608.3263632489,0.9,14.0,4.0,4.0,1,child,pges,50,4,10
