SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
28,-665177.4384270412,2.1481481481481484,18.0,40.0,12.0,4,insurance,hc,50,0,5
20,-664577.6962293575,1.7037037037037035,14.0,32.0,5.0,2,insurance,hc,50,0,15
20,-664577.6962293575,1.7037037037037035,14.0,32.0,5.0,3,insurance,hc,50,0,15
20,-664577.6962293575,1.7037037037037035,14.0,32.0,5.0,3,insurance,hc,50,0,15
28,-665177.4384270412,2.1481481481481484,18.0,40.0,12.0,4,insurance,hc,50,0,5
20,-664577.6962293575,1.7037037037037035,14.0,32.0,7.0,3,insurance,hc,50,0,10
20,-664577.6962293575,1.7037037037037035,14.0,32.0,7.0,4,insurance,hc,50,0,10
20,-664577.6962293575,1.7037037037037035,14.0,32.0,7.0,4,insurance,hc,50,0,10
28,-665177.4384270412,2.1481481481481484,18.0,40.0,12.0,4,insurance,hc,50,0,5
28,-665177.4384270412,2.1481481481481484,18.0,40.0,12.0,4,insurance,hc,50,0,5
20,-664577.6962293575,1.7037037037037035,14.0,32.0,5.0,4,insurance,hc,50,0,15
20,-664577.6962293575,1.7037037037037035,14.0,32.0,7.0,3,insurance,hc,50,0,10
28,-139225.73973622473,2.1481481481481484,8.0,50.0,4.0,1,insurance,hc,10,0,15
28,-139225.73973622473,2.1481481481481484,8.0,50.0,4.0,1,insurance,hc,10,0,15
28,-139225.73973622473,2.1481481481481484,8.0,50.0,10.0,3,insurance,hc,10,0,5
28,-139225.73973622473,2.1481481481481484,8.0,50.0,4.0,1,insurance,hc,10,0,15
28,-139225.73973622473,2.1481481481481484,8.0,50.0,6.0,2,insurance,hc,10,0,10
28,-139225.73973622473,2.1481481481481484,8.0,50.0,10.0,1,insurance,hc,10,0,5
28,-139225.73973622473,2.1481481481481484,8.0,50.0,6.0,1,insurance,hc,10,0,10
28,-139225.73973622473,2.1481481481481484,8.0,50.0,6.0,2,insurance,hc,10,0,10
28,-139225.73973622473,2.1481481481481484,8.0,50.0,10.0,1,insurance,hc,10,0,5
28,-139225.73973622473,2.1481481481481484,8.0,50.0,4.0,1,insurance,hc,10,0,15
28,-139225.73973622473,2.1481481481481484,8.0,50.0,6.0,2,insurance,hc,10,0,10
28,-139225.73973622473,2.1481481481481484,8.0,50.0,10.0,2,insurance,hc,10,0,5
40,-666854.3654835944,1.851851851851852,16.0,34.0,9.0,2,insurance,phc,50,2,5
38,-668968.0694161488,2.740740740740741,32.0,42.0,3.0,4,insurance,phc,50,8,15
35,-667253.7557900095,2.814814814814815,38.0,38.0,5.0,3,insurance,phc,50,2,15
45,-670213.2025642905,3.111111111111111,44.0,40.0,4.0,4,insurance,phc,50,6,15
61,-671200.9006953749,3.703703703703704,56.0,44.0,5.0,6,insurance,phc,50,8,5
44,-667530.1618130954,2.6666666666666665,32.0,40.0,5.0,5,insurance,phc,50,4,10
82,-670621.1806774567,2.592592592592593,32.0,38.0,6.0,2,insurance,phc,50,2,10
80,-677227.0673709075,4.148148148148148,66.0,46.0,4.0,4,insurance,phc,50,8,10
66,-672885.0550762715,4.592592592592593,72.0,52.0,5.0,3,insurance,phc,50,6,5
58,-667854.6415299596,2.814814814814815,38.0,38.0,6.0,3,insurance,phc,50,4,5
48,-673738.3976445113,3.037037037037037,46.0,36.0,5.0,2,insurance,phc,50,4,15
47,-670677.0506329818,3.2592592592592586,44.0,44.0,4.0,5,insurance,phc,50,6,10
55,-140611.76073398118,3.7777777777777777,32.0,70.0,4.0,2,insurance,phc,10,8,15
31,-139069.66056812106,2.888888888888889,26.0,52.0,5.0,2,insurance,phc,10,2,15
52,-139123.39015625644,2.6666666666666665,18.0,54.0,8.0,2,insurance,phc,10,2,5
60,-141867.22543804825,3.851851851851852,34.0,70.0,3.0,2,insurance,phc,10,6,15
54,-138791.73966020095,3.4814814814814814,26.0,68.0,4.0,2,insurance,phc,10,4,10
48,-140052.71295622687,4.0740740740740735,40.0,70.0,4.0,1,insurance,phc,10,8,5
67,-140617.94873900275,2.962962962962963,24.0,56.0,6.0,2,insurance,phc,10,2,10
47,-140601.4095718848,3.4074074074074074,30.0,62.0,4.0,1,insurance,phc,10,8,10
57,-139519.5218515534,3.555555555555556,26.0,70.0,5.0,2,insurance,phc,10,6,5
42,-139710.14781380506,2.740740740740741,14.0,60.0,4.0,1,insurance,phc,10,4,15
65,-140042.2040277675,3.111111111111111,22.0,62.0,4.0,1,insurance,phc,10,6,10
60,-139301.14047383794,3.185185185185185,28.0,58.0,6.0,2,insurance,phc,10,4,5
38,-137088.79554660438,1.851851851851852,2.0,48.0,,3,insurance,ges,10,0,0
