SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
49,-524826.2496552661,3.5428571428571427,12.0,112.0,8.0,19,mildew,hc,10,0,5
49,-524826.2496552661,3.5428571428571427,12.0,112.0,4.0,20,mildew,hc,10,0,15
49,-524826.2496552661,3.5428571428571427,12.0,112.0,5.0,19,mildew,hc,10,0,10
49,-524826.2496552661,3.5428571428571427,12.0,112.0,8.0,21,mildew,hc,10,0,5
49,-524826.2496552661,3.5428571428571427,12.0,112.0,5.0,32,mildew,hc,10,0,10
49,-524826.2496552661,3.5428571428571427,12.0,112.0,5.0,18,mildew,hc,10,0,10
49,-524826.2496552661,3.5428571428571427,12.0,112.0,8.0,19,mildew,hc,10,0,5
49,-524826.2496552661,3.5428571428571427,12.0,112.0,4.0,18,mildew,hc,10,0,15
49,-524826.2496552661,3.5428571428571427,12.0,112.0,5.0,19,mildew,hc,10,0,10
49,-524826.2496552661,3.5428571428571427,12.0,112.0,8.0,19,mildew,hc,10,0,5
49,-524826.2496552661,3.5428571428571427,12.0,112.0,4.0,32,mildew,hc,10,0,15
49,-524826.2496552661,3.5428571428571427,12.0,112.0,4.0,19,mildew,hc,10,0,15
82,-2351916.076952773,2.9714285714285715,20.0,84.0,4.0,60,mildew,hc,50,0,15
82,-2351916.076952773,2.9714285714285715,20.0,84.0,6.0,37,mildew,hc,50,0,10
82,-2351916.076952773,2.9714285714285715,20.0,84.0,10.0,38,mildew,hc,50,0,5
82,-2351916.076952773,2.9714285714285715,20.0,84.0,6.0,36,mildew,hc,50,0,10
82,-2351916.076952773,2.9714285714285715,20.0,84.0,6.0,47,mildew,hc,50,0,10
82,-2351916.076952773,2.9714285714285715,20.0,84.0,10.0,38,mildew,hc,50,0,5
82,-2351916.076952773,2.9714285714285715,20.0,84.0,4.0,36,mildew,hc,50,0,15
82,-2351916.076952773,2.9714285714285715,20.0,84.0,10.0,37,mildew,hc,50,0,5
82,-2351916.076952773,2.9714285714285715,20.0,84.0,6.0,38,mildew,hc,50,0,10
82,-2351916.076952773,2.9714285714285715,20.0,84.0,4.0,61,mildew,hc,50,0,15
82,-2351916.076952773,2.9714285714285715,20.0,84.0,4.0,56,mildew,hc,50,0,15
82,-2351916.076952773,2.9714285714285715,20.0,84.0,10.0,62,mildew,hc,50,0,5
49,-524826.2496552662,3.5428571428571427,12.0,112.0,6.0,12,mildew,phc,10,2,5
49,-525896.8393506005,3.6571428571428566,12.0,116.0,4.0,11,mildew,phc,10,4,15
43,-525463.8362585513,3.4857142857142858,10.0,112.0,4.0,11,mildew,phc,10,6,10
49,-530996.3281510961,3.7142857142857135,16.0,114.0,4.0,12,mildew,phc,10,8,5
49,-524826.2496552662,3.5428571428571427,12.0,112.0,4.0,11,mildew,phc,10,2,10
61,-530643.9443826575,4.0,24.0,116.0,4.0,22,mildew,phc,10,8,10
50,-525546.8735327323,3.6571428571428566,16.0,112.0,4.0,12,mildew,phc,10,6,5
51,-525484.3473719524,3.6571428571428566,14.0,114.0,3.0,11,mildew,phc,10,6,15
60,-528105.1443059429,3.8285714285714287,18.0,116.0,4.0,10,mildew,phc,10,4,10
50,-525546.8735327323,3.6571428571428566,16.0,112.0,4.0,12,mildew,phc,10,4,5
51,-525470.8558479564,3.6571428571428566,14.0,114.0,3.0,11,mildew,phc,10,8,15
