SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
192,-651470.8995712658,6.3125,14.0,188.0,6.0,6,water,hc,50,0,10
192,-651470.8995712658,6.3125,14.0,188.0,6.0,5,water,hc,50,0,10
92,-132367.76418344575,6.75,10.0,206.0,9.0,2,water,hc,10,0,5
92,-132367.76418344575,6.75,10.0,206.0,9.0,3,water,hc,10,0,5
192,-651470.8995712658,6.3125,14.0,188.0,6.0,4,water,hc,50,0,10
192,-651470.8995712658,6.3125,14.0,188.0,4.0,6,water,hc,50,0,15
192,-651470.8995712658,6.3125,14.0,188.0,4.0,6,water,hc,50,0,15
192,-651470.8995712658,6.3125,14.0,188.0,4.0,6,water,hc,50,0,15
92,-132367.76418344575,6.75,10.0,206.0,9.0,1,water,hc,10,0,5
192,-651470.8995712658,6.3125,14.0,188.0,6.0,5,water,hc,50,0,10
192,-651470.8995712658,6.3125,14.0,188.0,4.0,5,water,hc,50,0,15
92,-132367.76418344575,6.75,10.0,206.0,9.0,3,water,hc,10,0,5
192,-651470.8995712658,6.3125,14.0,188.0,10.0,6,water,hc,50,0,5
92,-132367.76418344575,6.75,10.0,206.0,5.0,2,water,hc,10,0,10
92,-132367.76418344575,6.75,10.0,206.0,5.0,2,water,hc,10,0,10
192,-651470.8995712658,6.3125,14.0,188.0,10.0,6,water,hc,50,0,5
92,-132367.76418344575,6.75,10.0,206.0,5.0,2,water,hc,10,0,10
92,-132367.76418344575,6.75,10.0,206.0,4.0,3,water,hc,10,0,15
92,-132367.76418344575,6.75,10.0,206.0,4.0,1,water,hc,10,0,15
92,-132367.76418344575,6.75,10.0,206.0,4.0,1,water,hc,10,0,15
192,-651470.8995712658,6.3125,14.0,188.0,10.0,6,water,hc,50,0,5
92,-132367.76418344575,6.75,10.0,206.0,5.0,2,water,hc,10,0,10
192,-651470.8995712658,6.3125,14.0,188.0,10.0,4,water,hc,50,0,5
92,-132367.76418344575,6.75,10.0,206.0,4.0,2,water,hc,10,0,15
139,-651988.8521021615,6.375,16.0,188.0,3.0,3,water,phc,50,8,10
147,-651495.0841073121,6.0,10.0,182.0,5.0,5,water,phc,50,2,10
70,-132503.55200666515,7.0,12.0,212.0,4.0,2,water,phc,10,8,5
79,-132240.21846636725,6.5625,8.0,202.0,7.0,2,water,phc,10,2,5
156,-653145.6396903966,7.1875,34.0,196.0,4.0,5,water,phc,50,6,10
158,-650987.8982999987,6.125,14.0,182.0,3.0,4,water,phc,50,4,15
98,-651397.4841581838,5.9375,12.0,178.0,5.0,3,water,phc,50,2,15
206,-652460.3908342371,6.1875,24.0,174.0,3.0,3,water,phc,50,8,15
82,-132271.38972227837,6.875,8.0,212.0,5.0,2,water,phc,10,4,5
93,-651580.8857727336,5.875,10.0,178.0,4.0,3,water,phc,50,4,10
145,-651795.2273625481,6.375,18.0,186.0,5.0,4,water,phc,50,6,15
62,-132651.14719759216,6.5,12.0,196.0,4.0,1,water,phc,10,6,5
96,-651298.1215997367,5.75,14.0,170.0,4.0,3,water,phc,50,8,5
88,-132782.3495237985,7.5625,18.0,224.0,3.0,2,water,phc,10,8,10
71,-132397.4324421165,6.5625,6.0,204.0,4.0,2,water,phc,10,2,10
180,-651316.5398969253,5.8125,14.0,172.0,8.0,2,water,phc,50,2,5
83,-132714.84805024814,7.0,12.0,212.0,4.0,1,water,phc,10,6,10
117,-132377.7706804341,6.875,8.0,212.0,4.0,2,water,phc,10,4,15
63,-132529.04199086243,6.5625,4.0,206.0,3.0,2,water,phc,10,2,15
74,-132524.52918065494,6.375,2.0,202.0,3.0,3,water,phc,10,8,15
218,-651486.3082385985,6.0,14.0,178.0,6.0,3,water,phc,50,4,5
72,-132260.50228295644,6.5,4.0,204.0,3.0,2,water,phc,10,4,10
174,-652588.5586987117,6.8125,28.0,190.0,6.0,4,water,phc,50,6,5
86,-132607.3553470441,6.6875,12.0,202.0,4.0,3,water,phc,10,6,15
182,-650961.3703186254,6.3125,12.0,190.0,,4,water,ges,50,0,0
69,-132262.31150374608,6.625,4.0,208.0,,3,water,ges,10,0,0
241,-652382.4891749189,7.5625,38.0,204.0,4.0,7,water,pges,50,8,10
140,-651434.8696488419,6.3125,10.0,192.0,8.0,7,water,pges,50,2,10
80,-132586.6902769086,7.0,16.0,208.0,5.0,2,water,pges,10,8,5
71,-132200.16341563722,6.625,4.0,208.0,8.0,3,water,pges,10,2,5
173,-652868.9121993643,7.8125,44.0,206.0,5.0,5,water,pges,50,6,10
241,-652964.7442363976,7.9375,46.0,208.0,3.0,4,water,pges,50,4,15
189,-651856.83978019,7.0,26.0,198.0,6.0,6,water,pges,50,2,15
207,-653016.5996287486,7.375,40.0,196.0,5.0,6,water,pges,50,8,15
74,-132207.32287633105,6.5625,6.0,204.0,8.0,3,water,pges,10,4,5
132,-650784.4433881162,5.4375,4.0,170.0,7.0,6,water,pges,50,4,10
192,-652968.8284058806,7.625,34.0,210.0,3.0,5,water,pges,50,6,15
93,-132613.2742746895,6.875,16.0,204.0,8.0,5,water,pges,10,6,5
216,-651431.3261972299,6.75,22.0,194.0,7.0,6,water,pges,50,8,5
100,-132596.50406181507,7.4375,20.0,218.0,7.0,5,water,pges,10,8,10
85,-132460.3457447556,7.25,12.0,220.0,7.0,1,water,pges,10,2,10
200,-651076.5915095087,6.5625,18.0,192.0,9.0,5,water,pges,50,2,5
176,-132632.87686042627,7.5,22.0,218.0,5.0,3,water,pges,10,6,10
73,-132262.85040491048,6.6875,8.0,206.0,6.0,2,water,pges,10,4,15
74,-132337.0649821725,6.6875,6.0,208.0,8.0,4,water,pges,10,2,15
127,-132926.11156220298,7.6875,26.0,220.0,6.0,5,water,pges,10,8,15
137,-652154.9171223947,6.5,20.0,188.0,7.0,5,water,pges,50,4,5
79,-132454.98031011206,7.1875,20.0,210.0,5.0,3,water,pges,10,4,10
194,-651931.2579156874,6.875,26.0,194.0,8.0,6,water,pges,50,6,5
81,-132416.68245831935,7.4375,16.0,222.0,6.0,5,water,pges,10,6,15
139,-651988.8521021616,6.4375,18.0,188.0,5.0,6,water,pfhcbes,50,8,10
148,-651498.397234798,6.0625,10.0,184.0,7.0,4,water,pfhcbes,50,2,10
70,-132503.55200666515,7.0,12.0,212.0,4.0,1,water,pfhcbes,10,8,5
79,-132254.70339048086,6.4375,6.0,200.0,8.0,1,water,pfhcbes,10,2,5
157,-653149.1410694054,7.0,32.0,192.0,4.0,4,water,pfhcbes,50,6,10
158,-650987.8982999985,6.125,14.0,182.0,4.0,3,water,pfhcbes,50,4,15
130,-651612.7671452264,6.0,18.0,174.0,8.0,6,water,pfhcbes,50,2,15
212,-652533.3557921489,6.1875,24.0,174.0,5.0,6,water,pfhcbes,50,8,15
80,-132307.19008755448,6.875,8.0,212.0,5.0,2,water,pfhcbes,10,4,5
93,-651580.8857727336,5.875,10.0,178.0,4.0,4,water,pfhcbes,50,4,10
164,-652512.8912942755,6.8125,26.0,192.0,7.0,10,water,pfhcbes,50,6,15
66,-132901.61459064795,6.625,14.0,198.0,6.0,3,water,pfhcbes,10,6,5
96,-651298.1215997367,5.75,14.0,170.0,4.0,5,water,pfhcbes,50,8,5
87,-132445.31100316462,7.0625,12.0,214.0,8.0,4,water,pfhcbes,10,8,10
71,-132397.4324421165,6.5625,6.0,204.0,6.0,2,water,pfhcbes,10,2,10
178,-651294.7839577093,5.9375,14.0,176.0,8.0,5,water,pfhcbes,50,2,5
85,-132563.8646306395,6.875,6.0,214.0,5.0,2,water,pfhcbes,10,6,10
93,-132417.23892215054,7.0625,12.0,214.0,8.0,3,water,pfhcbes,10,4,15
63,-132575.99714699795,6.625,6.0,206.0,5.0,2,water,pfhcbes,10,2,15
84,-132562.87263941384,6.6875,8.0,206.0,4.0,4,water,pfhcbes,10,8,15
217,-651767.6478974867,6.375,18.0,186.0,6.0,4,water,pfhcbes,50,4,5
72,-132260.50228295644,6.5,4.0,204.0,4.0,1,water,pfhcbes,10,4,10
98,-652240.3577904451,6.4375,22.0,184.0,6.0,4,water,pfhcbes,50,6,5
102,-132802.11631548926,7.0625,18.0,208.0,7.0,3,water,pfhcbes,10,6,15
