SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving,SHD_delta,BDeu Score_delta,dfMM_delta,dfMM plus_delta,dfMM minus_delta,Total time(s)_delta
25,-531618.0021342905,1.1891891891891893,28.0,16.0,9.0,1,alarm,phc,50,2,5,-2.0,1559.5460307503818,-0.5405405405405406,-18.0,-2.0,-2.0
29,-111576.78956783107,1.8378378378378382,28.0,40.0,4.0,0,alarm,phc,10,4,10,-9.0,254.08308671377017,0.05405405405405439,-4.0,6.0,0.0
32,-110828.57441763293,1.6756756756756757,24.0,38.0,4.0,0,alarm,phc,10,6,15,-6.0,1002.2982369119127,-0.10810810810810811,-8.0,4.0,0.0
39,-112328.5468738449,2.0,44.0,30.0,5.0,0,alarm,phc,10,2,15,1.0,-497.67421930005366,0.21621621621621623,12.0,-4.0,0.0
24,-111051.00548814707,1.351351351351351,20.0,30.0,3.0,0,alarm,phc,10,8,15,-14.0,779.867166397773,-0.4324324324324327,-12.0,-4.0,0.0
34,-536545.9751715242,2.3783783783783785,62.0,26.0,5.0,1,alarm,phc,50,8,5,7.0,-3368.427006483311,0.6486486486486487,16.0,8.0,-2.0
27,-533866.9444244329,2.054054054054054,52.0,24.0,6.0,1,alarm,phc,50,6,5,0.0,-689.3962593920296,0.3243243243243241,6.0,6.0,-2.0
26,-111256.8951668243,1.6756756756756757,28.0,34.0,4.0,0,alarm,phc,10,6,10,-12.0,573.9774877205491,-0.10810810810810811,-4.0,0.0,0.0
24,-110556.99985096557,1.2972972972972974,18.0,30.0,3.0,0,alarm,phc,10,4,15,-14.0,1273.8728035792738,-0.4864864864864864,-14.0,-4.0,0.0
37,-111324.66101687461,1.7297297297297298,32.0,32.0,5.0,0,alarm,phc,10,8,10,-1.0,506.21163767023245,-0.054054054054053946,0.0,-2.0,0.0
35,-535032.1251137622,1.8378378378378382,44.0,24.0,7.0,1,alarm,phc,50,4,5,8.0,-1854.576948721311,0.10810810810810834,-2.0,6.0,-2.0
20,-110653.87899319944,1.1891891891891893,26.0,18.0,6.0,0,alarm,phc,10,2,10,-18.0,1176.9936613454047,-0.5945945945945945,-6.0,-16.0,0.0
26,-111178.16733099974,1.6756756756756757,26.0,36.0,8.0,1,alarm,phc,10,2,5,-12.0,652.7053235451021,-0.10810810810810811,-6.0,2.0,1.0
42,-535705.6330651386,2.27027027027027,62.0,22.0,5.0,1,alarm,phc,50,4,10,15.0,-2528.0849000976887,0.5405405405405403,16.0,4.0,-1.0
