,SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
0,27,-533177.5481650409,1.7297297297297298,46.0,18.0,13.0,3,alarm,hc,50,0,5
1,38,-111830.87265454484,1.7837837837837838,32.0,34.0,6.0,0,alarm,hc,10,0,10
2,38,-111830.87265454484,1.7837837837837838,32.0,34.0,5.0,0,alarm,hc,10,0,15
3,27,-533177.5481650409,1.7297297297297298,46.0,18.0,7.0,2,alarm,hc,50,0,10
4,38,-111830.87265454484,1.7837837837837838,32.0,34.0,11.0,0,alarm,hc,10,0,5
5,27,-533177.5481650409,1.7297297297297298,46.0,18.0,5.0,2,alarm,hc,50,0,15
6,25,-531618.0021342905,1.1891891891891893,28.0,16.0,9.0,1,alarm,phc,50,2,5
7,29,-111576.78956783107,1.8378378378378382,28.0,40.0,4.0,0,alarm,phc,10,4,10
8,32,-110828.57441763293,1.6756756756756757,24.0,38.0,4.0,0,alarm,phc,10,6,15
9,39,-112328.5468738449,2.0,44.0,30.0,5.0,0,alarm,phc,10,2,15
10,24,-111051.00548814707,1.351351351351351,20.0,30.0,3.0,0,alarm,phc,10,8,15
11,34,-536545.9751715242,2.3783783783783785,62.0,26.0,5.0,1,alarm,phc,50,8,5
12,27,-533866.9444244329,2.054054054054054,52.0,24.0,6.0,1,alarm,phc,50,6,5
13,26,-111256.8951668243,1.6756756756756757,28.0,34.0,4.0,0,alarm,phc,10,6,10
14,24,-110556.99985096557,1.2972972972972974,18.0,30.0,3.0,0,alarm,phc,10,4,15
15,37,-111324.66101687461,1.7297297297297298,32.0,32.0,5.0,0,alarm,phc,10,8,10
16,35,-535032.1251137622,1.8378378378378382,44.0,24.0,7.0,1,alarm,phc,50,4,5
17,20,-110653.87899319944,1.1891891891891893,26.0,18.0,6.0,0,alarm,phc,10,2,10
18,26,-111178.16733099974,1.6756756756756757,26.0,36.0,8.0,1,alarm,phc,10,2,5
19,42,-535705.6330651386,2.27027027027027,62.0,22.0,5.0,1,alarm,phc,50,4,10
20,31,-532236.149955228,2.108108108108108,54.0,24.0,3.0,1,alarm,phc,50,6,15
21,19,-532129.5532761094,1.135135135135135,26.0,16.0,5.0,1,alarm,phc,50,2,15
22,42,-533138.8151776203,2.0,50.0,24.0,4.0,3,alarm,phc,50,8,15
23,47,-111963.69311824144,2.5945945945945947,48.0,48.0,5.0,0,alarm,phc,10,8,5
24,58,-533933.0304263746,2.3783783783783785,68.0,20.0,5.0,1,alarm,phc,50,6,10
25,38,-533007.2111672305,2.6486486486486487,74.0,24.0,4.0,1,alarm,phc,50,4,15
26,32,-111657.59366471092,1.891891891891892,32.0,38.0,7.0,0,alarm,phc,10,6,5
