algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,parallelbns/res/networks/alarm,alarm.xbif_,0,5,-1,64,-0.48108202837351877,-90302.39735391355,3.8378378378378377,4.0,138.0,0,1
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,11,20,-0.4561135361560032,-57023.575162894784,1.3513513513513513,16.0,34.0,8,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,2,13,-0.4207985328773503,-56421.3394592803,0.8108108108108109,2.0,28.0,9,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,2,24,-0.48864860428830714,-57709.63778956562,1.4054054054054055,14.0,38.0,9,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,5,22,-0.4721087121854517,-57295.76308723853,1.5135135135135136,20.0,36.0,8,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,5,16,-0.45420295469416916,-56763.75342609721,0.972972972972973,4.0,32.0,8,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,3,17,-0.48004905738101533,-57428.51712582239,1.2972972972972974,18.0,30.0,8,4
hc,parallelbns/res/networks/alarm,alarm.xbif_,1,5,-1,24,-0.2867414238005255,-57403.82806834273,1.5135135135135136,20.0,36.0,12,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,7,21,-0.46104068407650417,-56884.89067565117,1.4054054054054055,14.0,38.0,9,5
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,3,19,-0.446160685056592,-56775.73532700966,1.1891891891891893,10.0,34.0,10,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,23,21,-0.4581091806445208,-56978.98965713512,1.3513513513513513,14.0,36.0,9,5
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,29,23,-0.461011385654966,-57112.52514493902,1.5675675675675675,22.0,36.0,8,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,11,23,-0.39178072703002714,-57337.97232122817,1.4594594594594594,20.0,34.0,8,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,7,25,-0.37358806049987353,-57502.18340712853,1.6756756756756757,26.0,36.0,10,5
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,13,29,-0.40831037481088917,-58072.85079248784,2.054054054054054,34.0,42.0,9,5
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,17,22,-0.42182374503756653,-57090.04504946731,1.5135135135135136,18.0,38.0,9,7
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,19,17,-0.4223864526397721,-56827.32661318283,1.135135135135135,8.0,34.0,8,6
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,5,13,18,-0.50240720158679,-56829.1910360935,1.1891891891891893,8.0,36.0,9,7
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,17,30,-0.4381656485943983,-57788.32484561183,2.0,34.0,40.0,8,2
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,19,26,-0.47495911636776894,-57829.36856765165,1.7297297297297298,28.0,36.0,9,3
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,5,23,20,-0.4126897841976753,-57388.52040166871,1.1891891891891893,12.0,32.0,8,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,5,7,25,-0.39654918549304635,-57315.82586661728,1.6216216216216217,22.0,38.0,8,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,5,11,23,-0.39178072703002714,-57337.97232122817,1.4594594594594594,20.0,34.0,8,3
