algorithm,network,bbdd,threads,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
ges,parallelbns/res/networks/andes,andes.xbif_,0,2147483647,-1,173,-0.4181927461851755,-475749.2570055629,1.7130044843049328,40.0,342.0,0,713
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,29,163,-0.5419522018543106,-475353.78039629594,1.5874439461883407,16.0,338.0,61,779
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,17,163,-0.5459810102714379,-475359.3985655222,1.5874439461883407,16.0,338.0,62,794
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,19,160,-0.5440594773096251,-475263.7017441348,1.5515695067264574,10.0,336.0,61,800
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,5,160,-0.5464769190477189,-475272.50265481084,1.5515695067264574,10.0,336.0,61,801
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,7,160,-0.5487272352565877,-475280.01584186364,1.5515695067264574,10.0,336.0,62,802
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,23,160,-0.539831651563978,-475318.7869999064,1.5515695067264574,10.0,336.0,62,808
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,13,163,-0.5492471878512057,-475361.4593800279,1.5874439461883407,16.0,338.0,62,816
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,3,160,-0.5486052821141556,-475280.01584186376,1.5515695067264574,10.0,336.0,62,819
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,11,160,-0.5468823285745472,-475194.27412053064,1.5695067264573992,14.0,336.0,60,829
pges,parallelbns/res/networks/andes,andes.xbif_,1,5,2,160,-0.5463510749919326,-475272.4599712779,1.5515695067264574,10.0,336.0,62,853
phc,parallelbns/res/networks/andes,andes.xbif_,1,5,11,198,-0.5401815858698825,-477108.71215121273,2.098654708520179,124.0,344.0,69,1901
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,2,185,-0.5474257065771599,-476606.561239108,1.8475336322869955,60.0,352.0,68,1177
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,7,179,-0.5464792693231326,-476322.133301581,1.8385650224215246,74.0,336.0,70,1192
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,13,178,-0.5478426429701798,-476282.6898532489,1.7847533632286996,50.0,348.0,69,1211
phc,parallelbns/res/networks/andes,andes.xbif_,1,5,7,208,-0.5468767859012861,-477863.5476864056,2.2152466367713006,152.0,342.0,73,2189
phc,parallelbns/res/networks/andes,andes.xbif_,1,5,13,213,-0.5460858588880383,-477932.7809122027,2.188340807174888,118.0,370.0,71,2217
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,11,165,-0.5449456226189265,-475789.25106487493,1.6143497757847534,26.0,334.0,67,1672
phc,parallelbns/res/networks/andes,andes.xbif_,1,5,2,204,-0.5450093352295253,-477666.81162869284,2.1524663677130045,120.0,360.0,69,2555
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,3,204,-0.5403771538370422,-477518.4196272494,2.1614349775784754,138.0,344.0,74,1896
ges,parallelbns/res/networks/andes,andes.xbif_,0,2147483647,-1,173,-0.4181927461851755,-475749.2570055629,1.7130044843049328,40.0,342.0,0,685
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,17,186,-0.541802218498707,-476639.81439833675,1.9103139013452914,78.0,348.0,74,2043
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,3,159,-0.5467677832143644,-475291.21237652627,1.5426008968609866,8.0,336.0,32,734
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,2,174,-0.5459206235353788,-475882.15632626455,1.7130044843049328,42.0,340.0,32,794
phc,parallelbns/res/networks/andes,andes.xbif_,1,5,3,210,-0.5394225535959112,-477911.5774131859,2.3228699551569507,170.0,348.0,74,3089
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,19,185,-0.5457865471968302,-477042.8859349861,1.9103139013452914,86.0,340.0,74,1322
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,5,171,-0.5487449556916368,-475811.84771623794,1.6771300448430493,36.0,338.0,32,732
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,7,174,-0.5414126138376892,-475844.0848725582,1.704035874439462,36.0,344.0,34,716
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,11,159,-0.5458588479431685,-475291.9057824601,1.5426008968609866,8.0,336.0,32,736
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,13,163,-0.5455866868325404,-475427.24554096954,1.5874439461883407,16.0,338.0,34,748
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,19,158,-0.5479742241391055,-475277.0565150846,1.5336322869955157,8.0,334.0,32,690
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,17,171,-0.5464820922937337,-475877.14989046997,1.6860986547085202,40.0,336.0,33,777
phc,parallelbns/res/networks/andes,andes.xbif_,1,5,23,216,-0.5477983515716002,-478180.72493003204,2.2780269058295963,132.0,376.0,71,2961
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,23,160,-0.5453236033362969,-475378.4467888983,1.5515695067264574,10.0,336.0,34,792
pges,parallelbns/res/networks/andes,andes.xbif_,1,10,29,171,-0.542074427604526,-475802.773602606,1.6771300448430493,36.0,338.0,32,719
phc,parallelbns/res/networks/andes,andes.xbif_,1,10,5,217,-0.5483977622640808,-478422.0483783726,2.2511210762331837,132.0,370.0,36,1107
phc,parallelbns/res/networks/andes,andes.xbif_,1,10,3,198,-0.5327675585214057,-477366.85505174304,2.0538116591928253,104.0,354.0,35,1407
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,23,216,-0.5477983515716002,-478180.72493003204,2.2780269058295963,132.0,376.0,71,2893
phc,parallelbns/res/networks/andes,andes.xbif_,1,5,5,195,-0.5450171276931215,-477300.81714412855,2.098654708520179,126.0,342.0,70,4989
phc,parallelbns/res/networks/andes,andes.xbif_,1,10,11,223,-0.5456084886454659,-478579.7021526344,2.3228699551569507,134.0,384.0,36,2257
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,5,5,195,-0.5450171276931215,-477300.81714412855,2.098654708520179,126.0,342.0,70,5171
hc,parallelbns/res/networks/andes,andes.xbif_,1,5,-1,225,-0.41964327714755184,-478177.64787566615,2.4394618834080717,170.0,374.0,71,6473
phc,parallelbns/res/networks/andes,andes.xbif_,1,10,23,221,-0.5366718041323418,-478206.25414250797,2.3228699551569507,156.0,362.0,37,2948
pfhcbes,parallelbns/res/networks/andes,andes.xbif_,1,10,3,180,-0.5383447772637788,-476374.24383646075,1.811659192825112,54.0,350.0,35,2225
