algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,parallelbns/res/networks/barley,barley.xbif_,0,5,-1,121,0.0,-379213.5663604875,6.041666666666667,0.0,290.0,0,3
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,2,89,0.0,-318753.3489356388,4.458333333333333,20.0,194.0,8,18
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,3,90,0.0,-318956.0652910547,4.5,20.0,196.0,10,21
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,5,89,0.0,-319142.95322250086,4.458333333333333,20.0,194.0,10,22
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,7,93,0.0,-320903.52967506566,4.666666666666667,22.0,202.0,9,19
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,11,92,0.0,-319188.3766348589,4.583333333333333,22.0,198.0,9,19
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,13,93,0.0,-320775.0651205195,4.666666666666667,22.0,202.0,9,20
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,17,91,0.0,-320169.9399076398,4.541666666666667,22.0,196.0,9,22
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,19,89,0.0,-318753.34893563885,4.458333333333333,20.0,194.0,9,22
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,23,92,0.0,-319823.04417285725,4.583333333333333,22.0,198.0,9,20
pges,parallelbns/res/networks/barley,barley.xbif_,2,5,29,90,0.0,-319923.28832538833,4.541666666666667,20.0,198.0,8,19
phc,parallelbns/res/networks/barley,barley.xbif_,2,5,2,97,0.0,-322594.0686745329,4.791666666666667,24.0,206.0,8,12
hc,parallelbns/res/networks/barley,barley.xbif_,1,5,-1,92,0.0,-321183.61167578876,4.583333333333333,24.0,196.0,11,22
phc,parallelbns/res/networks/barley,barley.xbif_,2,5,3,97,0.0,-323315.96378683526,4.791666666666667,26.0,204.0,8,14
phc,parallelbns/res/networks/barley,barley.xbif_,2,5,5,95,0.0,-322366.59977407235,4.75,26.0,202.0,8,14
phc,parallelbns/res/networks/barley,barley.xbif_,2,5,7,96,0.0,-322921.44311447226,4.875,30.0,204.0,9,15
