algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,parallelbns/res/networks/child,child.xbif_,0,5,-1,25,-0.7372361865058565,-74016.63186241948,2.6,0.0,52.0,0,0
pges,parallelbns/res/networks/child,child.xbif_,2,5,5,5,-0.6494888885733359,-62827.654305441574,0.6,4.0,8.0,6,1
pges,parallelbns/res/networks/child,child.xbif_,2,5,3,4,-0.6747533014472443,-63502.68802624807,0.4,2.0,6.0,6,2
pges,parallelbns/res/networks/child,child.xbif_,2,5,7,4,-0.5666740228394354,-62777.81544678853,0.4,0.0,8.0,5,1
pges,parallelbns/res/networks/child,child.xbif_,2,5,2,5,-0.645707777375593,-63023.696535212955,0.5,4.0,6.0,5,3
pges,parallelbns/res/networks/child,child.xbif_,2,5,11,2,-0.6882239560704551,-62727.72818645991,0.2,0.0,4.0,6,1
pges,parallelbns/res/networks/child,child.xbif_,2,5,13,2,-0.6993309541953857,-62727.728186459906,0.2,0.0,4.0,6,1
pges,parallelbns/res/networks/child,child.xbif_,2,5,17,2,-0.6918402642015032,-62727.72818645992,0.2,0.0,4.0,8,1
pges,parallelbns/res/networks/child,child.xbif_,2,5,19,2,-0.6607193074584476,-62727.72818645991,0.2,0.0,4.0,7,1
phc,parallelbns/res/networks/child,child.xbif_,2,5,2,12,-0.6044642872498586,-64302.8451439488,1.4,14.0,14.0,5,1
pges,parallelbns/res/networks/child,child.xbif_,2,5,23,4,-0.6480883300917504,-63502.68802624806,0.4,2.0,6.0,7,1
pges,parallelbns/res/networks/child,child.xbif_,2,5,29,5,-0.643883002786393,-62757.171925841176,0.6,2.0,10.0,8,1
hc,parallelbns/res/networks/child,child.xbif_,1,5,-1,4,-0.6147798835949376,-63610.13091152187,0.6,8.0,4.0,7,2
phc,parallelbns/res/networks/child,child.xbif_,2,5,3,5,-0.6283150407626773,-63789.06285078296,0.7,8.0,6.0,5,0
phc,parallelbns/res/networks/child,child.xbif_,2,5,5,5,-0.6240378862964906,-63905.66728331108,0.7,8.0,6.0,5,1
phc,parallelbns/res/networks/child,child.xbif_,2,5,11,8,-0.616716439612356,-63240.785278389274,1.2,18.0,6.0,5,1
phc,parallelbns/res/networks/child,child.xbif_,2,5,7,12,-0.6071731852762499,-63856.74670404679,1.7,18.0,16.0,5,1
phc,parallelbns/res/networks/child,child.xbif_,2,5,13,11,-0.6775537999227981,-64085.07254906145,1.5,16.0,14.0,5,1
