algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,2,0,-0.09017408755621245,-2263.4870910235027,0.0,0.0,0.0,2,0
ges,parallelbns/res/networks/earthquake,earthquake.xbif_,0,5,-1,0,-0.0873311413127423,-2263.4870910235027,0.0,0.0,0.0,0,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,3,1,-0.07953155212579666,-2285.489516874946,0.8,4.0,0.0,2,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,5,3,-0.049244891378586717,-2325.6210257617217,2.8,14.0,0.0,2,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,7,0,-0.09017408755621246,-2263.4870910235027,0.0,0.0,0.0,3,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,11,0,-0.09017408755621246,-2263.4870910235027,0.0,0.0,0.0,2,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,13,0,-0.09017408755621246,-2263.4870910235027,0.0,0.0,0.0,3,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,19,1,-0.08016869734163759,-2286.2741988897947,0.8,4.0,0.0,3,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,17,0,-0.09017408755621245,-2263.4870910235027,0.0,0.0,0.0,3,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,23,0,-0.09017408755621246,-2263.4870910235027,0.0,0.0,0.0,3,0
pges,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,29,1,-0.08232762492106444,-2282.7897261514336,0.8,4.0,0.0,3,0
hc,parallelbns/res/networks/earthquake,earthquake.xbif_,1,5,-1,0,-0.08733113950202678,-2270.324263979711,0.0,0.0,0.0,2,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,2,1,-0.08016869734163759,-2286.2741988897947,0.8,4.0,0.0,2,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,3,1,-0.08057795708429583,-2279.8476707854734,0.8,4.0,0.0,2,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,7,0,-0.0709961257261684,-2270.324263979719,0.0,0.0,0.0,3,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,5,0,-0.08882530553047016,-2270.3242639797104,0.0,0.0,0.0,2,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,11,0,-0.0709961257261684,-2270.324263979724,0.0,0.0,0.0,2,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,13,0,-0.0709961257261684,-2270.324263979719,0.0,0.0,0.0,3,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,17,0,-0.09017408755621245,-2263.4870910235027,0.0,0.0,0.0,2,0
phc,parallelbns/res/networks/earthquake,earthquake.xbif_,2,5,19,0,-0.06588830988735896,-2270.324263979711,0.0,0.0,0.0,2,0
