algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,0,5,-1,94,-1.1097743258631736,-313895.8188797481,3.5,0.0,196.0,0,2
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,3,50,-0.9419956675434514,-259030.84199403136,1.8571428571428572,24.0,80.0,10,13
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,2,51,-1.0473040489751053,-259020.11887932118,1.8571428571428572,26.0,78.0,12,14
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,5,47,-1.1090792054768992,-258898.0648110638,1.7142857142857142,18.0,78.0,13,18
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,7,51,-1.0657931457673864,-258958.71425723936,1.8571428571428572,22.0,82.0,11,19
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,11,52,-1.069567229857155,-259017.92444445053,1.9285714285714286,26.0,82.0,12,21
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,13,57,-1.046646647734525,-259021.43864185025,2.107142857142857,32.0,86.0,12,19
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,19,44,-1.0444474094937275,-259008.3241779851,1.5714285714285714,18.0,70.0,11,16
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,17,43,-1.0565430610760487,-259030.1236361691,1.5714285714285714,16.0,72.0,13,19
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,2,45,-1.0820541601184692,-259961.74661209667,1.6785714285714286,20.0,74.0,10,7
hc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,1,5,-1,43,-0.8862355020387362,-259141.8371415412,1.5357142857142858,14.0,72.0,13,11
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,23,53,-1.0481724114471256,-259013.75510944045,1.9642857142857142,26.0,84.0,10,17
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,29,42,-0.962654546809084,-259100.19037681448,1.5,16.0,68.0,12,21
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,3,50,-1.0611218209081845,-259212.2880665789,1.7857142857142858,22.0,78.0,11,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,5,48,-1.129820891094025,-259086.73074961072,1.7142857142857142,18.0,78.0,11,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,7,42,-1.1094868378203135,-259274.0200219024,1.5,14.0,70.0,11,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,13,47,-1.0710578664156865,-259335.07839005947,1.6785714285714286,16.0,78.0,10,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,11,42,-1.0890456110158773,-259345.08293764922,1.5,12.0,72.0,11,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,17,41,-1.0420638544895517,-259393.40585798043,1.4642857142857142,14.0,68.0,11,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,19,51,-1.0833610492916586,-259479.87890232084,1.8214285714285714,22.0,80.0,10,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,29,48,-1.1247156285921653,-259307.25267061108,1.75,20.0,78.0,10,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,23,49,-0.9704649541426352,-259277.39522167467,1.75,22.0,76.0,11,8
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,2,53,-1.1080689451977153,-259339.2432805091,1.8928571428571428,24.0,82.0,10,8
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,3,45,-1.0501550458297009,-259293.6793928779,1.6071428571428572,16.0,74.0,10,9
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,5,52,-1.1187614317681835,-259038.3594345025,1.8571428571428572,24.0,80.0,11,8
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,7,47,-1.0980443382390457,-259673.9724283499,1.7142857142857142,20.0,76.0,10,7
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,13,46,-1.0780874368963367,-259251.8134712797,1.6428571428571428,20.0,72.0,12,10
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,11,46,-1.07501042804642,-259236.7970534952,1.6428571428571428,20.0,72.0,13,11
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,17,50,-1.060380368757201,-259092.1515404399,1.7857142857142858,24.0,76.0,11,8
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,19,51,-1.0820803733924005,-259479.87890232084,1.8214285714285714,22.0,80.0,10,9
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,23,49,-1.0233601495946023,-259467.47072045782,1.75,18.0,80.0,10,7
ges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,0,10,-1,89,-1.0622993902195301,-301280.0247787087,3.3214285714285716,0.0,186.0,0,2
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,5,29,45,-1.0952936268182512,-259252.67122407214,1.6071428571428572,16.0,74.0,12,8
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,2,56,-0.9899152047433224,-259158.88160265968,2.0714285714285716,30.0,86.0,11,16
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,3,42,-1.0330108008146168,-259514.3993670061,1.5357142857142858,18.0,68.0,7,18
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,5,45,-1.0680523265530066,-259019.13187930745,1.6071428571428572,18.0,72.0,7,15
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,7,53,-0.9451724994469598,-259020.22109758388,1.9285714285714286,24.0,84.0,8,17
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,13,46,-1.1212050599624481,-259047.08102655417,1.6785714285714286,18.0,76.0,10,20
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,11,52,-1.0302349295103495,-259120.75433526927,1.8928571428571428,26.0,80.0,7,22
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,17,54,-1.1500050223700402,-259057.77098532856,1.9285714285714286,24.0,84.0,7,15
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,19,48,-1.1016773175757208,-258962.6503325285,1.7142857142857142,18.0,78.0,8,17
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,2,47,-1.0522186574923802,-259660.17285615677,1.75,22.0,76.0,6,7
hc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,1,10,-1,43,-0.8862355020387362,-259141.83714154124,1.5357142857142858,14.0,72.0,7,12
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,23,56,-1.0700109012703067,-259326.2510610214,2.0357142857142856,30.0,84.0,8,22
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,29,48,-1.1189484313919391,-258983.05734496337,1.75,22.0,76.0,10,22
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,3,47,-1.0674450419342953,-259475.92946750962,1.6785714285714286,20.0,74.0,7,9
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,5,54,-1.085097779792275,-259721.24226937152,2.0,32.0,80.0,7,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,7,46,-1.0413092136704452,-259718.7037070579,1.7142857142857142,22.0,74.0,7,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,11,44,-1.1071176942085315,-259208.38305889652,1.5714285714285714,18.0,70.0,8,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,13,46,-1.094299128917757,-259278.71406503746,1.6428571428571428,16.0,76.0,6,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,19,47,-1.114172584543658,-259660.72241652996,1.75,24.0,74.0,7,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,17,47,-1.1141432646112512,-259363.45457411456,1.6785714285714286,20.0,74.0,7,8
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,23,45,-1.0413465053986235,-259385.0447346575,1.6071428571428572,16.0,74.0,7,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,29,48,-1.094324816503359,-259602.09960970134,1.7857142857142858,24.0,76.0,8,10
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,2,49,-1.036930669532579,-259860.82748575357,1.8214285714285714,28.0,74.0,7,9
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,3,46,-1.1246043718127872,-259365.6532510115,1.6428571428571428,18.0,74.0,9,9
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,5,57,-0.9998961346239871,-259383.0848884542,2.0357142857142856,28.0,86.0,9,9
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,7,44,-1.1193913134113929,-259257.331923421,1.5714285714285714,14.0,74.0,10,13
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,11,42,-1.1206002680493814,-259087.45110108715,1.5,12.0,72.0,10,13
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,13,49,-1.1217874777792392,-259091.07805973533,1.75,20.0,78.0,10,10
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,17,51,-1.0268086787179664,-259366.36450593226,1.8214285714285714,28.0,74.0,12,11
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,19,58,-1.0774721400025142,-259169.46910015715,2.107142857142857,32.0,86.0,12,12
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,23,45,-1.084020219812282,-259265.5704184892,1.6071428571428572,16.0,74.0,8,10
ges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,0,15,-1,84,-1.0249130870610732,-292027.3780186365,3.142857142857143,0.0,176.0,0,3
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,10,29,48,-1.085939774926314,-259130.0700979227,1.7142857142857142,22.0,74.0,10,13
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,3,50,-0.9798557549842247,-259206.09854093503,1.7857142857142858,22.0,78.0,9,14
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,7,58,-1.0661909681740196,-259392.59632475485,2.142857142857143,36.0,84.0,6,15
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,2,45,-0.9925770896666956,-259643.85124904025,1.6428571428571428,22.0,70.0,7,21
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,11,49,-1.0628868213155587,-259231.46538532127,1.75,22.0,76.0,6,18
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,5,52,-1.0527917316834672,-259496.8603356671,1.9642857142857142,30.0,80.0,7,20
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,17,52,-1.0559866849333772,-258995.9056102246,1.8928571428571428,24.0,82.0,8,20
hc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,1,15,-1,43,-0.8862355020387362,-259141.8371415412,1.5357142857142858,14.0,72.0,5,11
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,19,43,-1.0897794652621118,-259046.24473478488,1.5714285714285714,16.0,72.0,10,17
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,23,51,-1.0554372839281336,-258943.01216865386,1.8571428571428572,22.0,82.0,11,24
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,13,41,-0.9595572656737413,-259080.65202619202,1.4642857142857142,12.0,70.0,10,40
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,2,49,-1.118843512615088,-259715.0501966619,1.7857142857142858,24.0,76.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,3,46,-1.0930615882531505,-259712.12977723908,1.6785714285714286,20.0,74.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,5,60,-1.0423089582022638,-262670.39503990946,2.2857142857142856,46.0,82.0,5,7
pges,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,29,39,-1.0597707713710054,-259162.81401697287,1.3928571428571428,12.0,66.0,9,30
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,7,55,-1.1181166640777198,-259823.4224227737,2.0357142857142856,32.0,82.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,11,53,-0.9751329628714797,-260024.75486364262,2.0,32.0,80.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,13,49,-1.1157694315025735,-259451.12939164473,1.75,24.0,74.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,17,45,-1.113175108320005,-259503.51251675186,1.6071428571428572,20.0,70.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,19,51,-0.94872831135814,-260197.8081641385,1.9642857142857142,32.0,78.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,23,43,-1.0626292049251769,-259632.1742519962,1.5357142857142858,14.0,72.0,5,7
phc,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,29,55,-1.0341357181341364,-260631.76782151515,2.107142857142857,44.0,74.0,5,7
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,2,51,-1.1235867262160917,-259544.49516922157,1.8571428571428572,28.0,76.0,9,13
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,3,51,-1.0414779692080505,-259896.9699502145,1.9285714285714286,30.0,78.0,10,10
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,7,60,-0.9419806949052261,-260196.93514987675,2.2857142857142856,42.0,86.0,10,11
pfhcbes,parallelbns/res/networks/hailfinder,hailfinder.xbif_,2,15,5,61,-1.001595907997659,-262204.8808166287,2.25,40.0,86.0,6,12
