algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
ges,parallelbns/res/networks/hepar2,hepar2.xbif_,0,5,-1,153,-0.48999314070261896,-172281.26815856007,6.514285714285714,0.0,456.0,0,2
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,2,85,-0.4782258080306618,-165710.30710816022,4.0,0.0,280.0,9,10
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,3,84,-0.49291115332231783,-165705.41687518748,3.9714285714285715,0.0,278.0,10,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,5,85,-0.48397139257929384,-165694.65565612944,4.0,2.0,278.0,9,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,7,85,-0.4863742531604139,-165698.44981124104,4.0,2.0,278.0,9,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,11,88,-0.48426398006000915,-165758.90580794637,4.171428571428572,2.0,290.0,10,11
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,17,85,-0.49392123886547545,-165740.27017611632,4.0,2.0,278.0,10,8
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,13,85,-0.48090276234896273,-165740.27017611632,4.0,2.0,278.0,9,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,19,85,-0.4833435118013679,-165690.40555947294,4.0,0.0,280.0,11,10
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,23,84,-0.47888976389524984,-165681.89210552158,3.9714285714285715,0.0,278.0,11,9
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,2,92,-0.4813241210067604,-165874.85461178896,4.228571428571429,16.0,280.0,9,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,3,90,-0.49492376964519186,-165743.60424809184,4.142857142857143,6.0,284.0,9,5
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,29,84,-0.47062510331131424,-165659.80235520063,3.9714285714285715,0.0,278.0,10,10
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,5,90,-0.4757238317425396,-165793.3507671804,4.228571428571429,6.0,290.0,9,5
hc,parallelbns/res/networks/hepar2,hepar2.xbif_,1,5,-1,90,-0.46837613358390096,-165760.99537522817,4.2,4.0,290.0,15,10
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,7,91,-0.47104183670661076,-165883.3909571481,4.257142857142857,10.0,288.0,9,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,11,90,-0.48215233533396146,-165815.81552988256,4.171428571428572,10.0,282.0,9,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,13,87,-0.4783049807187117,-165811.6691276257,4.0,6.0,274.0,10,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,19,92,-0.4464645150103865,-165797.78147099866,4.3428571428571425,6.0,298.0,9,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,5,17,88,-0.48223276862216874,-165808.70453364667,4.057142857142857,6.0,278.0,9,5
