algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,2,30,-0.46133948451636897,-71042.50210444318,2.5185185185185186,10.0,58.0,7,2
ges,parallelbns/res/networks/insurance,insurance.xbif_,0,5,-1,65,-0.6994734946429929,-95850.86333731134,5.851851851851852,0.0,158.0,0,1
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,5,33,-0.5049195506357673,-71084.92135464898,2.740740740740741,12.0,62.0,8,3
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,3,30,-0.5658263542280911,-71393.11492228371,2.4444444444444446,8.0,58.0,8,3
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,7,27,-0.5727594685766685,-71132.36258100613,2.1481481481481484,10.0,48.0,10,4
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,13,31,-0.5306298175277863,-71050.43081572198,2.5925925925925926,10.0,60.0,9,3
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,11,35,-0.596077975106635,-71201.99921745999,2.962962962962963,12.0,68.0,8,5
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,17,33,-0.5927806044050361,-70753.41959801376,2.740740740740741,8.0,66.0,7,2
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,23,32,-0.5776703684463205,-71173.91164215746,2.6666666666666665,14.0,58.0,9,3
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,19,36,-0.5492318180252048,-71486.9863147412,2.814814814814815,18.0,58.0,10,3
pges,parallelbns/res/networks/insurance,insurance.xbif_,2,5,29,33,-0.5835413620026608,-71501.17807938646,2.740740740740741,14.0,60.0,7,3
hc,parallelbns/res/networks/insurance,insurance.xbif_,1,5,-1,41,-0.5044666417343043,-73264.36929906013,3.4074074074074074,24.0,68.0,10,2
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,3,40,-0.6359062837102327,-72854.30753421027,3.4074074074074074,22.0,70.0,8,1
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,5,46,-0.4874377940146861,-72431.6192479568,4.0,34.0,74.0,7,1
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,7,33,-0.45978848001468514,-71792.788146228,2.962962962962963,16.0,64.0,9,2
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,2,39,-0.5801493411418394,-72393.36740779356,3.259259259259259,20.0,68.0,7,3
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,11,42,-0.5343042567349254,-72579.99235740006,3.4814814814814814,26.0,68.0,7,2
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,13,42,-0.5740328307720725,-72639.22028514238,3.4074074074074074,24.0,68.0,8,2
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,17,41,-0.5171464664180346,-72529.0580259856,3.4814814814814814,20.0,74.0,7,1
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,19,36,-0.5392944315943992,-72204.0286740618,3.037037037037037,18.0,64.0,7,1
phc,parallelbns/res/networks/insurance,insurance.xbif_,2,5,23,28,-0.5506042347143865,-71210.94162421724,2.3703703703703702,10.0,54.0,7,1
pfhcbes,parallelbns/res/networks/insurance,insurance.xbif_,2,5,2,36,-0.518437332672597,-71507.59982292358,3.037037037037037,14.0,68.0,7,2
pfhcbes,parallelbns/res/networks/insurance,insurance.xbif_,2,5,3,42,-0.49672641252914834,-72773.28620960207,3.6296296296296298,28.0,70.0,9,2
