algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
ges,parallelbns/res/networks/link,link.xbif_,0,2147483647,-1,1008,-0.332860673751608,-1313768.039771534,2.9060773480662982,622.0,1482.0,0,51264
pges,parallelbns/res/networks/link,link.xbif_,1,5,2,944,-0.4821389111805038,-1273539.1860164742,2.679558011049724,532.0,1408.0,193,65844
pges,parallelbns/res/networks/link,link.xbif_,1,5,3,946,-0.47683785254004113,-1276086.5116758393,2.685082872928177,530.0,1414.0,192,67241
pges,parallelbns/res/networks/link,link.xbif_,1,5,5,955,-0.4851191863277201,-1273253.592641952,2.7099447513812156,544.0,1418.0,193,67787
pges,parallelbns/res/networks/link,link.xbif_,1,5,11,951,-0.4910189422986934,-1273540.9463027876,2.6988950276243093,538.0,1416.0,193,64898
pges,parallelbns/res/networks/link,link.xbif_,1,5,7,954,-0.484935554969902,-1273575.5560570753,2.707182320441989,544.0,1416.0,193,66656
pges,parallelbns/res/networks/link,link.xbif_,1,5,13,947,-0.48350302389629174,-1271108.8863323147,2.679558011049724,534.0,1406.0,192,66364
pges,parallelbns/res/networks/link,link.xbif_,1,5,17,957,-0.48338826662733614,-1273351.857447838,2.7154696132596685,548.0,1418.0,194,66643
pges,parallelbns/res/networks/link,link.xbif_,1,5,19,935,-0.49154139893483834,-1264893.3029857203,2.6353591160220993,506.0,1402.0,192,66633
pges,parallelbns/res/networks/link,link.xbif_,1,5,23,954,-0.47557227713954564,-1273208.690061993,2.707182320441989,542.0,1418.0,193,66945
