algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
GES_BNBuilder,res/alarm,alarm.xbif50001246_,1,-1,-1,17,-0.28615378196682145,-57421.418196339095,40.0,10.0,30.0,1,6.48
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,11,23,-0.44404539525319126,-57458.198725091985,56.0,18.0,38.0,9,5.121
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,13,14,-0.4247570897091229,-57065.017845621944,34.0,6.0,28.0,10,5.142
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,17,14,-0.4039498332736867,-57003.48547426694,32.0,4.0,28.0,9,4.237
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,19,21,-0.4950742591969534,-57150.42548608247,52.0,14.0,38.0,11,5.922
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,2,16,-0.4016010017441344,-57066.17517093751,42.0,10.0,32.0,8,4.117
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,23,15,-0.433560932275285,-57042.51922971071,34.0,4.0,30.0,8,4.381
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,29,27,-0.47336204697827683,-57747.32570609054,62.0,20.0,42.0,8,4.681
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,3,19,-0.39584158743320885,-57073.18713828904,42.0,8.0,34.0,10,4.702
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,5,20,-0.39167187315150664,-57149.98365827996,48.0,12.0,36.0,8,4.318
PGESwithStages,res/alarm,alarm.xbif50001246_,2,5,7,16,-0.4413721152598424,-57080.7238220604,42.0,10.0,32.0,9,5.951
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,11,21,-0.4476274653214208,-57821.75820849844,52.0,16.0,36.0,8,4.164
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,13,20,-0.4341080575988394,-57280.315428246875,48.0,16.0,32.0,9,5.483
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,17,22,-0.46592687841829444,-57904.29275961103,60.0,24.0,36.0,13,5.676
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,19,15,-0.4305906907382833,-56918.34531820267,40.0,10.0,30.0,9,4.539
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,2,20,-0.4773520788707069,-57405.4200695939,48.0,12.0,36.0,8,3.916
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,23,25,-0.4987615136370582,-57626.08476332884,60.0,20.0,40.0,10,5.508
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,29,25,-0.42269113882423487,-57523.04435448362,64.0,24.0,40.0,10,4.236
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,3,18,-0.38516121010097504,-57121.33370452299,40.0,8.0,32.0,7,3.967
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,5,22,-0.45376807433868493,-57756.13864023527,60.0,24.0,36.0,10,5.707
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,7,14,-0.3743798577201135,-57106.795490084005,32.0,4.0,28.0,8,3.401
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,11,22,-0.4678888121246535,-57704.43269493912,56.0,20.0,36.0,9,6.167
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,13,20,-0.3682650495963303,-57169.97348105978,48.0,12.0,36.0,6,3.045
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,17,16,-0.4342144768787597,-56928.51581106855,36.0,6.0,30.0,5,2.699
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,19,20,-0.38893620151258185,-57113.47313866415,50.0,14.0,36.0,5,3.816
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,2,17,-0.39315887791281534,-56967.060172341924,42.0,12.0,30.0,8,6.628
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,23,17,-0.3840427504245837,-57424.92490262162,44.0,12.0,32.0,6,2.889
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,29,23,-0.46395360530596746,-57445.863848604466,60.0,24.0,36.0,7,3.67
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,3,16,-0.4696242378580493,-57144.70239125861,44.0,14.0,30.0,10,9.013
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,5,20,-0.4384268934231529,-57116.95395945443,50.0,16.0,34.0,7,3.144
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,7,20,-0.4290356022533794,-57550.88638759666,52.0,20.0,32.0,6,3.363
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,11,27,-0.45941645034717027,-58282.85109245078,72.0,26.0,46.0,8,5.405
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,13,18,-0.4247983205400383,-57515.84688878135,46.0,12.0,34.0,5,2.98
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,17,19,-0.444716029761867,-57396.481243757604,42.0,10.0,32.0,8,6.923
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,19,18,-0.3800131901906361,-57499.04396332313,48.0,16.0,32.0,7,4.273
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,2,27,-0.4257913335137607,-57985.04107686517,64.0,24.0,40.0,8,7.143
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,23,21,-0.43656750801807875,-57697.68481774328,50.0,14.0,36.0,8,6.178
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,29,15,-0.41215247594465415,-56993.711979512016,38.0,12.0,26.0,8,7.787
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,3,32,-0.46259884458251893,-57924.35715038075,76.0,34.0,42.0,6,6.495
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,5,26,-0.38404573468646586,-57981.70889055193,66.0,34.0,32.0,6,4.57
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,7,22,-0.41747438324634506,-57736.41914597722,54.0,20.0,34.0,6,4.104
GES_BNBuilder,res/alarm,alarm.xbif50001_,1,-1,-1,18,-0.286200790719497,-56677.049847758244,48.0,14.0,34.0,1,6.046
PGESwithStages,res/alarm,alarm.xbif50001_,2,5,13,19,-0.4377286304019125,-56710.148964019914,48.0,16.0,32.0,8,4.287
PGESwithStages,res/alarm,alarm.xbif50001_,2,5,17,24,-0.4353579137854652,-56813.38628726886,60.0,22.0,38.0,10,4.779
PGESwithStages,res/alarm,alarm.xbif50001_,2,5,19,23,-0.3305882900785327,-56763.05384898551,56.0,20.0,36.0,9,4.854
PGESwithStages,res/alarm,alarm.xbif50001_,2,5,23,18,-0.4532479743463486,-56422.32005385446,44.0,8.0,36.0,11,4.652
PGESwithStages,res/alarm,alarm.xbif50001_,2,5,29,22,-0.4217009001292666,-56903.83182049225,56.0,18.0,38.0,8,4.47
