algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
PGESwithStages,res/child,child.xbif_,1,5,2,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,3,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,5,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,7,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,11,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,13,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,17,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,19,2,-0.5819501388803145,-62727.72818645993,3.25,0.0,3.25,9,2
PGESwithStages,res/child,child.xbif_,1,5,23,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,5,29,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,8,1
PGESwithStages,res/child,child.xbif_,1,10,2,2,-0.6502329163715962,-62727.72818645991,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,10,3,2,-0.5819501388803145,-62727.72818645992,3.25,0.0,3.25,7,1
PGESwithStages,res/child,child.xbif_,1,10,5,2,-0.6502329163715962,-62727.72818645991,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,10,7,2,-0.5819501388803145,-62727.72818645992,3.25,0.0,3.25,7,1
PGESwithStages,res/child,child.xbif_,1,10,11,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,10,13,2,-0.6502329163715962,-62727.72818645991,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,10,17,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,10,19,2,-0.5819501388803145,-62727.72818645992,3.25,0.0,3.25,7,1
PGESwithStages,res/child,child.xbif_,1,10,23,2,-0.5819501388803145,-62727.72818645993,3.25,0.0,3.25,7,2
PGESwithStages,res/child,child.xbif_,1,10,29,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,15,2,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,15,3,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,15,5,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,15,7,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,15,11,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,15,13,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
PGESwithStages,res/child,child.xbif_,1,15,17,2,-0.6502329163715962,-62727.72818645992,3.25,0.0,3.25,6,1
