algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,2,44,-1.092318261173086,-258870.81660266905,42.9952814459117,11.845238095238097,31.150043350673602,14,12
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,5,41,-1.1060867201212259,-258963.81322520372,39.31756035747632,10.017006802721088,29.300553554755233,15,13
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,13,45,-1.0904309564428916,-258965.51738842754,42.710417500333456,11.713435374149661,30.99698212618381,14,12
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,11,44,-1.1176575783381555,-258870.67901422983,42.65514539148993,11.505102040816329,31.150043350673602,14,12
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,29,42,-1.1485418190203454,-258934.3557027323,41.25208416700013,10.165816326530615,31.086267840469528,13,13
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,3,45,-1.1153367390999827,-258974.69619823544,45.82266239829264,12.886904761904763,32.93575763638788,14,28
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,2,44,-1.0951238708420354,-258899.17587699404,42.65514539148993,11.505102040816329,31.150043350673602,9,11
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,5,46,-1.0541980529662052,-258999.61204714625,44.29205015339468,11.271258503401361,33.02079164999333,8,11
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,3,46,-1.0982993073683223,-259065.38319991497,45.036097772442304,11.666666666666666,33.36943110577565,9,11
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,7,41,-1.0826761409423318,-258882.2918291151,40.40174403094569,9.31547619047619,31.086267840469528,14,31
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,19,48,-1.086046308833315,-258913.43162819458,45.733376684006934,13.293650793650794,32.439725890356144,14,30
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,17,42,-1.1485418190203454,-258934.3557027323,41.25208416700013,10.165816326530615,31.086267840469528,13,31
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,5,23,40,-1.1189458055791153,-258908.00685129888,38.275893690809646,8.975340136054422,29.300553554755233,13,30
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,11,46,-1.1540821051158596,-259028.6365105969,44.49613178604775,11.713435374149661,32.782696411898094,9,12
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,13,44,-1.1533141729154788,-259004.35312076926,41.464669201013734,10.229591836734695,31.235077364279046,9,11
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,19,44,-1.07090585331014,-258966.84962686824,42.38303654795251,10.671768707482995,31.71126784046953,9,10
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,17,47,-0.9297514228595505,-259037.11338545987,46.69000933706815,13.320578231292519,33.36943110577565,9,12
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,7,45,-1.1281147816711092,-258914.7360852361,43.13983926904094,10.763888888888888,32.37595038015207,9,27
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,5,46,-1.0680362985581968,-258997.23624102626,43.84136988128585,11.465419501133786,32.37595038015207,6,9
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,7,50,-1.0547973489172056,-259003.55944050304,47.030145391489924,12.719671201814059,34.31047418967587,6,9
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,11,42,-1.0352522149628902,-258993.4264361087,41.443410697612364,10.357142857142858,31.086267840469528,6,9
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,13,42,-1.121280947301526,-258974.52557234696,41.1032746431906,10.017006802721088,31.086267840469528,8,11
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,3,44,-1.0779278864028867,-258972.32388252404,41.89409096972121,10.659013605442178,31.235077364279046,7,23
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,2,44,-1.0951238708420354,-258899.17587699404,42.65514539148993,11.505102040816329,31.150043350673602,7,23
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,29,49,-1.0310304888240045,-258987.1767199056,45.448512738428704,13.16184807256236,32.28666466586635,8,24
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,10,23,41,-1.107739963319494,-259014.8086039717,40.06160797652393,8.975340136054422,31.086267840469528,10,29
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,29,46,-1.0541980529662052,-258999.61204714625,44.29205015339468,11.271258503401361,33.02079164999333,6,9
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,19,49,-0.9157817030974241,-259039.668934285,47.833716820061355,13.2015306122449,34.63218620781646,8,12
PGESwithStages,res/hailfinder,hailfinder.xbif_,1,15,23,45,-1.1237906946314944,-259034.8800804362,43.25038348672802,10.229591836734695,33.02079164999333,8,12
PGESwithStages,res/hailfinder,hailfinder.xbif50001_,1,5,3,42,-1.106918307623685,-259210.90645901623,43.619030945711614,10.297619047619047,33.32141189809257,14,13
