algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,2,84,-0.47897782329282645,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,15,11
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,3,84,-0.4822408850605625,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,14,10
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,5,84,-0.47897782329282645,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,15,10
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,7,84,-0.47897782329282645,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,15,10
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,11,84,-0.4822408850605625,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,14,10
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,13,84,-0.4822408850605625,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,14,9
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,17,84,-0.47897782329282645,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,15,11
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,19,84,-0.4822408850605625,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,14,10
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,23,84,-0.4822408850605625,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,14,9
PGESwithStages,res/hepar2,hepar2.xbif_,1,5,29,84,-0.47897782329282645,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,15,10
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,2,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,8,9
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,3,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,8,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,5,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,8,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,7,84,-0.4933398861251551,-165705.41687518745,39.15365003401271,0.0,39.15365003401271,8,9
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,11,85,-0.48838287972130845,-165709.4601273551,39.44211157247424,0.0,39.44211157247424,8,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,13,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,8,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,17,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,8,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,19,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,8,9
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,23,85,-0.48838287972130845,-165709.4601273551,39.44211157247424,0.0,39.44211157247424,8,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,10,29,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,8,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,2,84,-0.479828603309372,-165663.59651031217,39.15365003401271,0.0,39.15365003401271,6,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,3,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,6,7
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,5,84,-0.4894805895401437,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,7,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,7,84,-0.4894805895401437,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,7,7
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,11,84,-0.4894805895401437,-165705.41687518748,39.15365003401271,0.0,39.15365003401271,7,7
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,13,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,6,7
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,17,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,6,7
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,19,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,6,8
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,23,84,-0.4803961791435887,-165659.80235520058,39.15365003401271,0.0,39.15365003401271,6,7
PGESwithStages,res/hepar2,hepar2.xbif_,1,15,29,84,-0.48909078311827403,-165709.21103029908,39.15365003401271,0.0,39.15365003401271,7,8
PGESwithStages,res/hepar2,hepar2.xbif50001_,1,5,2,85,-0.48043668569373615,-165615.17232629165,38.62196421528576,0.0,38.62196421528576,14,10
PGESwithStages,res/hepar2,hepar2.xbif50001_,1,5,3,86,-0.4835922867466731,-165584.30973192744,40.033339876661415,0.7500000000000001,39.28333987666142,14,10
