algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
PGESwithStages,res/insurance,insurance.xbif_,1,5,2,32,-0.5802854821600028,-71102.61196484065,43.07746779969002,7.921810699588478,35.155657100101536,10,2
PGESwithStages,res/insurance,insurance.xbif_,1,5,3,32,-0.48606379325043503,-71102.61196484065,43.07746779969002,7.921810699588478,35.155657100101536,11,5
PGESwithStages,res/insurance,insurance.xbif_,1,5,5,32,-0.6162065829906683,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,11,6
PGESwithStages,res/insurance,insurance.xbif_,1,5,7,32,-0.5637857994317703,-70955.29738192611,44.1549088771311,7.921810699588478,36.233098177542615,10,5
PGESwithStages,res/insurance,insurance.xbif_,1,5,11,31,-0.6105844832816999,-71364.07962752518,42.80530169419058,9.40329218106996,33.40200951312062,10,5
PGESwithStages,res/insurance,insurance.xbif_,1,5,29,31,-0.6105844832816999,-71364.07962752518,42.80530169419058,9.40329218106996,33.40200951312062,10,2
PGESwithStages,res/insurance,insurance.xbif_,1,5,17,30,-0.51379775130633,-71042.50210444319,41.3238202127091,7.921810699588478,33.40200951312062,10,5
PGESwithStages,res/insurance,insurance.xbif_,1,5,13,31,-0.6105844832816999,-71364.07962752518,42.80530169419058,9.40329218106996,33.40200951312062,10,6
PGESwithStages,res/insurance,insurance.xbif_,1,5,23,31,-0.6105844832816999,-71364.07962752518,42.80530169419058,9.40329218106996,33.40200951312062,10,5
PGESwithStages,res/insurance,insurance.xbif_,1,5,19,31,-0.6105844832816999,-71364.07962752518,42.80530169419058,9.40329218106996,33.40200951312062,10,5
PGESwithStages,res/insurance,insurance.xbif_,1,10,11,32,-0.5036516824205642,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,9,2
PGESwithStages,res/insurance,insurance.xbif_,1,10,2,32,-0.5227105342992634,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,9,6
PGESwithStages,res/insurance,insurance.xbif_,1,10,3,32,-0.4906916880813149,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,9,6
PGESwithStages,res/insurance,insurance.xbif_,1,10,5,32,-0.5589087867448426,-70955.29738192611,44.1549088771311,7.921810699588478,36.233098177542615,6,5
PGESwithStages,res/insurance,insurance.xbif_,1,10,7,32,-0.5589087867448426,-70955.29738192611,44.1549088771311,7.921810699588478,36.233098177542615,6,5
PGESwithStages,res/insurance,insurance.xbif_,1,10,17,31,-0.47474150859442055,-71069.29245490489,42.586446475335364,7.921810699588478,34.66463577574687,6,5
PGESwithStages,res/insurance,insurance.xbif_,1,10,13,32,-0.5036516824205642,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,9,6
PGESwithStages,res/insurance,insurance.xbif_,1,10,19,31,-0.6194822905362511,-71069.29245490489,42.586446475335364,7.921810699588478,34.66463577574687,6,5
PGESwithStages,res/insurance,insurance.xbif_,1,10,23,31,-0.49362986307475326,-71724.44160167011,41.673146812035704,8.489992517770295,33.1831542942654,6,6
PGESwithStages,res/insurance,insurance.xbif_,1,10,29,32,-0.5178132884207364,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,8,2
PGESwithStages,res/insurance,insurance.xbif_,1,15,2,32,-0.6100072289174919,-71390.86997798689,44.067927956816845,9.40329218106996,34.66463577574687,4,5
PGESwithStages,res/insurance,insurance.xbif_,1,15,3,32,-0.6275637400799146,-71293.62487962015,43.15462829351719,8.489992517770295,34.66463577574687,5,6
PGESwithStages,res/insurance,insurance.xbif_,1,15,5,31,-0.6489209532648005,-71724.44160167011,41.673146812035704,8.489992517770295,33.1831542942654,4,5
PGESwithStages,res/insurance,insurance.xbif_,1,15,23,32,-0.49192728801641905,-70955.2973819261,44.1549088771311,7.921810699588478,36.233098177542615,5,2
PGESwithStages,res/insurance,insurance.xbif_,1,15,7,32,-0.4888864740903698,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,9,6
PGESwithStages,res/insurance,insurance.xbif_,1,15,13,31,-0.5992437356441577,-71069.29245490489,42.586446475335364,7.921810699588478,34.66463577574687,5,6
PGESwithStages,res/insurance,insurance.xbif_,1,15,17,32,-0.4888864740903698,-71077.22116618369,43.54043076265298,7.921810699588478,35.618620063064505,9,7
PGESwithStages,res/insurance,insurance.xbif_,1,15,11,32,-0.5002141627839979,-71102.61196484065,43.07746779969002,7.921810699588478,35.155657100101536,9,8
PGESwithStages,res/insurance,insurance.xbif_,1,15,19,32,-0.48606379325043503,-71102.61196484065,43.07746779969002,7.921810699588478,35.155657100101536,9,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,5,27,-0.6050815934653372,-70753.93989418296,35.493292715514926,2.3045267489711936,33.188765966543734,9,2
PGESwithStages,res/insurance,insurance.xbif_,1,15,29,30,-0.6163134006260462,-71286.89932113707,41.434183100849765,7.921810699588478,33.51237240126128,5,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,3,30,-0.6555748907397214,-70715.75724842792,39.12404467960023,2.3045267489711936,36.81951793062904,10,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,2,29,-0.5368374404828549,-70803.20176017749,37.24694030249585,2.3045267489711936,34.94241355352465,10,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,7,27,-0.599939513658066,-70753.93989418294,35.493292715514926,2.3045267489711936,33.188765966543734,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,23,28,-0.6106688087928409,-71100.48820695539,36.974774196996414,3.7860082304526745,33.188765966543734,9,2
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,11,28,-0.6106688087928409,-71100.48820695539,36.974774196996414,3.7860082304526745,33.188765966543734,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,13,28,-0.6106688087928409,-71100.48820695539,36.974774196996414,3.7860082304526745,33.188765966543734,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,17,27,-0.599939513658066,-70753.93989418294,35.493292715514926,2.3045267489711936,33.188765966543734,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,19,28,-0.6106688087928409,-71100.48820695539,36.974774196996414,3.7860082304526745,33.188765966543734,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,5,29,28,-0.6106688087928409,-71100.48820695539,36.974774196996414,3.7860082304526745,33.188765966543734,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,7,27,-0.48898425876694024,-71422.93729974948,36.60233285233285,2.3045267489711936,34.29780610336166,5,2
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,2,29,-0.5265643852004813,-71188.17188050602,37.23371278926834,2.3045267489711936,34.92918604029715,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,3,29,-0.5265643852004813,-71188.17188050602,37.23371278926834,2.3045267489711936,34.92918604029715,9,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,5,29,-0.5941177024694044,-70678.64657732917,39.47664475442252,3.4567901234567904,36.01985463096573,5,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,11,29,-0.5265643852004813,-71188.17188050602,37.23371278926834,2.3045267489711936,34.92918604029715,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,13,29,-0.5857790769929391,-71540.30480720036,38.87232109454331,4.897119341563786,33.97520175297952,5,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,19,28,-0.5904483548366305,-70807.8341044225,36.755918978141196,2.3045267489711936,34.45139222917,5,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,17,29,-0.5265643852004813,-71188.17188050602,37.23371278926834,2.3045267489711936,34.92918604029715,9,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,29,32,-0.6331492811405908,-70866.65206993475,41.70340975896531,3.4950029394473834,38.208406819517926,6,2
PGESwithStages,res/insurance,insurance.xbif50001_,1,10,23,29,-0.5602990675674616,-71431.88879822903,38.32277804500027,2.872708567153012,35.45006947784725,5,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,2,29,-0.5602990675674616,-71431.88879822903,38.32277804500027,2.872708567153012,35.45006947784725,4,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,5,29,-0.5602990675674616,-71431.88879822903,38.32277804500027,2.872708567153012,35.45006947784725,4,5
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,19,31,-0.5755672794627098,-71202.6041167704,39.57378012933568,2.3045267489711936,37.26925338036449,7,2
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,3,30,-0.39879874579296265,-71427.25645398402,38.813799369354925,2.872708567153012,35.94109080220191,10,7
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,7,30,-0.39879874579296265,-71427.25645398402,38.813799369354925,2.872708567153012,35.94109080220191,10,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,11,28,-0.47579620134890904,-71176.02068561026,36.279728501950714,2.3045267489711936,33.97520175297952,5,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,17,30,-0.39879874579296265,-71427.25645398402,38.813799369354925,2.872708567153012,35.94109080220191,10,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,13,31,-0.5759577330100217,-70834.41753558263,40.049970605526156,2.3045267489711936,37.745443856554964,7,6
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,23,29,-0.6394972136247489,-70678.64657732917,39.47664475442252,3.4567901234567904,36.01985463096573,4,5
PGESwithStages,res/insurance,insurance.xbif50002_,1,5,3,32,-0.5894427764504185,-70374.62778570429,42.44695633584523,5.470311581422692,36.97664475442253,11,2
PGESwithStages,res/insurance,insurance.xbif50001_,1,15,29,27,-0.504532931688447,-71422.9372997495,36.60233285233285,2.3045267489711936,34.29780610336166,4,4
