algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
PGESwithStages,res/water,water.xbif_,1,5,2,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,1
PGESwithStages,res/water,water.xbif_,1,5,3,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,2
PGESwithStages,res/water,water.xbif_,1,5,5,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,2
PGESwithStages,res/water,water.xbif_,1,5,7,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,1
PGESwithStages,res/water,water.xbif_,1,5,11,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,1
PGESwithStages,res/water,water.xbif_,1,5,13,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,1
PGESwithStages,res/water,water.xbif_,1,5,17,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,1
PGESwithStages,res/water,water.xbif_,1,5,19,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,2
PGESwithStages,res/water,water.xbif_,1,5,23,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,2
PGESwithStages,res/water,water.xbif_,1,5,29,96,-0.5012066134083822,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,8,2
PGESwithStages,res/water,water.xbif_,1,10,2,96,-0.41817081064916056,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,5,1
PGESwithStages,res/water,water.xbif_,1,10,3,96,-0.41817081064916056,-67048.79765475748,71.73408189033191,2.308407738095238,69.42567415223667,5,1
