algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,2,101,-0.22110175878531435,-49383.192540631084,48.372635523095845,20.774963664058493,27.59767185903734,24,18
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,3,97,-0.23328409796992453,-49459.602323922925,47.40443225052968,20.35119599725677,27.05323625327291,23,16
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,7,92,-0.22852934254268983,-49366.245032283754,45.02755061144746,18.863419712653858,26.16413089879359,23,20
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,17,99,-0.2386813162691576,-49431.48011608492,45.84764643093224,18.729154804965457,27.11849162596677,24,19
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,2,98,-0.23028124658383894,-49464.95869825813,48.33051111662403,19.957583761539272,28.372927355084755,13,15
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,13,91,-0.22956568375609185,-49444.21970331674,36.11780774853122,9.632585660225388,26.48522208830584,24,43
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,3,99,-0.22723563079851275,-49477.840532962546,47.574858315692595,19.66197293961266,27.912885376079927,12,16
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,23,85,-0.23591727725086073,-49498.242375554226,34.43793512536383,8.893323374523472,25.544611750840364,23,42
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,5,102,-0.24031752163871878,-49344.33928428563,48.20991820944974,19.959425572978606,28.25049263647112,23,50
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,11,92,-0.22894453497885792,-49427.1258018811,39.43081390844956,13.199227044387547,26.231586864062013,24,51
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,29,88,-0.23775406766155016,-49482.68700804161,35.55317579284908,9.231474258726987,26.321701534122095,24,43
PGESwithStages,res/win95pts,win95pts.xbif_,1,5,19,89,-0.22448000764326392,-49519.35772743258,38.97270956145405,13.099150442192647,25.873559119261415,24,46
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,5,92,-0.2245890643947959,-49453.61842245454,41.140107222272775,14.60499839540902,26.535108826863752,12,17
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,7,105,-0.2329985287727986,-49440.04580803867,47.969473857122544,20.219042648731413,27.75043120839112,13,15
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,2,95,-0.24263966278451554,-49615.06657682584,42.76407664809979,14.748144722765874,28.01593192533391,12,20
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,3,111,-0.23647757858693944,-49521.728303504235,51.95658057565341,23.11705408002458,28.839526495628824,9,16
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,11,98,-0.23633756274764112,-49488.17065675043,41.6206361103094,13.900960474265839,27.71967563604356,13,41
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,13,88,-0.2231723694304879,-49372.452717521264,35.668755253039095,10.448085949409887,25.22066930362922,13,41
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,17,93,-0.22376024717777396,-49433.708788193566,40.105889755963084,13.434197060520999,26.67169269544208,13,44
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,23,106,-0.23277893002828787,-49473.434248271726,48.53189754454624,20.119916628552765,28.41198091599346,13,43
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,19,101,-0.2331076854599703,-49449.04437899048,45.446475183969056,18.735185948156452,26.711289235812615,13,47
PGESwithStages,res/win95pts,win95pts.xbif_,1,10,29,88,-0.22675548144680013,-49465.600455884734,36.619591832949325,10.841749947950047,25.77784188499928,14,46
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,5,105,-0.21449425008848905,-49558.4347955155,53.327782292300775,23.963873524407976,29.363908767892795,10,17
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,7,104,-0.22902613515658854,-49475.58652497455,51.416191613050835,23.51068521668977,27.90550639636104,9,17
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,2,97,-0.23641053889451982,-49229.73997731322,41.261405494275785,14.862038697727959,26.39936679654783,23,16
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,3,96,-0.23579579839150042,-49227.82009780301,41.5569974152547,16.128808563569034,25.428188851685675,23,19
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,17,98,-0.23914780086439394,-49542.79643902315,48.0438569812857,19.468861957027993,28.57499502425769,9,39
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,11,93,-0.22820492309734536,-49577.13636277466,42.09918525294523,14.16021656904825,27.938968683896988,9,47
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,13,101,-0.22679072224536437,-49734.20122251676,51.4539987762857,24.834235145930588,26.619763630355113,10,46
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,23,104,-0.24460178068085905,-49564.28474499583,50.46365648003256,21.210716593619473,29.25293988641307,9,40
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,19,91,-0.21735306820807496,-49532.73077561011,43.57526450745857,18.043220175349063,25.532044332109503,9,42
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,5,103,-0.23723939176227948,-49174.28466751116,45.559151915290904,18.01699828243742,27.542153632853488,25,20
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,7,96,-0.2240813503391527,-49115.37522444369,41.13152274870133,14.92723536896178,26.20428737973956,23,17
PGESwithStages,res/win95pts,win95pts.xbif_,1,15,29,99,-0.22852811472004478,-50030.376665372234,46.50992336606237,20.639586134901432,25.870337231160917,11,52
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,29,103,-0.2350597323689927,-49231.11604025039,43.79899947923819,16.17782817141217,27.621171307826025,23,17
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,10,2,93,-0.23407216258074223,-49183.652795073845,42.49707926323128,16.94634318255387,25.55073608067742,13,19
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,11,102,-0.2392112281350651,-49283.43062528742,45.40867270075353,17.62772695683727,27.780945743916245,23,37
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,10,5,96,-0.21168883401270697,-49081.55397340434,42.046243886108634,15.719636710491363,26.326607175617273,13,17
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,19,97,-0.22959143638896118,-49210.79231603339,41.261405494275785,14.862038697727959,26.39936679654783,23,46
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,13,96,-0.23962129587849534,-49103.957324102164,40.69438583341956,14.661735124542686,26.03265070887688,24,50
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,10,7,99,-0.2311596204033133,-49203.97651929084,45.0346732481937,18.262132656238084,26.772540591955618,13,15
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,23,103,-0.24006294236604003,-49272.70076050898,43.79899947923819,16.17782817141217,27.621171307826025,24,49
PGESwithStages,res/win95pts,win95pts.xbif50001_,1,5,17,108,-0.23966624483900104,-49334.64256954997,47.94626668571594,18.94351643052148,29.00275025519445,24,52
