algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,alarm,.xbif50001246_.csv,7,-56600.87982962783,14.0,0.0,14.0,0.842
fges,alarm,.xbif50001_.csv,7,-56015.490720116184,14.0,0.0,14.0,1.282
fges,alarm,.xbif50002_.csv,8,-56362.449826560885,16.0,2.0,14.0,1.212
fges,alarm,.xbif50003_.csv,7,-56139.433833754614,14.0,0.0,14.0,0.906
fges,alarm,.xbif50004_.csv,7,-56445.43457797662,14.0,0.0,14.0,0.742
fges,alarm,.xbif50005_.csv,10,-57827.916073627064,24.0,8.0,16.0,0.965
fges,alarm,.xbif50006_.csv,9,-56262.1923300424,18.0,2.0,16.0,1.033
fges,alarm,.xbif50007_.csv,7,-56297.356184138975,14.0,0.0,14.0,0.943
fges,alarm,.xbif50008_.csv,7,-56729.61646919068,14.0,0.0,14.0,0.824
fges,alarm,.xbif50009_.csv,8,-56957.22846382695,16.0,2.0,14.0,0.811
fges,alarm,.xbif_.csv,10,-56631.335924696374,22.0,6.0,16.0,1.25
