algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,andes,.xbif50001246_.csv,194,-475934.5912344279,416.0,62.0,354.0,10.367
fges,andes,.xbif50001_.csv,177,-476177.6270533055,386.0,48.0,338.0,8.161
fges,andes,.xbif50002_.csv,166,-476101.3235810111,358.0,54.0,304.0,9.689
fges,andes,.xbif50003_.csv,183,-475000.8573852745,392.0,56.0,336.0,8.577
fges,andes,.xbif50004_.csv,179,-475384.2205084151,388.0,64.0,324.0,8.995
fges,andes,.xbif50005_.csv,168,-475828.3898622649,362.0,52.0,310.0,10.963
fges,andes,.xbif50006_.csv,170,-475464.60012003116,366.0,54.0,312.0,8.487
fges,andes,.xbif50007_.csv,190,-475890.66717701877,404.0,62.0,342.0,9.646
fges,andes,.xbif50008_.csv,190,-476822.59633548197,412.0,54.0,358.0,7.762
fges,andes,.xbif50009_.csv,176,-476212.4651077608,378.0,46.0,332.0,7.218
fges,andes,.xbif_.csv,179,-476544.93113975605,390.0,56.0,334.0,8.372
