algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,earthquake,.xbif50001246_.csv,0,-2408.391484530776,0.0,0.0,0.0,0.01
fges,earthquake,.xbif50001_.csv,0,-2300.776765837838,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50002_.csv,0,-2316.962264749576,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50003_.csv,0,-2312.7756226127585,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50004_.csv,0,-2373.351518788437,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50005_.csv,0,-2337.029294339324,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50006_.csv,0,-2452.806223894818,0.0,0.0,0.0,0.009
fges,earthquake,.xbif50007_.csv,0,-2667.1590857049905,0.0,0.0,0.0,0.01
fges,earthquake,.xbif50008_.csv,0,-2430.3589814325333,0.0,0.0,0.0,0.01
fges,earthquake,.xbif50009_.csv,0,-2342.1633179910577,0.0,0.0,0.0,0.01
fges,earthquake,.xbif_.csv,0,-2263.4870910235027,0.0,0.0,0.0,0.01
