algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,child,.xbif50001246_.csv,5,-63558.315690592855,12.0,4.0,8.0,6.857
fges,child,.xbif50001_.csv,4,-62836.50729427046,8.0,0.0,8.0,2.901
fges,child,.xbif50002_.csv,4,-63136.54980533872,8.0,0.0,8.0,2.775
fges,child,.xbif50003_.csv,4,-63038.22435565979,8.0,0.0,8.0,3.056
fges,child,.xbif50004_.csv,5,-63380.15680168916,12.0,4.0,8.0,6.916
fges,child,.xbif50005_.csv,4,-63298.330382228436,8.0,0.0,8.0,2.833
fges,child,.xbif50006_.csv,4,-63516.02402264353,8.0,0.0,8.0,2.616
fges,child,.xbif50007_.csv,6,-63509.0666574619,12.0,0.0,12.0,2.597
fges,child,.xbif50008_.csv,4,-63115.72636748376,8.0,0.0,8.0,2.523
fges,child,.xbif50009_.csv,4,-63707.15915784441,8.0,0.0,8.0,2.84
fges,child,.xbif_.csv,5,-62958.333565448294,12.0,4.0,8.0,7.084
