algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,hailfinder,.xbif50001246_.csv,52,-259814.42530645698,104.0,32.0,72.0,1076.723
fges,hailfinder,.xbif50001_.csv,38,-259924.27464390633,76.0,16.0,60.0,1114.104
fges,hailfinder,.xbif50002_.csv,50,-260034.51498379538,100.0,30.0,70.0,1293.897
fges,hailfinder,.xbif50003_.csv,49,-259805.7683960782,100.0,30.0,70.0,1045.105
fges,hailfinder,.xbif50004_.csv,44,-260456.34093743277,88.0,24.0,64.0,1047.69
fges,hailfinder,.xbif50005_.csv,43,-260157.64862858897,86.0,24.0,62.0,807.703
fges,hailfinder,.xbif50006_.csv,43,-260214.09427136715,86.0,22.0,64.0,1007.442
fges,hailfinder,.xbif50007_.csv,40,-259752.13248444098,80.0,20.0,60.0,1123.136
fges,hailfinder,.xbif50008_.csv,42,-259740.72344863968,84.0,20.0,64.0,1020.558
fges,hailfinder,.xbif50009_.csv,44,-259723.09800275016,88.0,26.0,62.0,1180.207
fges,hailfinder,.xbif_.csv,38,-259778.36664547765,76.0,16.0,60.0,918.044
