algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,hepar2,.xbif50001246_.csv,90,-166299.71667869546,288.0,10.0,278.0,1.107
fges,hepar2,.xbif50001_.csv,88,-165878.53497355233,264.0,12.0,252.0,1.144
fges,hepar2,.xbif50002_.csv,83,-165707.776612353,256.0,2.0,254.0,0.936
fges,hepar2,.xbif50003_.csv,86,-166074.02807956142,280.0,4.0,276.0,1.044
fges,hepar2,.xbif50004_.csv,89,-166005.94806064828,276.0,8.0,268.0,1.027
fges,hepar2,.xbif50005_.csv,85,-166482.30852365124,268.0,6.0,262.0,1.036
fges,hepar2,.xbif50006_.csv,82,-166465.0673698056,256.0,4.0,252.0,0.998
fges,hepar2,.xbif50007_.csv,88,-165687.88049408636,268.0,10.0,258.0,1.04
fges,hepar2,.xbif50008_.csv,82,-165842.1340576241,266.0,2.0,264.0,1.16
fges,hepar2,.xbif50009_.csv,88,-165991.64145127957,284.0,10.0,274.0,1.254
fges,hepar2,.xbif_.csv,96,-165830.75984685725,294.0,16.0,278.0,1.216
