algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,link,.xbif50001246_.csv,1083,-1336113.488722109,2246.0,860.0,1386.0,254.108
fges,link,.xbif50001_.csv,1087,-1352131.559173288,2302.0,930.0,1372.0,285.951
fges,link,.xbif50002_.csv,1065,-1383074.0650773523,2222.0,854.0,1368.0,275.201
fges,link,.xbif50003_.csv,1071,-1330855.5741805914,2224.0,840.0,1384.0,253.896
fges,link,.xbif50004_.csv,1120,-1361849.8929300716,2354.0,958.0,1396.0,245.863
fges,link,.xbif50005_.csv,1048,-1371721.2876206294,2168.0,878.0,1290.0,376.12
fges,link,.xbif50006_.csv,1090,-1380064.532117734,2290.0,924.0,1366.0,282.589
fges,link,.xbif50007_.csv,1090,-1378037.5741110553,2264.0,870.0,1394.0,281.33
fges,link,.xbif50008_.csv,1107,-1402586.884603212,2350.0,962.0,1388.0,270.247
fges,link,.xbif50009_.csv,1113,-1529303.2794490366,2352.0,996.0,1356.0,325.186
fges,link,.xbif_.csv,1057,-1357296.9566358044,2214.0,866.0,1348.0,271.193
