algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,mildew,.xbif50001246_.csv,46,-420351.96079060715,98.0,8.0,90.0,727.356
fges,mildew,.xbif50001_.csv,44,-434782.64966084727,94.0,8.0,86.0,765.9
fges,mildew,.xbif50002_.csv,44,-433029.82454223273,94.0,8.0,86.0,773.787
fges,mildew,.xbif50003_.csv,46,-424727.78329089266,98.0,8.0,90.0,1151.195
fges,mildew,.xbif50004_.csv,46,-414067.0731549239,98.0,8.0,90.0,759.736
fges,mildew,.xbif50005_.csv,46,-420480.44947137055,98.0,8.0,90.0,761.997
fges,mildew,.xbif50006_.csv,44,-422969.11537366675,94.0,8.0,86.0,2229.652
fges,mildew,.xbif50007_.csv,44,-422898.0610576961,94.0,8.0,86.0,743.256
fges,mildew,.xbif50008_.csv,46,-424883.5945056086,98.0,8.0,90.0,698.957
fges,mildew,.xbif50009_.csv,46,-417781.33595778234,98.0,8.0,90.0,710.903
fges,mildew,.xbif_.csv,46,-427377.2513647288,98.0,8.0,90.0,803.417
