algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,win95pts,.xbif50001246_.csv,90,-51403.30907400574,220.0,116.0,104.0,3.098
fges,win95pts,.xbif50001_.csv,63,-50431.956532896715,160.0,82.0,78.0,3.058
fges,win95pts,.xbif50002_.csv,60,-51712.7600581072,156.0,94.0,62.0,3.249
fges,win95pts,.xbif50003_.csv,68,-50129.88720106519,166.0,78.0,88.0,3.078
fges,win95pts,.xbif50004_.csv,64,-50844.55022704492,166.0,98.0,68.0,3.596
fges,win95pts,.xbif50005_.csv,60,-51311.31085572761,140.0,68.0,72.0,3.145
fges,win95pts,.xbif50006_.csv,82,-51091.396811325525,194.0,90.0,104.0,3.033
fges,win95pts,.xbif50007_.csv,79,-51304.29231631272,182.0,100.0,82.0,3.165
fges,win95pts,.xbif50008_.csv,65,-51017.087026320376,170.0,96.0,74.0,2.934
fges,win95pts,.xbif50009_.csv,71,-51347.76843489132,190.0,100.0,90.0,3.211
fges,win95pts,.xbif_.csv,82,-50690.078668856906,214.0,116.0,98.0,3.278
