algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,munin,.xbif50001246_.csv,1423,-1239716.3049866196,3096.0,894.0,2202.0,18497.838
fges,munin,.xbif50001_.csv,1471,-1294266.016009347,3152.0,978.0,2174.0,7884.691
fges,munin,.xbif50002_.csv,1485,-1277254.178594974,3262.0,952.0,2310.0,10794.965
fges,munin,.xbif50003_.csv,1489,-1261556.4179488113,3220.0,976.0,2244.0,7275.019
fges,munin,.xbif50004_.csv,1503,-1275975.5515902143,3260.0,1022.0,2238.0,7923.881
fges,munin,.xbif50005_.csv,1508,-1304414.2811449473,3278.0,1012.0,2266.0,11011.137
fges,munin,.xbif50006_.csv,1478,-1268371.7045632363,3112.0,956.0,2156.0,9923.447
fges,munin,.xbif50007_.csv,1461,-1421612.8844906937,3150.0,960.0,2190.0,11106.317
fges,munin,.xbif50008_.csv,1550,-1292049.6862025734,3338.0,1092.0,2246.0,6677.838
fges,munin,.xbif50009_.csv,1471,-1268304.7277959674,3186.0,950.0,2236.0,7637.795
fges,munin,.xbif_.csv,1504,-1294674.3438684177,3300.0,1050.0,2250.0,12046.61
