algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,pigs,.xbif50001246_.csv,301,-1769069.2058232706,640.0,452.0,188.0,105.743
fges,pigs,.xbif50001_.csv,311,-1768789.7723355787,682.0,474.0,208.0,103.716
fges,pigs,.xbif50002_.csv,307,-1767627.5455597702,640.0,462.0,178.0,106.365
fges,pigs,.xbif50003_.csv,304,-1768681.399342903,650.0,460.0,190.0,100.469
fges,pigs,.xbif50004_.csv,318,-1771420.6702235304,676.0,484.0,192.0,95.483
fges,pigs,.xbif50005_.csv,302,-1770376.0448643595,648.0,458.0,190.0,100.115
fges,pigs,.xbif50006_.csv,305,-1770508.9779966117,640.0,460.0,180.0,100.38
fges,pigs,.xbif50007_.csv,321,-1770270.0713247051,694.0,486.0,208.0,106.938
fges,pigs,.xbif50008_.csv,313,-1769977.552280861,674.0,472.0,202.0,91.482
fges,pigs,.xbif50009_.csv,310,-1771036.2500676457,662.0,468.0,194.0,88.561
fges,pigs,.xbif_.csv,309,-1769170.1310791965,654.0,462.0,192.0,92.106
