algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,water,.xbif50001246_.csv,92,-67237.61462661457,220.0,6.0,214.0,0.242
fges,water,.xbif50001_.csv,88,-67131.12341374693,212.0,2.0,210.0,0.269
fges,water,.xbif50002_.csv,85,-67367.86555813151,208.0,4.0,204.0,0.239
fges,water,.xbif50003_.csv,88,-67417.25301347281,214.0,4.0,210.0,0.225
fges,water,.xbif50004_.csv,91,-67215.07828078294,220.0,6.0,214.0,0.256
fges,water,.xbif50005_.csv,88,-67027.90480808122,214.0,4.0,210.0,0.23
fges,water,.xbif50006_.csv,82,-67512.90277655878,202.0,4.0,198.0,0.232
fges,water,.xbif50007_.csv,91,-67575.85711008054,220.0,8.0,212.0,0.269
fges,water,.xbif50008_.csv,93,-67145.68864238329,224.0,8.0,216.0,0.451
fges,water,.xbif50009_.csv,90,-66987.34630957928,216.0,4.0,212.0,0.273
fges,water,.xbif_.csv,87,-67152.01697977394,212.0,4.0,208.0,0.306
