algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-hc-noupdate,alarm,alarm55k,16,16,100,-1,7,-0.4282495964177343,-579379.7788620375,14.0,6.0,8.0,4,1.809
pges-hc-noupdate,alarm,alarm55k,16,16,10,-1,17,-0.4234395993709882,-583378.6769351534,34.0,22.0,12.0,4,1.81
pges-hc-noupdate,alarm,alarm55k,16,16,15,-1,4,-0.4539830720499376,-578640.112109127,8.0,0.0,8.0,4,1.699
pges-hc-noupdate,alarm,alarm55k,16,16,20,-1,7,-0.4282495964177343,-579379.7788620375,14.0,6.0,8.0,4,1.917
pges-hc-noupdate,alarm,alarm55k,16,16,30,-1,7,-0.4282495964177343,-579379.7788620375,14.0,6.0,8.0,4,1.89
pges-hc-noupdate,alarm,alarm55k,16,16,50,-1,7,-0.4282495964177343,-579379.7788620375,14.0,6.0,8.0,4,1.79
pges-hc-noupdate,alarm,alarm55k,16,16,5,-1,16,-0.4040855325645319,-585087.0920303247,40.0,28.0,12.0,5,2.052
pges-hc-noupdate,alarm,alarm55k,2,2,100,-1,7,-0.43043905780404684,-579379.7788620375,14.0,6.0,8.0,4,2.086
pges-hc-noupdate,alarm,alarm55k,2,2,10,-1,13,-0.4314026818239503,-579496.5860162565,26.0,12.0,14.0,6,2.45
pges-hc-noupdate,alarm,alarm55k,2,2,15,-1,13,-0.4369552381263451,-579477.628980722,26.0,12.0,14.0,5,2.7
pges-hc-noupdate,alarm,alarm55k,2,2,20,-1,6,-0.46182974743586125,-580761.3648741802,12.0,2.0,10.0,5,3.213
pges-hc-noupdate,alarm,alarm55k,2,2,2147483647,-1,7,-0.43043905780404684,-579379.7788620375,14.0,6.0,8.0,4,2.449
pges-hc-noupdate,alarm,alarm55k,2,2,30,-1,4,-0.430879725970797,-578640.112109127,8.0,0.0,8.0,4,3.188
pges-hc-noupdate,alarm,alarm55k,2,2,50,-1,7,-0.43043905780404684,-579379.7788620375,14.0,6.0,8.0,4,3.395
pges-hc-noupdate,alarm,alarm55k,2,2,5,-1,25,-0.43245574344576915,-582870.617075315,50.0,32.0,18.0,10,3.414
pges-hc-noupdate,alarm,alarm55k,4,4,100,-1,13,-0.4086779441750452,-579470.1752796461,26.0,12.0,14.0,5,3.832
pges-hc-noupdate,alarm,alarm55k,4,4,10,-1,14,-0.4012493069906344,-581057.4343776607,34.0,24.0,10.0,6,2.712
pges-hc-noupdate,alarm,alarm55k,4,4,15,-1,7,-0.3842807797972083,-579066.6074298652,16.0,6.0,10.0,4,6.59
pges-hc-noupdate,alarm,alarm55k,4,4,20,-1,10,-0.4178448663259575,-578730.5085267357,20.0,6.0,14.0,4,3.684
pges-hc-noupdate,alarm,alarm55k,4,4,2147483647,-1,13,-0.4086779441750452,-579470.1752796461,26.0,12.0,14.0,5,3.6
pges-hc-noupdate,alarm,alarm55k,4,4,30,-1,13,-0.4086779441750452,-579470.1752796461,26.0,12.0,14.0,5,1.803
pges-hc-noupdate,alarm,alarm55k,4,4,50,-1,13,-0.4086779441750452,-579470.1752796461,26.0,12.0,14.0,5,3.538
pges-hc-noupdate,alarm,alarm55k,4,4,5,-1,10,-0.4243364417985472,-579984.4154016468,24.0,12.0,12.0,6,2.081
pges-hc-noupdate,alarm,alarm55k,8,8,100,-1,7,-0.41496070296216014,-579379.7788620375,14.0,6.0,8.0,4,1.466
pges-hc-noupdate,alarm,alarm55k,8,8,10,-1,27,-0.4040758488261826,-581773.5438764205,70.0,56.0,14.0,4,1.312
pges-hc-noupdate,alarm,alarm55k,8,8,15,-1,4,-0.42467113259700073,-578640.112109127,8.0,0.0,8.0,4,1.647
pges-hc-noupdate,alarm,alarm55k,8,8,20,-1,4,-0.4243359067690886,-578640.112109127,8.0,0.0,8.0,4,1.813
pges-hc-noupdate,alarm,alarm55k,8,8,30,-1,7,-0.41164112901843797,-579379.7788620375,14.0,6.0,8.0,4,1.839
pges-hc-noupdate,alarm,alarm55k,8,8,50,-1,7,-0.41496070296216014,-579379.7788620375,14.0,6.0,8.0,4,1.554
pges-hc-noupdate,alarm,alarm55k,8,8,5,-1,10,-0.4083991448060226,-579984.4154016468,24.0,12.0,12.0,5,1.489
pges-hc-noupdate,alarm,alarm.xbif50001246_,16,16,100,-1,7,-0.4231010086228887,-54069.67391102062,14.0,0.0,14.0,4,1.018
pges-hc-noupdate,alarm,alarm.xbif50001246_,16,16,10,-1,11,-0.4069264279966417,-54746.88686806117,22.0,6.0,16.0,5,1.008
pges-hc-noupdate,alarm,alarm.xbif50001246_,16,16,15,-1,7,-0.4160312146575915,-54034.68310137827,14.0,0.0,14.0,3,0.897
pges-hc-noupdate,alarm,alarm.xbif50001246_,16,16,20,-1,7,-0.4231010086228887,-54069.67391102062,14.0,0.0,14.0,4,0.946
pges-hc-noupdate,alarm,alarm.xbif50001246_,16,16,30,-1,7,-0.4231010086228887,-54069.67391102062,14.0,0.0,14.0,4,0.932
pges-hc-noupdate,alarm,alarm.xbif50001246_,16,16,50,-1,7,-0.4231010086228887,-54069.67391102062,14.0,0.0,14.0,4,0.9
pges-hc-noupdate,alarm,alarm.xbif50001246_,16,16,5,-1,24,-0.4112347036918603,-54769.61351425017,60.0,36.0,24.0,5,0.931
pges-hc-noupdate,alarm,alarm.xbif50001246_,2,2,100,-1,7,-0.413799628129479,-54069.67391102063,14.0,0.0,14.0,4,1.188
