algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
fges,alarm,alarm.xbif50001246_,16,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.844
fges,alarm,alarm.xbif50001246_,1,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.99
fges,alarm,alarm.xbif50001246_,2,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.134
fges,alarm,alarm.xbif50001246_,4,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.829
fges,alarm,alarm.xbif50001246_,8,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.82
fges,alarm,alarm.xbif50001_,16,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.279
fges,alarm,alarm.xbif50001_,1,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.922
fges,alarm,alarm.xbif50001_,2,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.529
fges,alarm,alarm.xbif50001_,4,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.337
fges,alarm,alarm.xbif50001_,8,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.337
fges,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.268
fges,alarm,alarm.xbif50002_,1,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,2.147
fges,alarm,alarm.xbif50002_,2,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.563
fges,alarm,alarm.xbif50002_,4,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.268
fges,alarm,alarm.xbif50002_,8,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.398
fges,alarm,alarm.xbif50003_,16,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,0.913
