algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
pges-jc,alarm,alarm.xbif50001246_,16,16,10,-1,10,-0.39766096935597867,-54344.17500505482,20.0,4.0,16.0,5,1.252
pges-jc,alarm,alarm.xbif50001246_,16,16,15,-1,7,-0.43662206785406654,-54034.68310137827,14.0,0.0,14.0,5,1.317
pges-jc,alarm,alarm.xbif50001246_,16,16,5,-1,13,-0.426333825846433,-54321.203757010735,26.0,6.0,20.0,6,1.274
pges-jc,alarm,alarm.xbif50001246_,2,2,10,-1,15,-0.4411787107373821,-54410.152588225115,34.0,8.0,26.0,8,1.837
pges-jc,alarm,alarm.xbif50001246_,2,2,15,-1,10,-0.4216186820753383,-54175.1583211647,24.0,8.0,16.0,5,1.383
pges-jc,alarm,alarm.xbif50001246_,2,2,5,-1,21,-0.4160742414704869,-55045.77284740838,54.0,32.0,22.0,8,1.899
pges-jc,alarm,alarm.xbif50001246_,4,4,10,-1,13,-0.4247533706635373,-54365.3312364847,32.0,14.0,18.0,5,1.852
pges-jc,alarm,alarm.xbif50001246_,4,4,15,-1,20,-0.43036314730049313,-54672.47095819272,44.0,16.0,28.0,6,1.773
pges-jc,alarm,alarm.xbif50001246_,4,4,5,-1,11,-0.4331862548261813,-54569.08403702566,22.0,6.0,16.0,8,2.053
pges-jc,alarm,alarm.xbif50001246_,8,8,10,-1,8,-0.4109071893702057,-54171.897426416144,18.0,4.0,14.0,5,1.241
pges-jc,alarm,alarm.xbif50001246_,8,8,15,-1,7,-0.40656081478251865,-54034.68310137827,14.0,0.0,14.0,5,1.171
pges-jc,alarm,alarm.xbif50001246_,8,8,5,-1,9,-0.43482377071344475,-54084.99944831129,22.0,4.0,18.0,8,1.384
pges-jc,alarm,alarm.xbif50001_,16,16,10,-1,14,-0.43838818843034477,-53696.329266654575,32.0,4.0,28.0,6,1.433
pges-jc,alarm,alarm.xbif50001_,16,16,15,-1,7,-0.3914292767240518,-53528.243757532604,14.0,0.0,14.0,5,1.53
pges-jc,alarm,alarm.xbif50001_,16,16,5,-1,11,-0.43304990350251255,-53547.216523795476,22.0,4.0,18.0,5,1.285
pges-jc,alarm,alarm.xbif50001_,2,2,10,-1,9,-0.43675753075336343,-53764.42702060186,18.0,2.0,16.0,7,2.101
pges-jc,alarm,alarm.xbif50001_,2,2,15,-1,7,-0.4258403585968386,-53557.711946514566,14.0,0.0,14.0,5,2.354
pges-jc,alarm,alarm.xbif50001_,2,2,5,-1,7,-0.42028780229444374,-53573.175575615845,14.0,0.0,14.0,8,2.115
