algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMB,deltaMB+,deltaMB-,iterations,time(s)
pges-jc,alarm,alarm.xbif50001246_,16,16,10,-1,7,-0.41960235438429994,-54034.68310137827,14.0,0.0,14.0,4,1.513
pges-jc,alarm,alarm.xbif50001246_,16,16,15,-1,7,-0.43662206785406654,-54034.68310137827,14.0,0.0,14.0,4,1.454
pges-jc,alarm,alarm.xbif50001246_,16,16,5,-1,16,-0.43926800246804837,-54426.6881671548,36.0,14.0,22.0,5,1.447
pges-jc,alarm,alarm.xbif50001246_,2,2,10,-1,9,-0.4197917256110699,-54252.58218062825,20.0,6.0,14.0,5,12.44
pges-jc,alarm,alarm.xbif50001246_,2,2,15,-1,7,-0.4113884041543771,-54069.67391102063,14.0,0.0,14.0,5,12.496
pges-jc,alarm,alarm.xbif50001246_,2,2,5,-1,7,-0.4255746093879818,-54069.67391102063,14.0,0.0,14.0,8,12.62
pges-jc,alarm,alarm.xbif50001246_,4,4,10,-1,13,-0.4247533706635373,-54365.3312364847,32.0,14.0,18.0,4,1.335
pges-jc,alarm,alarm.xbif50001246_,4,4,15,-1,7,-0.4113884041543771,-54069.67391102063,14.0,0.0,14.0,4,1.635
pges-jc,alarm,alarm.xbif50001246_,4,4,5,-1,9,-0.4197917256110699,-54252.58218062825,20.0,6.0,14.0,7,1.613
pges-jc,alarm,alarm.xbif50001246_,8,8,10,-1,9,-0.41106853531992593,-54252.58218062825,20.0,6.0,14.0,3,1.211
pges-jc,alarm,alarm.xbif50001246_,8,8,15,-1,7,-0.40656081478251865,-54034.68310137827,14.0,0.0,14.0,4,1.182
pges-jc,alarm,alarm.xbif50001246_,8,8,5,-1,7,-0.4145426762132403,-54034.68310137827,14.0,0.0,14.0,7,1.253
pges-jc,alarm,alarm.xbif50001_,16,16,10,-1,14,-0.43838818843034477,-53696.329266654575,32.0,4.0,28.0,100,7.008
pges-jc,alarm,alarm.xbif50001_,16,16,15,-1,7,-0.3914292767240518,-53528.243757532604,14.0,0.0,14.0,100,9.894
pges-jc,alarm,alarm.xbif50001_,16,16,5,-1,11,-0.43304990350251255,-53547.216523795476,22.0,4.0,18.0,100,6.82
pges-jc,alarm,alarm.xbif50001_,2,2,10,-1,10,-0.44808730675393443,-53657.91107931971,24.0,0.0,24.0,100,3.452
pges-jc,alarm,alarm.xbif50001_,2,2,15,-1,7,-0.4258403585968386,-53557.711946514566,14.0,0.0,14.0,4,13.686
pges-jc,alarm,alarm.xbif50001_,2,2,5,-1,7,-0.42028780229444374,-53573.175575615845,14.0,0.0,14.0,7,1.469
pges-jc,alarm,alarm.xbif50001_,4,4,10,-1,7,-0.42028780229444374,-53573.175575615845,14.0,0.0,14.0,5,1.405
pges-jc,alarm,alarm.xbif50001_,4,4,15,-1,7,-0.42650597043674837,-53557.711946514566,14.0,0.0,14.0,4,1.092
pges-jc,alarm,alarm.xbif50001_,4,4,5,-1,7,-0.43211316458069876,-53593.323258323464,14.0,0.0,14.0,8,1.389
pges-jc,alarm,alarm.xbif50001_,8,8,10,-1,10,-0.44808730675393443,-53657.91107931971,24.0,0.0,24.0,100,4.692
pges-jc,alarm,alarm.xbif50001_,8,8,15,-1,7,-0.42499085303268924,-53528.243757532604,14.0,0.0,14.0,100,5.122
pges-jc,alarm,alarm.xbif50001_,8,8,5,-1,10,-0.44808730675393443,-53657.91107931971,24.0,0.0,24.0,100,5.526
pges-jc,alarm,alarm.xbif50002_,16,16,10,-1,11,-0.41823124202738754,-53868.781339622175,26.0,10.0,16.0,100,7.675
pges-jc,alarm,alarm.xbif50002_,16,16,15,-1,19,-0.43263301680467997,-54080.46974097547,46.0,14.0,32.0,3,1.439
pges-jc,alarm,alarm.xbif50002_,16,16,5,-1,8,-0.4421831895926583,-53791.47354676055,16.0,2.0,14.0,5,1.357
pges-jc,alarm,alarm.xbif50002_,2,2,10,-1,8,-0.4421831895926583,-53791.47354676055,16.0,2.0,14.0,5,13.802
pges-jc,alarm,alarm.xbif50002_,2,2,15,-1,8,-0.4421831895926583,-53791.47354676055,16.0,2.0,14.0,4,13.536
pges-jc,alarm,alarm.xbif50002_,2,2,5,-1,8,-0.42584851491440323,-53774.117923605816,16.0,2.0,14.0,7,13.895
pges-jc,alarm,alarm.xbif50002_,4,4,10,-1,8,-0.42584851491440323,-53774.117923605816,16.0,2.0,14.0,4,1.41
pges-jc,alarm,alarm.xbif50002_,4,4,15,-1,9,-0.4265605042834011,-53856.36686389522,20.0,6.0,14.0,3,1.328
pges-jc,alarm,alarm.xbif50002_,4,4,5,-1,8,-0.42584851491440323,-53774.117923605816,16.0,2.0,14.0,6,1.017
pges-jc,alarm,alarm.xbif50002_,8,8,10,-1,15,-0.44641148471183034,-54053.787503980995,38.0,10.0,28.0,100,5.655
pges-jc,alarm,alarm.xbif50002_,8,8,15,-1,9,-0.3804286082077091,-53856.36686389522,20.0,6.0,14.0,4,1.126
pges-jc,alarm,alarm.xbif50002_,8,8,5,-1,15,-0.44641148471183034,-54053.787503980995,38.0,10.0,28.0,100,5.093
pges-jc,alarm,alarm.xbif50003_,16,16,10,-1,10,-0.42194931831866944,-53606.584045335825,22.0,6.0,16.0,3,1.445
