algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50001246_,16,16,10,-1,12,-0.39768808574407116,-54369.31514537603,24.0,6.0,18.0,5,1.181
pges-jc,alarm,alarm.xbif50001246_,16,16,15,-1,7,-0.43662206785406654,-54034.68310137827,14.0,0.0,14.0,5,1.224
pges-jc,alarm,alarm.xbif50001246_,16,16,5,-1,7,-0.41902455891174617,-54110.797763916955,14.0,0.0,14.0,6,1.225
pges-jc,alarm,alarm.xbif50001246_,2,2,10,-1,7,-0.44421307046617853,-54096.19287300851,14.0,0.0,14.0,7,2.273
pges-jc,alarm,alarm.xbif50001246_,2,2,15,-1,7,-0.4113884041543771,-54069.67391102063,14.0,0.0,14.0,6,2.143
pges-jc,alarm,alarm.xbif50001246_,2,2,5,-1,7,-0.4255746093879818,-54069.67391102063,14.0,0.0,14.0,9,2.267
pges-jc,alarm,alarm.xbif50001246_,4,4,10,-1,13,-0.4247533706635373,-54365.3312364847,32.0,14.0,18.0,5,0.91
pges-jc,alarm,alarm.xbif50001246_,4,4,15,-1,7,-0.4113884041543771,-54069.67391102063,14.0,0.0,14.0,5,1.121
pges-jc,alarm,alarm.xbif50001246_,4,4,5,-1,13,-0.4454080828647833,-54353.26294456889,30.0,12.0,18.0,9,1.949
pges-jc,alarm,alarm.xbif50001246_,8,8,10,-1,9,-0.41106853531992593,-54252.58218062825,20.0,6.0,14.0,4,0.951
pges-jc,alarm,alarm.xbif50001246_,8,8,15,-1,7,-0.40656081478251865,-54034.68310137827,14.0,0.0,14.0,5,1.311
pges-jc,alarm,alarm.xbif50001246_,8,8,5,-1,7,-0.427725732749545,-54075.806954274594,14.0,0.0,14.0,7,1.201
pges-jc,alarm,alarm.xbif50001_,16,16,10,-1,12,-0.43566861144746744,-53654.673200430654,24.0,10.0,14.0,6,1.309
pges-jc,alarm,alarm.xbif50001_,16,16,15,-1,7,-0.3914292767240518,-53528.243757532604,14.0,0.0,14.0,5,1.239
pges-jc,alarm,alarm.xbif50001_,16,16,5,-1,10,-0.42705850616703456,-53611.74670671274,24.0,6.0,18.0,5,1.222
pges-jc,alarm,alarm.xbif50001_,2,2,10,-1,13,-0.43207236233914775,-53709.4955224589,30.0,12.0,18.0,7,2.069
