algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50001246_,16,16,10,-1,9,-0.39046419865058857,-54263.99689572738,20.0,6.0,14.0,5,1.145
pges-jc,alarm,alarm.xbif50001246_,16,16,15,-1,13,-0.3885582141492854,-54280.671327964716,28.0,10.0,18.0,4,1.069
pges-jc,alarm,alarm.xbif50001246_,16,16,5,-1,23,-0.40060662698457294,-54914.39250608305,62.0,38.0,24.0,8,1.438
pges-jc,alarm,alarm.xbif50001246_,2,2,10,-1,14,-0.38573793853354676,-54412.135056513114,34.0,16.0,18.0,7,2.057
pges-jc,alarm,alarm.xbif50001246_,2,2,15,-1,9,-0.39067612552221165,-54164.83635804704,22.0,4.0,18.0,5,1.965
pges-jc,alarm,alarm.xbif50001246_,2,2,5,-1,7,-0.43457504541459596,-54065.079093222485,14.0,0.0,14.0,10,2.262
pges-jc,alarm,alarm.xbif50001246_,4,4,10,-1,11,-0.4258511715883839,-54128.15905020131,22.0,4.0,18.0,6,1.068
pges-jc,alarm,alarm.xbif50001246_,4,4,15,-1,13,-0.40994869184619487,-54391.85019847257,32.0,14.0,18.0,4,1.372
pges-jc,alarm,alarm.xbif50001246_,4,4,5,-1,11,-0.4428197487370199,-54269.95511226743,22.0,8.0,14.0,9,2.367
pges-jc,alarm,alarm.xbif50001246_,8,8,10,-1,15,-0.43285435785822385,-54439.65581075729,36.0,18.0,18.0,5,1.005
pges-jc,alarm,alarm.xbif50001246_,8,8,15,-1,7,-0.40713561350760724,-54072.61677846527,14.0,0.0,14.0,6,1.152
pges-jc,alarm,alarm.xbif50001246_,8,8,5,-1,7,-0.42585206684658833,-54100.069902864845,14.0,0.0,14.0,7,1.052
pges-jc,alarm,alarm.xbif50001_,16,16,10,-1,10,-0.3926998797654618,-53812.630410460704,22.0,8.0,14.0,5,1.252
pges-jc,alarm,alarm.xbif50001_,16,16,15,-1,7,-0.3774194244482325,-53557.711946514566,14.0,0.0,14.0,4,1.113
pges-jc,alarm,alarm.xbif50001_,16,16,5,-1,12,-0.43726901748633806,-53856.99761691177,28.0,10.0,18.0,6,1.24
