algorithm,network,bbdd,threads,itLimit,exploitConst,numSwaps,probSwap,bdeuMCTS,iteration,time
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,0,0.039
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,1,0.019
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,2,0.019
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,3,0.017
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,4,0.017
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,5,0.018
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,6,0.013
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,7,0.018
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,8,0.012
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,9,0.011
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,10,0.017
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,11,0.019
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,12,0.01
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,13,0.024
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,14,0.011
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,15,0.013
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-54082.051121150136,16,0.016
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,17,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,18,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,19,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,20,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,21,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,22,0.018
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,23,0.014
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,24,0.014
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,25,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,26,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,27,0.015
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,28,0.016
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,29,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,30,0.012
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,31,0.01
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,32,0.012
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,33,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,34,0.01
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,35,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,36,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,37,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,38,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,39,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,40,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,41,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,42,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,43,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,44,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,45,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,46,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,47,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,48,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,49,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,50,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,51,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,52,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,53,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,54,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,55,0.01
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,56,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,57,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,58,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,59,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,60,0.011
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,61,0.013
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,62,0.01
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,63,0.01
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,64,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,65,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,66,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,67,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,68,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,69,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,70,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,71,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,72,0.014
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,73,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,74,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,75,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,76,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,77,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,78,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,79,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,80,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,81,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,82,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,83,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,84,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,85,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,86,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,87,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,88,0.013
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,89,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,90,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,91,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,92,0.012
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,93,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,94,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,95,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,96,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,97,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,98,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,99,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,100,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,101,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,102,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,103,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,104,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,105,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,106,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,107,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,108,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,109,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,110,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,111,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,112,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,113,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,114,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,115,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,116,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,117,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,118,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,119,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,120,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,121,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,122,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,123,0.009
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,124,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,125,0.004
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,126,0.011
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,127,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,128,0.008
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,129,0.007
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,130,0.011
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,131,0.006
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,132,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,133,0.005
mcts,alarm,alarm.xbif_,32,1250,50.0,0.0,0.0,-53961.414802607294,134,0.007
