algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)

PGESwithStages,alarm,alarm.xbif50003_,4,100,-1,17,-0.46128659079202317,-56506.305117709075,38.0,6.0,32.0,4,1.25
PGESwithStages,alarm,alarm.xbif50003_,4,100,-1,16,-0.4105998059821106,-56337.22913858806,36.0,4.0,32.0,2,1.234
PGESwithStages,alarm,alarm.xbif50003_,4,100,-1,16,-0.4270445986679708,-56337.22913858808,36.0,4.0,32.0,2,0.685
PGESwithStages,alarm,alarm.xbif50003_,4,100,-1,16,-0.4270445986679708,-56337.22913858808,36.0,4.0,32.0,2,0.644
PGESwithStages,alarm,alarm.xbif50003_,4,100,-1,16,-0.4270445986679708,-56337.22913858808,36.0,4.0,32.0,2,0.59
PGESwithStages,alarm,alarm.xbif50003_,4,100,-1,16,-0.4270445986679708,-56337.22913858808,36.0,4.0,32.0,2,0.739

GES_BNBuilder,alarm,alarm.xbif50003_,1,-1,-1,16,-0.4316702235346183,-56337.22913858808,36.0,4.0,32.0,1,0.564
Fges_BNBuilder,alarm,alarm.xbif50003_,4,100,-1,7,-0.28135323001253204,-56139.43383375462,14.0,0.0,14.0,1,0.784


PGESwithStages,andes,andes.xbif50003_,4,100,-1,163,-0.5394109800629264,-474209.58051638247,352.0,14.0,338.0,9,22.975
PGESwithStages,andes,andes.xbif50003_,4,100,-1,163,-0.5459149191496611,-474210.20327221,354.0,16.0,338.0,11,20.561
PGESwithStages,andes,andes.xbif50003_,4,100,-1,163,-0.5394109800629264,-474209.58051638247,352.0,14.0,338.0,9,21.537
PGESwithStages,andes,andes.xbif50003_,4,100,-1,163,-0.5394109800629264,-474209.58051638247,352.0,14.0,338.0,10,20.465
PGESwithStages,andes,andes.xbif50003_,4,100,-1,165,-0.544235678070122,-473942.21899715066,356.0,12.0,344.0,3,33.445
PGESwithStages,andes,andes.xbif50003_,4,100,-1,183,-0.542662258118024,-474973.8139790101,396.0,42.0,354.0,7,23.598
PGESwithStages,andes,andes.xbif50003_,4,100,-1,165,-0.544235678070122,-473942.21899715066,356.0,12.0,344.0,3,18.311
PGESwithStages,andes,andes.xbif50003_,4,100,-1,165,-0.544235678070122,-473942.21899715066,356.0,12.0,344.0,3,30.658
PGESwithStages,andes,andes.xbif50003_,4,100,-1,165,-0.544235678070122,-473942.21899715066,356.0,12.0,344.0,3,21.431
PGESwithStages,andes,andes.xbif50003_,4,100,-1,183,-0.542662258118024,-474973.8139790101,396.0,42.0,354.0,7,21.216
PGESwithStages,andes,andes.xbif50003_,4,100,-1,214,-0.5459556562411255,-476382.6917678759,464.0,46.0,418.0,6,19.155
PGESwithStages,andes,andes.xbif50003_,4,100,-1,160,-0.5421443573163499,-473937.9466531513,346.0,12.0,334.0,5,18.144
PGESwithStages,andes,andes.xbif50003_,4,100,-1,160,-0.543410662764089,-473937.9466531513,346.0,12.0,334.0,3,11.328
PGESwithStages,andes,andes.xbif50003_,4,100,-1,160,-0.545815799434914,-473937.94665315136,346.0,12.0,334.0,4,10.525
PGESwithStages,andes,andes.xbif50003_,4,100,-1,160,-0.545815799434914,-473937.94665315136,346.0,12.0,334.0,4,9.786
PGESwithStages,andes,andes.xbif50003_,4,100,-1,160,-0.545815799434914,-473937.94665315136,346.0,12.0,334.0,4,7.651
PGESwithStages,andes,andes.xbif50003_,4,100,-1,160,-0.545815799434914,-473937.94665315136,346.0,12.0,334.0,4,8.515
PGESwithStages,andes,andes.xbif50003_,4,100,-1,163,-0.5458178496620175,-473927.2386420003,352.0,12.0,340.0,4,7.781

GES_BNBuilder,andes,andes.xbif50003_,1,-1,-1,197,-0.42055436658600587,-477232.2381620858,428.0,54.0,374.0,1,68.054
GES_BNBuilder,andes,andes.xbif50003_,1,-1,-1,163,-0.5456866406108868,-473927.23864200024,352.0,12.0,340.0,1,9.925
Fges_BNBuilder,andes,andes.xbif50003_,4,100,-1,230,-0.4196107600482327,-475502.06231910334,490.0,56.0,434.0,1,2.558



PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,18,-1.0266194810486162,-1714640.3583962268,44.0,40.0,4.0,20,198.593
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,16,-1.0368865579036493,-1711982.4730677065,34.0,34.0,0.0,5,294.567
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,25,-1.026522522607753,-1716805.769007474,62.0,58.0,4.0,6,114.632
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,25,-1.026522522607753,-1716805.769007474,62.0,58.0,4.0,6,179.088
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,16,-1.0368865579036493,-1711982.4730677065,34.0,34.0,0.0,5,351.539
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.0368344257492181,-1713197.7496372059,52.0,52.0,0.0,5,104.517
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.0368344257492181,-1713197.7496372059,52.0,52.0,0.0,5,102.479
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,15,-1.035138145138459,-1711827.9632346395,32.0,32.0,0.0,5,101.731
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.0368344257492181,-1713197.7496372059,52.0,52.0,0.0,5,94.311
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,15,-1.035138145138459,-1711827.9632346395,32.0,32.0,0.0,5,95.382
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.033907106317868,-1713197.7496372066,52.0,52.0,0.0,4,63.653
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.033907106317868,-1713197.7496372066,52.0,52.0,0.0,4,65.66
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.033907106317868,-1713197.7496372066,52.0,52.0,0.0,4,71.858
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.033907106317868,-1713197.7496372066,52.0,52.0,0.0,4,67.929
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.033907106317868,-1713197.7496372066,52.0,52.0,0.0,4,56.586
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.033907106317868,-1713197.7496372066,52.0,52.0,0.0,4,42.363
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,24,-1.033907106317868,-1713197.7496372066,52.0,52.0,0.0,4,40.457
PGESwithStages,pigs,pigs.xbif50003_,4,100,-1,3,-1.0340101267507498,-1710189.0293270187,10.0,10.0,0.0,4,41.693

GES_BNBuilder,pigs,pigs.xbif50003_,1,-1,-1,0,-1.033849635068539,-1709297.897603198,0.0,0.0,0.0,1,74.169
Fges_BNBuilder,pigs,pigs.xbif50003_,4,100,-1,304,-0.7709710939973027,-1768681.399342903,650.0,460.0,190.0,1,14.906


PGESwithStages,link,link.xbif50003_,4,100,-1,1002,0.0,-1299395.0508120186,2040.0,550.0,1490.0,6,209.927

GES_BNBuilder,link,link.xbif50003_,1,-1,-1,997,0.0,-1298392.1401480169,2002.0,510.0,1492.0,1,315.752


PGESwithStages,munin,munin.xbif50003_,4,100,-1,1600,0.0,-1110226.5706663448,3658.0,642.0,3016.0,5,2447.084
PGESwithStages,munin,munin.xbif50003_,4,100,-1,1600,0.0,-1110226.5706663448,3658.0,642.0,3016.0,5,8200.665
PGESwithStages,munin,munin.xbif50003_,4,100,-1,1600,0.0,-1110226.5706663448,3658.0,642.0,3016.0,5,457.622
PGESwithStages,munin,munin.xbif50003_,4,100,-1,1600,0.0,-1110226.5706663448,3658.0,642.0,3016.0,5,412.593

# Pruebas de Jorge con Andes. Estoy intentando paralelizar métodos internos del GESThread
PGESwithStages,andes,andes.xbif50003_,16,4,10,-1,168,-0.5449284052239844,-473961.6822543759,364.0,18.0,346.0,9,9.159
PGESwithStages,andes,andes.xbif50003_,16,4,10,-1,168,-0.5449284052239844,-473961.6822543759,364.0,18.0,346.0,9,9.647
PGESwithStages,andes,andes.xbif50003_,16,4,10,-1,168,-0.5449284052239844,-473961.6822543759,364.0,18.0,346.0,9,8.725
PGESwithStages,andes,andes.xbif50003_,16,4,100,-1,171,-0.5449237147641923,-473954.1025498841,368.0,18.0,350.0,3,6.302
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.545161841205437,-473942.2189971508,356.0,12.0,344.0,3,8.987
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.545161841205437,-473942.2189971508,356.0,12.0,344.0,3,9.089
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.545161841205437,-473942.2189971508,356.0,12.0,344.0,3,8.714
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5452332144178471,-473942.2189971507,356.0,12.0,344.0,3,9.08
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5452332144178471,-473942.2189971507,356.0,12.0,344.0,3,10.812
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.545161841205437,-473942.2189971508,356.0,12.0,344.0,3,14.224
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5452332144178471,-473942.2189971507,356.0,12.0,344.0,3,12.348
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,171,-0.539576906886615,-473954.1025498841,368.0,18.0,350.0,3,8.481
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5373342790958703,-473942.2189971508,356.0,12.0,344.0,3,8.819
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,10.316
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,8.883
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,9.439
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,626,-0.5496808626225427,-614912.0640001246,1330.0,0.0,1330.0,2,1.736
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,610,-0.5496767577864493,-587900.3824608664,1294.0,0.0,1294.0,17,53.115
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,8.817
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,14.061
PGESwithStages,andes,andes.xbif50003_,16,4,100,-1,171,-0.546196747946991,-473954.07784116536,368.0,18.0,350.0,3,12.317

# Rollback
PGESwithStages,andes,andes.xbif50003_,16,4,100,-1,171,-0.546196747946991,-473954.07784116536,368.0,18.0,350.0,3,6.502
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,7.181

# Changing Hierarchical Clustering
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,7.385
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5462065002804084,-473942.21899715066,356.0,12.0,344.0,3,14.322
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,7.395
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,7.49
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,165,-0.5457550608340005,-473942.21899715066,356.0,12.0,344.0,3,7.889

# Probando cambios en el algoritmo de clustering.
# Sin clusters disjuntos
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,181,-0.5457183635211487,-474442.7187904032,388.0,30.0,358.0,3,7.745

# Con cluster disjuntos
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,187,-0.5462287097811256,-474224.4307506066,400.0,12.0,388.0,2,10.148
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,206,-0.5462381928057604,-479258.2519911766,440.0,34.0,406.0,3,14.494
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,179,-0.5462087073927117,-474024.003393124,384.0,12.0,372.0,3,13.832
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,182,-0.5461850371243288,-474442.45797657035,390.0,20.0,370.0,3,16.46
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,177,-0.5462135929470443,-474023.93226085696,380.0,12.0,368.0,3,15.515
# Changing Hierarchical Clustering to be deterministic
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,176,-0.5451979532020638,-473975.2369910842,378.0,12.0,366.0,3,16.576
PGESwithStages,andes,andes.xbif50003_,16,16,100,-1,176,-0.5451979532020638,-473975.2369910842,378.0,12.0,366.0,3,13.96
PGESwithStages,andes,andes.xbif50003_,16,4,100,-1,167,-0.5455568791941813,-473946.002723056,360.0,12.0,348.0,4,12.855
PGESwithStages,andes,andes.xbif50003_,16,4,100,-1,172,-0.5456855227179667,-473959.74194755056,370.0,12.0,358.0,3,10.988
# Merge Conflict solved
PGESwithStages,pigs,pigs.xbif50003_,8,4,100,-1,3,-1.0310089785914143,-1710151.1064613152,10.0,10.0,0.0,5,44.244
PGESwithStages,pigs,pigs.xbif50003_,8,4,100,-1,3,-1.0310089785914143,-1710151.1064613152,10.0,10.0,0.0,5,42.031
PGESwithStages,pigs,pigs.xbif50003_,8,4,100,-1,3,-1.0340101267507498,-1710189.0293270187,10.0,10.0,0.0,4,42.438
PGESwithStages,munin,munin.xbif50003_,8,4,100,-1,1582,0.0,-1108920.8913390564,3608.0,590.0,3018.0,5,471.449
PGESwithStages,andes,andes.xbif50003_,8,4,100,-1,156,-0.5442967399941705,-470854.0694221032,336.0,10.0,326.0,3,6.131
PGESwithStages,pigs,pigs.xbif50003_,8,4,100,-1,0,-1.0340205576941885,-1674311.6987925337,0.0,0.0,0.0,3,36.762
PGESwithStages,munin,munin.xbif50003_,8,4,100,-1,1493,0.0,-939465.8839380902,3270.0,946.0,2324.0,9,624.216
PGESwithStages,andes,andes.xbif50003_,8,4,100,-1,156,-0.5442967399941705,-470854.0694221032,336.0,10.0,326.0,3,6.032
PGESwithStages,munin,munin.xbif50003_,8,4,100,-1,1493,0.0,-939465.8839380902,3270.0,946.0,2324.0,9,596.83
PGESwithStages,andes,andes.xbif50003_,8,4,100,-1,156,-0.5442967399941705,-470854.0694221032,336.0,10.0,326.0,3,6.875
PGESwithStages,andes,andes.xbif50003_,8,4,100,-1,156,-0.5442967399941705,-470854.0694221032,336.0,10.0,326.0,3,6.719
PGESwithStages,munin,munin.xbif50003_,8,4,100,-1,1493,0.0,-939465.8839380902,3270.0,946.0,2324.0,9,598.687
PGESwithStages,andes,andes.xbif50003_,8,4,100,-1,156,-0.5442946994684766,-470854.0694221032,336.0,10.0,326.0,4,8.023
PGESwithStages,andes,andes.xbif50003_,8,4,100,-1,156,-0.5432681448465916,-470854.06942210346,336.0,10.0,326.0,3,7.464
PGESwithStages,andes,andes.xbif50003_,8,4,100,-1,156,-0.5442946994684766,-470854.0694221032,336.0,10.0,326.0,4,5.728
GES_BNBuilder,andes,andes.xbif50003_,8,1,-1,-1,156,-0.5485140492870092,-470854.0694221028,336.0,10.0,326.0,1,7.858
