algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,100,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.246
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,10,2,7,-0.38123894721973034,-54069.67391102063,14.0,0.0,14.0,5,1.169
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,125,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.276
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,150,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.255
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,15,2,7,-0.38123894721973034,-54069.67391102063,14.0,0.0,14.0,4,1.251
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,200,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.206
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,20,2,7,-0.38123894721973034,-54069.67391102063,14.0,0.0,14.0,4,1.072
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,2147483647,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.388
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,250,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.199
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,25,2,7,-0.3685935702361023,-54053.010239483796,14.0,0.0,14.0,5,1.258
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,30,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.238
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,40,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.376
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,50,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.36
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,5,2,7,-0.3661137213906704,-54069.67391102063,14.0,0.0,14.0,7,1.421
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,60,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,0.979
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,70,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.204
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,80,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.347
circular_ges_c2,alarm,alarm.xbif50001246_,8,2,90,2,10,-0.38728195562822587,-54175.022658925074,20.0,6.0,14.0,4,1.305
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,100,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.618
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,10,2,7,-0.38123894721973034,-54069.67391102063,14.0,0.0,14.0,6,1.164
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,125,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.414
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,150,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.223
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,15,2,10,-0.3927210706304748,-54251.28918050802,20.0,6.0,14.0,6,1.498
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,200,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.186
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,20,2,10,-0.3806976978535326,-54211.96372594553,20.0,6.0,14.0,5,1.367
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,2147483647,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.676
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,250,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.516
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,25,2,14,-0.3809037026690398,-54294.6997310939,28.0,10.0,18.0,5,1.072
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,30,2,14,-0.3809037026690398,-54294.6997310939,28.0,10.0,18.0,5,1.404
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,40,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.436
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,50,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.1
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,5,2,7,-0.38123894721973034,-54069.67391102063,14.0,0.0,14.0,8,1.511
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,60,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.172
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,70,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.71
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,80,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.516
circular_ges_c2,alarm,alarm.xbif50001246_,8,4,90,2,14,-0.3877389679109525,-54306.114446193016,28.0,10.0,18.0,6,1.17
circular_ges_c2,alarm,alarm.xbif50001246_,8,6,100,2,17,-0.3189162328169872,-54494.287067097895,42.0,24.0,18.0,14,2.758
