algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
fges,alarm,alarm.xbif50001246_,16,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.77
fges,alarm,alarm.xbif50001246_,16,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.786
fges,alarm,alarm.xbif50001246_,1,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.807
fges,alarm,alarm.xbif50001246_,1,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.784
fges,alarm,alarm.xbif50001246_,2,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.046
fges,alarm,alarm.xbif50001246_,2,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.787
fges,alarm,alarm.xbif50001246_,4,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.943
fges,alarm,alarm.xbif50001246_,4,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.763
fges,alarm,alarm.xbif50001246_,8,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.827
fges,alarm,alarm.xbif50001246_,8,-1,-1,2,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.836
fges,alarm,alarm.xbif50001_,16,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.326
fges,alarm,alarm.xbif50001_,16,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.328
fges,alarm,alarm.xbif50001_,1,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,2.027
fges,alarm,alarm.xbif50001_,1,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.356
fges,alarm,alarm.xbif50001_,2,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,2.312
fges,alarm,alarm.xbif50001_,2,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.325
fges,alarm,alarm.xbif50001_,4,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.549
fges,alarm,alarm.xbif50001_,4,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.296
fges,alarm,alarm.xbif50001_,8,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.438
fges,alarm,alarm.xbif50001_,8,-1,-1,2,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.313
fges,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.217
fges,alarm,alarm.xbif50002_,16,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.289
fges,alarm,alarm.xbif50002_,1,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.345
fges,alarm,alarm.xbif50002_,1,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.243
fges,alarm,alarm.xbif50002_,2,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,2.525
fges,alarm,alarm.xbif50002_,2,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.248
fges,alarm,alarm.xbif50002_,4,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.369
fges,alarm,alarm.xbif50002_,4,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.292
fges,alarm,alarm.xbif50002_,8,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.423
fges,alarm,alarm.xbif50002_,8,-1,-1,2,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.294
fges,alarm,alarm.xbif50003_,16,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,0.932
fges,alarm,alarm.xbif50003_,16,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,0.911
fges,alarm,alarm.xbif50003_,1,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,0.97
fges,alarm,alarm.xbif50003_,1,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,0.972
fges,alarm,alarm.xbif50003_,2,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,2.243
fges,alarm,alarm.xbif50003_,2,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,0.929
fges,alarm,alarm.xbif50003_,4,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.038
fges,alarm,alarm.xbif50003_,4,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,0.921
fges,alarm,alarm.xbif50003_,8,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.425
fges,alarm,alarm.xbif50003_,8,-1,-1,2,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,0.931
fges,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.678
fges,alarm,alarm.xbif50004_,16,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.683
fges,alarm,alarm.xbif50004_,1,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.75
fges,alarm,alarm.xbif50004_,1,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.676
fges,alarm,alarm.xbif50004_,2,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,1.962
fges,alarm,alarm.xbif50004_,2,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.729
fges,alarm,alarm.xbif50004_,4,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.736
fges,alarm,alarm.xbif50004_,4,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.762
fges,alarm,alarm.xbif50004_,8,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.82
fges,alarm,alarm.xbif50004_,8,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.689
fges,alarm,alarm.xbif50005_,16,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.954
fges,alarm,alarm.xbif50005_,16,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.967
fges,alarm,alarm.xbif50005_,1,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.055
fges,alarm,alarm.xbif50005_,1,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.97
fges,alarm,alarm.xbif50005_,2,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,2.193
fges,alarm,alarm.xbif50005_,2,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.958
fges,alarm,alarm.xbif50005_,4,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.157
fges,alarm,alarm.xbif50005_,4,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.337
fges,alarm,alarm.xbif50005_,8,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.079
fges,alarm,alarm.xbif50005_,8,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.967
fges,alarm,alarm.xbif50006_,16,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.055
fges,alarm,alarm.xbif50006_,16,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.032
fges,alarm,alarm.xbif50006_,1,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.685
fges,alarm,alarm.xbif50006_,1,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.079
fges,alarm,alarm.xbif50006_,2,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,2.228
fges,alarm,alarm.xbif50006_,2,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.015
